x坐标, y坐标
811.5,-0.001
812,-0.00102
812.5,-0.00079
813,-0.00046
813.5,-0.00013
814,-0.00019
814.5,-0.00033
815,-0.00067
815.5,-0.00059
816,-0.00057
816.5,-0.00062
817,-0.00069
817.5,-0.00045
818,-0.0001
818.5,0.00022
819,0.00051
819.5,0.00038
820,0.00014
820.5,0.00018
821,9.00E-05
821.5,0.00014
822,0.00034
822.5,0.00032
823,0.00019
823.5,0.00048
824,0.00066
824.5,0.00092
825,0.00081
825.5,0.00108
826,0.00096
826.5,0.00103
827,0.001
827.5,0.00083
828,0.00047
828.5,0.00045
829,0.00044
829.5,0.00051
830,0.00064
830.5,0.00066
831,0.00075
831.5,0.00078
832,0.0005
832.5,0.00055
833,0.00043
833.5,0.00035
834,0.0004
834.5,0.00093
835,0.0013
835.5,0.00143
836,0.00168
836.5,0.00178
837,0.00182
837.5,0.00167
838,0.00147
838.5,0.00158
839,0.00152
839.5,0.00164
840,0.00184
840.5,0.00162
841,0.00104
841.5,0.00099
842,0.00111
842.5,0.00135
843,0.0018
843.5,0.00138
844,0.00098
844.5,0.00055
845,0.00075
845.5,0.00042
846,0.00031
846.5,0.00026
847,0.00012
847.5,-6.00E-05
848,0.00018
848.5,0.0003
849,0.00061
849.5,0.00067
850,0.00101
850.5,0.00042
851,-0.00012
851.5,0.00017
852,0.00041
852.5,0.00083
853,0.00089
853.5,0.00078
854,0.0005
854.5,0.00041
855,0.00025
855.5,0.00036
856,0.00023
856.5,0.00036
857,0.00054
857.5,0.00038
858,0.00037
858.5,0.0003
859,0.00015
859.5,0.00022
860,0.00052
860.5,0.00082
861,0.00119
861.5,0.00146
862,0.00125
862.5,0.00187
863,0.00171
863.5,0.00178
864,0.00161
864.5,0.0014
865,0.00162
865.5,0.00162
866,0.00146
866.5,0.00129
867,0.00113
867.5,0.00084
868,0.00092
868.5,0.00088
869,0.00043
869.5,7.00E-05
870,-0.0003
870.5,-0.00038
871,-0.00013
871.5,-0.00016
872,-0.0002
872.5,-0.00045
873,-0.00076
873.5,-0.0007
874,-0.00076
874.5,-0.0006
875,-0.00052
875.5,-0.00088
876,-0.00131
876.5,-0.00138
877,-0.00178
877.5,-0.00169
878,-0.00165
878.5,-0.00168
879,-0.0016
879.5,-0.00147
880,-0.00157
880.5,-0.00149
881,-0.00155
881.5,-0.00154
882,-0.00136
882.5,-0.00132
883,-0.00122
883.5,-0.00096
884,-0.00116
884.5,-0.00158
885,-0.00165
885.5,-0.00204
886,-0.002
886.5,-0.00167
887,-0.00169
887.5,-0.0013
888,-0.00088
888.5,-0.00058
889,-0.00031
889.5,-8.00E-05
890,7.00E-05
890.5,0.00034
891,0.00014
891.5,-6.00E-05
892,-0.00029
892.5,-0.00023
893,0.00024
893.5,0.00045
894,0.00063
894.5,0.00059
895,0.00059
895.5,0.00053
896,-4.00E-05
896.5,1.00E-05
897,0.00014
897.5,0.00067
898,0.00091
898.5,0.00124
899,0.00145
899.5,0.00123
900,0.00133
900.5,0.00123
901,0.00134
901.5,0.00134
902,0.00118
902.5,0.00123
903,0.0015
903.5,0.00176
904,0.00178
904.5,0.0018
905,0.00195
905.5,0.00139
906,0.00139
906.5,0.00109
907,0.00134
907.5,0.00161
908,0.00164
908.5,0.0015
909,0.00153
909.5,0.00166
910,0.00185
910.5,0.00172
911,0.00162
911.5,0.0012
912,0.00032
912.5,0.00014
913,-0.00014
913.5,0.00022
914,0.00056
914.5,0.0004
915,0.00012
915.5,0.00014
916,-5.00E-05
916.5,0
917,0.00011
917.5,9.00E-05
918,0.00033
918.5,0.00047
919,0.00048
919.5,0.00075
920,0.00036
920.5,0.00054
921,0.00022
921.5,3.00E-05
922,-7.00E-05
922.5,-0.0002
923,-0.00049
923.5,-0.00078
924,-0.00057
924.5,-0.00018
925,-0.00034
925.5,-6.00E-05
926,0.00032
926.5,0.00066
927,0.00084
927.5,0.00099
928,0.00112
928.5,0.00138
929,0.00171
929.5,0.0021
930,0.00234
930.5,0.00234
931,0.00194
931.5,0.00147
932,0.00157
932.5,0.0019
933,0.00211
933.5,0.00218
934,0.00221
934.5,0.00182
935,0.00167
935.5,0.0016
936,0.00126
936.5,0.00138
937,0.00105
937.5,0.00108
938,0.00085
938.5,0.00086
939,0.00077
939.5,0.00047
940,0.00048
940.5,0.00027
941,0.0001
941.5,-4.00E-05
942,-0.00024
942.5,-9.00E-05
943,0.00018
943.5,0.00034
944,0.00037
944.5,0.00013
945,0.00034
945.5,0.00055
946,0.00074
946.5,0.00073
947,0.00099
947.5,0.00055
948,0.0003
948.5,0.00037
949,0.00049
949.5,0.00058
950,0.00072
950.5,0.0004
951,0.00011
951.5,-0.0002
952,-0.00043
952.5,-0.00039
953,-0.00032
953.5,-0.0002
954,-0.00051
954.5,-0.00056
955,-0.00074
955.5,-0.00103
956,-0.00117
956.5,-0.0009
957,-0.0008
957.5,-0.00088
958,-0.0009
958.5,-0.00074
959,-0.00066
959.5,-0.00079
960,-0.00089
960.5,-0.00071
961,-0.0008
961.5,-0.00114
962,-0.0011
962.5,-0.0012
963,-0.00187
963.5,-0.00211
964,-0.00187
964.5,-0.00174
965,-0.00221
965.5,-0.00196
966,-0.00179
966.5,-0.00197
967,-0.00192
967.5,-0.00182
968,-0.00177
968.5,-0.00201
969,-0.00205
969.5,-0.00194
970,-0.00192
970.5,-0.00174
971,-0.00141
971.5,-0.00108
972,-0.00089
972.5,-0.0006
973,-0.00044
973.5,-0.00092
974,-0.00115
974.5,-0.00143
975,-0.0012
975.5,-0.00127
976,-0.0015
976.5,-0.0017
977,-0.00189
977.5,-0.00174
978,-0.00137
978.5,-0.00083
979,-0.00057
979.5,-8.00E-05
980,2.00E-05
980.5,-0.00027
981,-0.00026
981.5,-0.00047
982,-0.0005
982.5,-0.00064
983,-0.00054
983.5,-0.00069
984,-0.00067
984.5,-0.00011
985,-9.00E-05
985.5,-8.00E-05
986,-0.00029
986.5,-0.00052
987,-0.00023
987.5,-0.00017
988,0.00039
988.5,0.00019
989,0.00054
989.5,0.00037
990,0.0003
990.5,0.00037
991,0.00023
991.5,0.00022
992,-0.0001
992.5,-0.00018
993,-0.00014
993.5,-0.00022
994,4.00E-05
994.5,-0.00022
995,-0.0002
995.5,-0.0001
996,-0.00035
996.5,0
997,0.00051
997.5,0.00061
998,0.00121
998.5,0.00132
999,0.00145
999.5,0.0017
1000,0.00185
1000.5,0.00145
1001,0.00138
1001.5,0.00139
1002,0.00157
1002.5,0.00172
1003,0.00195
1003.5,0.00211
1004,0.00214
1004.5,0.00225
1005,0.00225
1005.5,0.00254
1006,0.00225
1006.5,0.00221
1007,0.00163
1007.5,0.00133
1008,0.00118
1008.5,0.00108
1009,0.00133
1009.5,0.00116
1010,0.00157
1010.5,0.0018
1011,0.0018
1011.5,0.0014
1012,0.00137
1012.5,0.00129
1013,0.00137
1013.5,0.00154
1014,0.00187
1014.5,0.00193
1015,0.00228
1015.5,0.00199
1016,0.00195
1016.5,0.0019
1017,0.00175
1017.5,0.00142
1018,0.00191
1018.5,0.00221
1019,0.00237
1019.5,0.00223
1020,0.00219
1020.5,0.00241
1021,0.0025
1021.5,0.00226
1022,0.00179
1022.5,0.00155
1023,0.00169
1023.5,0.00176
1024,0.00185
1024.5,0.00179
1025,0.00171
1025.5,0.00142
1026,0.00192
1026.5,0.00204
1027,0.00206
1027.5,0.0023
1028,0.00229
1028.5,0.00228
1029,0.00232
1029.5,0.00281
1030,0.00302
1030.5,0.00307
1031,0.00323
1031.5,0.00286
1032,0.00254
1032.5,0.00244
1033,0.00252
1033.5,0.00258
1034,0.00224
1034.5,0.00221
1035,0.00238
1035.5,0.00252
1036,0.00234
1036.5,0.00215
1037,0.00209
1037.5,0.00237
1038,0.00252
1038.5,0.0025
1039,0.00245
1039.5,0.00253
1040,0.00265
1040.5,0.00242
1041,0.00211
1041.5,0.00162
1042,0.00157
1042.5,0.0016
1043,0.00174
1043.5,0.00189
1044,0.0025
1044.5,0.00256
1045,0.00235
1045.5,0.00218
1046,0.002
1046.5,0.00205
1047,0.00163
1047.5,0.00167
1048,0.00142
1048.5,0.00138
1049,0.00131
1049.5,0.00144
1050,0.00161
1050.5,0.00165
1051,0.0014
1051.5,0.00144
1052,0.00135
1052.5,0.00154
1053,0.00166
1053.5,0.00199
1054,0.0024
1054.5,0.00232
1055,0.00205
1055.5,0.00177
1056,0.00182
1056.5,0.00184
1057,0.0022
1057.5,0.00237
1058,0.00235
1058.5,0.00217
1059,0.002
1059.5,0.00208
1060,0.00167
1060.5,0.00128
1061,0.00119
1061.5,0.00082
1062,0.00101
1062.5,0.00094
1063,0.00055
1063.5,0.00038
1064,0.00054
1064.5,0.00057
1065,0.00132
1065.5,0.00134
1066,0.00153
1066.5,0.00124
1067,0.00116
1067.5,0.00098
1068,0.00102
1068.5,0.00103
1069,0.00122
1069.5,0.00128
1070,0.00112
1070.5,0.00083
1071,0.00064
1071.5,0.00036
1072,0.00067
1072.5,0.00084
1073,0.00088
1073.5,0.00092
1074,0.00052
1074.5,0.00027
1075,0.00018
1075.5,0.00043
1076,0.00058
1076.5,0.00031
1077,-0.00013
1077.5,-0.00038
1078,-0.00058
1078.5,-0.00034
1079,0.00016
1079.5,0.00023
1080,-5.00E-05
1080.5,-0.00038
1081,-0.00041
1081.5,-0.00028
1082,-0.00028
1082.5,-0.00026
1083,-1.00E-05
1083.5,-8.00E-05
1084,-0.00039
1084.5,0
1085,-0.00019
1085.5,-4.00E-05
1086,-0.0001
1086.5,0.00028
1087,0.00069
1087.5,0.00099
1088,0.00134
1088.5,0.00139
1089,0.00128
1089.5,0.00143
1090,0.00166
1090.5,0.00157
1091,0.0013
1091.5,0.00127
1092,0.00119
1092.5,0.00069
1093,0.00055
1093.5,0.0008
1094,0.00067
1094.5,0.00093
1095,0.00103
1095.5,0.0007
1096,0.00047
1096.5,0.00066
1097,0.00064
1097.5,0.00086
1098,0.00052
1098.5,0.00056
1099,0.00023
1099.5,6.00E-05
1100,-0.00031
1100.5,-0.00057
1101,-0.00098
1101.5,-0.00089
1102,-0.0005
1102.5,-0.00059
1103,-0.00046
1103.5,2.00E-05
1104,0.00033
1104.5,0.00032
1105,0.00013
1105.5,-0.00028
1106,-0.00052
1106.5,-0.00051
1107,-0.00042
1107.5,-0.00035
1108,-0.00053
1108.5,-0.00084
1109,-0.00034
1109.5,-0.00076
1110,-0.00084
1110.5,-0.00066
1111,-0.00105
1111.5,-0.00094
1112,-0.00117
1112.5,-0.00099
1113,-0.0011
1113.5,-0.00112
1114,-0.00105
1114.5,-0.00074
1115,-0.00044
1115.5,-0.00054
1116,-0.0007
1116.5,-0.00062
1117,-0.00055
1117.5,-0.00072
1118,-0.00069
1118.5,-0.00061
1119,-0.00042
1119.5,-0.00054
1120,8.00E-05
1120.5,0.00021
1121,0.00018
1121.5,-5.00E-05
1122,-0.00024
1122.5,-0.00053
1123,-0.00031
1123.5,0.0004
1124,0.00073
1124.5,0.00104
1125,0.00149
1125.5,0.00115
1126,0.0012
1126.5,0.00065
1127,0.00074
1127.5,0.00049
1128,0.0005
1128.5,0.00054
1129,0.00049
1129.5,0.00045
1130,0.00028
1130.5,0.00039
1131,0.00024
1131.5,9.00E-05
1132,-9.00E-05
1132.5,6.00E-05
1133,-0.00017
1133.5,-0.00034
1134,-0.00065
1134.5,-0.00096
1135,-0.00098
1135.5,-0.00013
1136,1.00E-05
1136.5,0
1137,-0.00016
1137.5,-0.00056
1138,-0.00071
1138.5,-0.00037
1139,-0.00062
1139.5,-0.00055
1140,-0.00053
1140.5,-0.00072
1141,-0.0008
1141.5,-0.00092
1142,-0.001
1142.5,-0.00119
1143,-0.00128
1143.5,-0.00145
1144,-0.00172
1144.5,-0.00189
1145,-0.00203
1145.5,-0.00155
1146,-0.00179
1146.5,-0.00165
1147,-0.0021
1147.5,-0.00212
1148,-0.00245
1148.5,-0.00256
1149,-0.00247
1149.5,-0.00172
1150,-0.00123
1150.5,-0.00142
1151,-0.0019
1151.5,-0.00224
1152,-0.00221
1152.5,-0.00186
1153,-0.00158
1153.5,-0.00084
1154,-0.00096
1154.5,-0.00063
1155,-0.00066
1155.5,-0.00086
1156,-0.00131
1156.5,-0.00105
1157,-0.00111
1157.5,-0.001
1158,-0.00097
1158.5,-0.00108
1159,-0.00092
1159.5,-0.001
1160,-0.00095
1160.5,-0.00105
1161,-0.00081
1161.5,-0.00093
1162,-0.00072
1162.5,-0.00079
1163,-0.00134
1163.5,-0.00139
1164,-0.0011
1164.5,-0.0019
1165,-0.00225
1165.5,-0.00232
1166,-0.00228
1166.5,-0.00217
1167,-0.00198
1167.5,-0.00192
1168,-0.00184
1168.5,-0.00212
1169,-0.00216
1169.5,-0.00215
1170,-0.00235
1170.5,-0.00253
1171,-0.00237
1171.5,-0.00264
1172,-0.0022
1172.5,-0.00243
1173,-0.00201
1173.5,-0.00177
1174,-0.00147
1174.5,-0.00144
1175,-0.0021
1175.5,-0.00189
1176,-0.00227
1176.5,-0.00228
1177,-0.00249
1177.5,-0.00256
1178,-0.00247
1178.5,-0.00233
1179,-0.00188
1179.5,-0.00211
1180,-0.00202
1180.5,-0.00215
1181,-0.00269
1181.5,-0.00269
1182,-0.00277
1182.5,-0.00265
1183,-0.00236
1183.5,-0.00201
1184,-0.00189
1184.5,-0.00164
1185,-0.00189
1185.5,-0.00178
1186,-0.00158
1186.5,-0.00178
1187,-0.00145
1187.5,-0.00132
1188,-0.00117
1188.5,-0.00087
1189,-0.00108
1189.5,-0.00131
1190,-0.00141
1190.5,-0.0012
1191,-0.00097
1191.5,-0.00106
1192,-0.00071
1192.5,-0.00075
1193,-0.00043
1193.5,-0.00032
1194,-0.0004
1194.5,-0.00053
1195,-0.00024
1195.5,-0.00036
1196,-0.00022
1196.5,-0.00067
1197,-0.00074
1197.5,-0.00078
1198,-0.00075
1198.5,-0.00072
1199,-0.00044
1199.5,-0.00047
1200,-6.00E-05
1200.5,-0.00016
1201,-0.00028
1201.5,-0.00023
1202,-0.0003
1202.5,-0.0004
1203,-0.00038
1203.5,-0.00026
1204,-0.00015
1204.5,0.00041
1205,0.00056
1205.5,0.00061
1206,0.0006
1206.5,0.0003
1207,0.00046
1207.5,0.00027
1208,0
1208.5,1.00E-05
1209,2.00E-05
1209.5,-1.00E-05
1210,-0.00027
1210.5,-0.00054
1211,-0.00032
1211.5,-0.00106
1212,-0.00156
1212.5,-0.00149
1213,-0.00091
1213.5,-0.00092
1214,-0.00078
1214.5,-0.00067
1215,-0.00094
1215.5,-0.00119
1216,-0.00111
1216.5,-0.00082
1217,-0.00099
1217.5,-0.00085
1218,-0.0007
1218.5,-0.00095
1219,-0.00087
1219.5,-0.00066
1220,-0.00017
1220.5,-5.00E-05
1221,0.00027
1221.5,0.00012
1222,-0.00062
1222.5,-0.001
1223,-0.0014
1223.5,-0.00145
1224,-0.00097
1224.5,-0.00115
1225,-0.00077
1225.5,-0.00077
1226,-0.0007
1226.5,-0.00094
1227,-0.00113
1227.5,-0.00164
1228,-0.00159
1228.5,-0.00172
1229,-0.00164
1229.5,-0.00163
1230,-0.00178
1230.5,-0.00156
1231,-0.00179
1231.5,-0.00181
1232,-0.00162
1232.5,-0.00186
1233,-0.00221
1233.5,-0.0018
1234,-0.00161
1234.5,-0.00162
1235,-0.00162
1235.5,-0.00149
1236,-0.00134
1236.5,-0.00114
1237,-0.00089
1237.5,-0.00091
1238,-0.00072
1238.5,-0.00117
1239,-0.00115
1239.5,-0.00089
1240,-0.00091
1240.5,-0.00057
1241,-0.00083
1241.5,-0.00067
1242,-0.00068
1242.5,-0.00075
1243,-0.00085
1243.5,-0.00022
1244,-0.00021
1244.5,-0.00025
1245,-0.00038
1245.5,-0.0004
1246,0.00015
1246.5,0.00018
1247,-0.00014
1247.5,0.00011
1248,-0.0005
1248.5,-0.00029
1249,7.00E-05
1249.5,3.00E-05
1250,-4.00E-05
1250.5,-0.0005
1251,-0.00081
1251.5,-0.00103
1252,-0.00111
1252.5,-0.00095
1253,-0.00084
1253.5,-0.00079
1254,-0.00091
1254.5,-0.00042
1255,-0.0003
1255.5,-0.00044
1256,-0.00037
1256.5,-0.00071
1257,-0.00117
1257.5,-0.00119
1258,-0.00123
1258.5,-0.00068
1259,-0.00038
1259.5,-0.00047
1260,-0.00047
1260.5,-0.00046
1261,-0.00027
1261.5,0.00025
1262,0.00051
1262.5,0.00057
1263,0.00105
1263.5,0.00066
1264,0.00072
1264.5,0.00061
1265,0.00037
1265.5,-0.00016
1266,-6.00E-05
1266.5,-0.00013
1267,2.00E-05
1267.5,-0.00026
1268,-0.00021
1268.5,-3.00E-05
1269,-0.00037
1269.5,0.0001
1270,0.00013
1270.5,-0.00044
1271,-9.00E-05
1271.5,-0.00038
1272,-0.00092
1272.5,-0.00115
1273,-0.00079
1273.5,-0.00021
1274,0.00031
1274.5,0.0004
1275,0.00077
1275.5,0.00082
1276,0.00082
1276.5,0.00099
1277,0.00107
1277.5,0.00122
1278,0.00095
1278.5,0.00081
1279,0.00094
1279.5,0.00088
1280,0.00066
1280.5,0.0003
1281,0.00072
1281.5,0.00037
1282,-0.00031
1282.5,-0.00019
1283,0.00015
1283.5,0.00037
1284,0.0007
1284.5,0.00084
1285,0.00096
1285.5,0.0009
1286,0.00066
1286.5,0.00064
1287,0.00066
1287.5,0.00057
1288,0.00025
1288.5,8.00E-05
1289,0.00022
1289.5,0.00023
1290,0.00048
1290.5,0.00059
1291,0.00075
1291.5,0.00059
1292,0.00054
1292.5,0.00059
1293,0.00076
1293.5,0.00073
1294,0.00048
1294.5,0.00043
1295,0.00061
1295.5,0.00068
1296,0.00067
1296.5,0.00087
1297,0.0007
1297.5,0.00057
1298,0.00051
1298.5,0.00025
1299,0.00026
1299.5,1.00E-05
1300,-3.00E-05
1300.5,-6.00E-05
1301,-0.00017
1301.5,0
1302,1.00E-05
1302.5,-0.00023
1303,-0.00043
1303.5,-0.0004
1304,-0.00014
1304.5,0.00036
1305,0.00059
1305.5,0.00046
1306,0.00047
1306.5,0.00024
1307,0.00021
1307.5,0.00036
1308,0.00047
1308.5,0.00039
1309,0.00037
1309.5,0.00012
1310,-1.00E-05
1310.5,0.0003
1311,0.00034
1311.5,0.00048
1312,0.00043
1312.5,0.0006
1313,0.00043
1313.5,0.0001
1314,5.00E-05
1314.5,0.00027
1315,0.0003
1315.5,0.00046
1316,0.00088
1316.5,0.00078
1317,0.0008
1317.5,0.00118
1318,0.00149
1318.5,0.0016
1319,0.00164
1319.5,0.00205
1320,0.00245
1320.5,0.00268
1321,0.00265
1321.5,0.00252
1322,0.00243
1322.5,0.00183
1323,0.00203
1323.5,0.00182
1324,0.00159
1324.5,0.00144
1325,0.00106
1325.5,0.00102
1326,0.00098
1326.5,0.00104
1327,0.00098
1327.5,0.00116
1328,0.00098
1328.5,0.00133
1329,0.00146
1329.5,0.00134
1330,0.00162
1330.5,0.00181
1331,0.0021
1331.5,0.00209
1332,0.00258
1332.5,0.00249
1333,0.00242
1333.5,0.00221
1334,0.00224
1334.5,0.0021
1335,0.00188
1335.5,0.00196
1336,0.0021
1336.5,0.00238
1337,0.00247
1337.5,0.00233
1338,0.00247
1338.5,0.00192
1339,0.00187
1339.5,0.00178
1340,0.00209
1340.5,0.00184
1341,0.00173
1341.5,0.00146
1342,0.00129
1342.5,0.00165
1343,0.00169
1343.5,0.00157
1344,0.00133
1344.5,0.00119
1345,0.00127
1345.5,0.00123
1346,0.0016
1346.5,0.00161
1347,0.0014
1347.5,0.00143
1348,0.00115
1348.5,0.00164
1349,0.00235
1349.5,0.00258
1350,0.00287
1350.5,0.00321
1351,0.00324
1351.5,0.00287
1352,0.00299
1352.5,0.00304
1353,0.00315
1353.5,0.00288
1354,0.00315
1354.5,0.00327
1355,0.00306
1355.5,0.00286
1356,0.00248
1356.5,0.00223
1357,0.00203
1357.5,0.00229
1358,0.00229
1358.5,0.00217
1359,0.00201
1359.5,0.00202
1360,0.002
1360.5,0.00198
1361,0.00163
1361.5,0.00178
1362,0.00159
1362.5,0.00168
1363,0.00184
1363.5,0.00189
1364,0.00153
1364.5,0.00162
1365,0.00162
1365.5,0.00164
1366,0.00164
1366.5,0.00137
1367,0.00123
1367.5,0.0015
1368,0.0015
1368.5,0.00175
1369,0.00146
1369.5,0.00136
1370,0.00138
1370.5,0.00144
1371,0.00144
1371.5,0.00147
1372,0.00092
1372.5,0.0007
1373,0.00057
1373.5,0.00088
1374,0.00117
1374.5,0.00097
1375,0.00056
1375.5,0.00013
1376,3.00E-05
1376.5,-0.00019
1377,0.00017
1377.5,0.00019
1378,0.00019
1378.5,0.00041
1379,0.00093
1379.5,0.00078
1380,0.00103
1380.5,0.00048
1381,0.0001
1381.5,-0.00013
1382,-0.00025
1382.5,-3.00E-05
1383,-9.00E-05
1383.5,-0.00014
1384,0.00017
1384.5,0.00017
1385,0.00059
1385.5,0.00068
1386,0.00073
1386.5,0.00039
1387,0.00022
1387.5,-4.00E-05
1388,-2.00E-05
1388.5,-0.00025
1389,-0.00079
1389.5,-0.00113
1390,-0.00153
1390.5,-0.00133
1391,-0.00116
1391.5,-0.00125
1392,-0.00137
1392.5,-0.00102
1393,-0.00146
1393.5,-0.00159
1394,-0.00173
1394.5,-0.0015
1395,-0.00141
1395.5,-0.00147
1396,-0.00104
1396.5,-0.00099
1397,-0.00114
1397.5,-0.00102
1398,-0.00117
1398.5,-0.00112
1399,-0.00123
1399.5,-0.00118
1400,-0.00126
1400.5,-0.00167
1401,-0.00186
1401.5,-0.00154
1402,-0.0017
1402.5,-0.00209
1403,-0.00234
1403.5,-0.00232
1404,-0.00211
1404.5,-0.00181
1405,-0.00199
1405.5,-0.00152
1406,-0.00129
1406.5,-0.00157
1407,-0.00134
1407.5,-0.00117
1408,-0.00121
1408.5,-0.00141
1409,-0.0018
1409.5,-0.00205
1410,-0.0024
1410.5,-0.0021
1411,-0.00247
1411.5,-0.00265
1412,-0.00254
1412.5,-0.00241
1413,-0.00244
1413.5,-0.00256
1414,-0.00295
1414.5,-0.00345
1415,-0.00363
1415.5,-0.00376
1416,-0.00356
1416.5,-0.0036
1417,-0.00376
1417.5,-0.00379
1418,-0.00369
1418.5,-0.0037
1419,-0.00347
1419.5,-0.00335
1420,-0.00327
1420.5,-0.00319
1421,-0.0031
1421.5,-0.00304
1422,-0.00338
1422.5,-0.00311
1423,-0.00298
1423.5,-0.00333
1424,-0.003
1424.5,-0.00256
1425,-0.00231
1425.5,-0.0021
1426,-0.00219
1426.5,-0.00189
1427,-0.00178
1427.5,-0.00195
1428,-0.00191
1428.5,-0.00182
1429,-0.00224
1429.5,-0.00251
1430,-0.00255
1430.5,-0.00281
1431,-0.00282
1431.5,-0.00276
1432,-0.00265
1432.5,-0.00244
1433,-0.00288
1433.5,-0.00325
1434,-0.00332
1434.5,-0.00339
1435,-0.00337
1435.5,-0.00324
1436,-0.00326
1436.5,-0.00323
1437,-0.00306
1437.5,-0.00278
1438,-0.00265
1438.5,-0.00286
1439,-0.00255
1439.5,-0.00236
1440,-0.0025
1440.5,-0.0023
1441,-0.00182
1441.5,-0.00196
1442,-0.00202
1442.5,-0.00219
1443,-0.00224
1443.5,-0.0019
1444,-0.0019
1444.5,-0.00183
1445,-0.0019
1445.5,-0.00156
1446,-0.00112
1446.5,-0.00116
1447,-0.00122
1447.5,-0.00187
1448,-0.00167
1448.5,-0.00198
1449,-0.00177
1449.5,-0.00172
1450,-0.00161
1450.5,-0.00141
1451,-0.00176
1451.5,-0.00165
1452,-0.00154
1452.5,-0.0016
1453,-0.00165
1453.5,-0.00166
1454,-0.00185
1454.5,-0.00218
1455,-0.00171
1455.5,-0.00156
1456,-0.00138
1456.5,-0.00188
1457,-0.00211
1457.5,-0.0019
1458,-0.00208
1458.5,-0.00211
1459,-0.00242
1459.5,-0.00249
1460,-0.00261
1460.5,-0.00225
1461,-0.0025
1461.5,-0.00261
1462,-0.00239
1462.5,-0.00279
1463,-0.00251
1463.5,-0.00261
1464,-0.00234
1464.5,-0.00219
1465,-0.00204
1465.5,-0.00157
1466,-0.0013
1466.5,-0.00107
1467,-0.00112
1467.5,-0.00087
1468,-0.00061
1468.5,-0.00016
1469,8.00E-05
1469.5,-0.00013
1470,-0.00012
1470.5,-0.00026
1471,6.00E-05
1471.5,0.00026
1472,3.00E-05
1472.5,-9.00E-05
1473,0
1473.5,-0.0002
1474,4.00E-05
1474.5,0.0001
1475,-0.00024
1475.5,-0.00022
1476,-0.00043
1476.5,-0.00034
1477,-0.00018
1477.5,-0.00011
1478,-0.00016
1478.5,-0.00039
1479,-0.00053
1479.5,-0.00022
1480,-0.00028
1480.5,-0.00026
1481,-0.00078
1481.5,-0.00083
1482,-0.00059
1482.5,-0.00022
1483,0.00036
1483.5,0.00052
1484,0.00018
1484.5,-8.00E-05
1485,1.00E-05
1485.5,-9.00E-05
1486,-0.00034
1486.5,-0.00045
1487,-0.00055
1487.5,-0.00087
1488,-0.00076
1488.5,-0.0005
1489,-0.0005
1489.5,-0.00045
1490,-0.00066
1490.5,-0.00057
1491,-0.00045
1491.5,-0.00067
1492,-0.00088
1492.5,-0.0009
1493,-0.00086
1493.5,-0.00049
1494,-0.00062
1494.5,-0.00035
1495,-0.00065
1495.5,-0.00068
1496,-0.00042
1496.5,-0.00045
1497,-0.00019
1497.5,-0.00016
1498,0.00021
1498.5,5.00E-05
1499,0.00027
1499.5,0.0003
1500,0.00019
1500.5,0.00052
1501,0.00073
1501.5,0.00087
1502,0.00121
1502.5,0.00154
1503,0.00137
1503.5,0.0011
1504,0.00121
1504.5,0.00141
1505,0.00147
1505.5,0.00161
1506,0.00134
1506.5,0.001
1507,0.00104
1507.5,0.00135
1508,0.00156
1508.5,0.00157
1509,0.00137
1509.5,0.00111
1510,0.00126
1510.5,0.00136
1511,0.00161
1511.5,0.00154
1512,0.00117
1512.5,0.00102
1513,0.00063
1513.5,0.00069
1514,0.0007
1514.5,0.00071
1515,0.00059
1515.5,0.00066
1516,0.00022
1516.5,0.00022
1517,-0.00012
1517.5,-0.00018
1518,-0.00031
1518.5,-0.00057
1519,-0.00011
1519.5,-5.00E-05
1520,0.00063
1520.5,0.00081
1521,0.00066
1521.5,0.00072
1522,0.00071
1522.5,0.00107
1523,0.00109
1523.5,0.00098
1524,0.00105
1524.5,0.00118
1525,0.0016
1525.5,0.0018
1526,0.00156
1526.5,0.00153
1527,0.00108
1527.5,0.00112
1528,0.00133
1528.5,0.00157
1529,0.0013
1529.5,0.00134
1530,0.00071
1530.5,0.00046
1531,0.00051
1531.5,0.00016
1532,0.00028
1532.5,-0.00039
1533,-0.00023
1533.5,-0.00047
1534,-0.00083
1534.5,-0.00085
1535,-0.00113
1535.5,-0.00143
1536,-0.00136
1536.5,-0.00133
1537,-0.0012
1537.5,-0.00073
1538,-0.00062
1538.5,-0.00063
1539,-0.00031
1539.5,-0.00029
1540,0.00042
1540.5,0.00066
1541,0.00054
1541.5,0.00047
1542,0.0001
1542.5,0.00042
1543,2.00E-05
1543.5,6.00E-05
1544,1.00E-05
1544.5,9.00E-05
1545,-7.00E-05
1545.5,0.00037
1546,0.0003
1546.5,0.00025
1547,0.00016
1547.5,0.00036
1548,0.00031
1548.5,-0.00024
1549,-0.00012
1549.5,-0.00014
1550,0.00021
1550.5,3.00E-05
1551,-0.00024
1551.5,-0.00059
1552,-0.00074
1552.5,-0.00059
1553,-0.00078
1553.5,-0.00048
1554,-0.00061
1554.5,-0.00025
1555,-0.00015
1555.5,0.0001
1556,0.00027
1556.5,9.00E-05
1557,5.00E-05
1557.5,0.00023
1558,0.00011
1558.5,0.00024
1559,0
1559.5,4.00E-05
1560,0.00013
1560.5,0.00029
1561,0.00047
1561.5,0.00067
1562,0.00076
1562.5,0.00079
