x坐标, y坐标
184,0.00075
184.5,0.0007
185,0.0009
185.5,0.00098
186,0.00175
186.5,0.00211
187,0.00224
187.5,0.00193
188,0.00205
188.5,0.00197
189,0.00202
189.5,0.00189
190,0.00208
190.5,0.00225
191,0.00245
191.5,0.00259
192,0.00228
192.5,0.00224
193,0.00221
193.5,0.00235
194,0.00226
194.5,0.00236
195,0.00217
195.5,0.00193
196,0.00179
196.5,0.00159
197,0.00134
197.5,0.00158
198,0.00137
198.5,0.00152
199,0.00177
199.5,0.00191
200,0.00237
200.5,0.0026
201,0.00233
201.5,0.00278
202,0.00277
202.5,0.00275
203,0.00264
203.5,0.00249
204,0.00219
204.5,0.00169
205,0.00183
205.5,0.00149
206,0.00181
206.5,0.00172
207,0.00195
207.5,0.00194
208,0.00167
208.5,0.00162
209,0.00143
209.5,0.0013
210,0.00157
210.5,0.0017
211,0.0017
211.5,0.00176
212,0.00234
212.5,0.00254
213,0.00234
213.5,0.0022
214,0.00217
214.5,0.00224
215,0.00227
215.5,0.00239
216,0.0025
216.5,0.00174
217,0.00167
217.5,0.0014
218,0.00129
218.5,0.00148
219,0.00194
219.5,0.00199
220,0.00211
220.5,0.00181
221,0.00132
221.5,0.00123
222,0.001
222.5,0.00112
223,0.00109
223.5,0.00103
224,0.00083
224.5,0.0007
225,0.0003
225.5,0.00024
226,-3.00E-05
226.5,0.00029
227,0.0002
227.5,0.00029
228,0.00067
228.5,0.00078
229,0.0007
229.5,0.00075
230,0.00032
230.5,0.00036
231,0.00027
231.5,0.00041
232,0.00028
232.5,0.00017
233,-0.00022
233.5,-0.00053
234,-0.00028
234.5,-0.00063
235,-0.00021
235.5,-0.00033
236,-0.00034
236.5,-1.00E-05
237,-6.00E-05
237.5,-3.00E-05
238,-0.00014
238.5,-0.00021
239,-0.00032
239.5,-0.00016
240,-7.00E-05
240.5,3.00E-05
241,8.00E-05
241.5,0.00028
242,0.00029
242.5,0.00013
243,0.00035
243.5,8.00E-05
244,3.00E-05
244.5,0.00043
245,0.00069
245.5,0.00091
246,0.00069
246.5,0.00029
247,2.00E-05
247.5,0
248,6.00E-05
248.5,0.00047
249,0.00067
249.5,0.0006
250,0.00051
250.5,0.00038
251,0.00039
251.5,0.00045
252,0.00036
252.5,0.00024
253,0.00038
253.5,0.00053
254,0.00074
254.5,0.00079
255,0.00076
255.5,0.00089
256,0.00103
256.5,0.00172
257,0.00175
257.5,0.00176
258,0.00177
258.5,0.00172
259,0.00175
259.5,0.00148
260,0.00085
260.5,0.00106
261,0.00123
261.5,0.00144
262,0.00128
262.5,0.00082
263,0.0006
263.5,0.00054
264,0.00084
264.5,0.00097
265,0.00067
265.5,0.00037
266,-0.00029
266.5,-0.00058
267,-0.00089
267.5,-0.00118
268,-0.00109
268.5,-0.0012
269,-0.00146
269.5,-0.0016
270,-0.00156
270.5,-0.00157
271,-0.00168
271.5,-0.00215
272,-0.00235
272.5,-0.00248
273,-0.00283
273.5,-0.00315
274,-0.00316
274.5,-0.00355
275,-0.00341
275.5,-0.00317
276,-0.00303
276.5,-0.00288
277,-0.00285
277.5,-0.0029
278,-0.00262
278.5,-0.00213
279,-0.00226
279.5,-0.00222
280,-0.00206
280.5,-0.00199
281,-0.00195
281.5,-0.00171
282,-0.00187
282.5,-0.0015
283,-0.00179
283.5,-0.00183
284,-0.00231
284.5,-0.00284
285,-0.00254
285.5,-0.00259
286,-0.00245
286.5,-0.00242
287,-0.00211
287.5,-0.00149
288,-0.00145
288.5,-0.00151
289,-0.00164
289.5,-0.00198
290,-0.002
290.5,-0.00205
291,-0.0021
291.5,-0.00197
292,-0.00218
292.5,-0.002
293,-0.0018
293.5,-0.00142
294,-0.00128
294.5,-0.00091
295,-0.00073
295.5,-0.0006
296,-0.00125
296.5,-0.00156
297,-0.00164
297.5,-0.00163
298,-0.00167
298.5,-0.00198
299,-0.0017
299.5,-0.0016
300,-0.00178
300.5,-0.00142
301,-0.00089
301.5,-0.00069
302,-0.00086
302.5,-0.00108
303,-0.00118
303.5,-0.00098
304,-0.00146
304.5,-0.00146
305,-0.00218
305.5,-0.00227
306,-0.00213
306.5,-0.00208
307,-0.00183
307.5,-0.00206
308,-0.00177
308.5,-0.00216
309,-0.00225
309.5,-0.00229
310,-0.00191
310.5,-0.00163
311,-0.00162
311.5,-0.00143
312,-0.00162
312.5,-0.00163
313,-0.00178
313.5,-0.00176
314,-0.00161
314.5,-0.00137
315,-0.00069
315.5,-0.00038
316,6.00E-05
316.5,0.00033
317,0.00056
317.5,0.00046
318,0.00055
318.5,0.00076
319,0.00081
319.5,0.00088
320,0.00113
320.5,0.00102
321,0.00115
321.5,0.00094
322,0.00104
322.5,0.00091
323,0.00078
323.5,0.00034
324,0.00018
324.5,0.00015
325,2.00E-05
325.5,-0.00015
326,0.0002
326.5,0.00031
327,0.00062
327.5,0.0011
328,0.00152
328.5,0.00175
329,0.00184
329.5,0.0015
330,0.00159
330.5,0.00175
331,0.00169
331.5,0.00208
332,0.00221
332.5,0.00197
333,0.00228
333.5,0.00211
334,0.00158
334.5,0.00151
335,0.00134
335.5,0.00122
336,0.00139
336.5,0.00136
337,0.00135
337.5,0.0017
338,0.00104
338.5,0.0007
339,0.00015
339.5,-0.0004
340,-0.00019
340.5,-6.00E-05
341,0.00017
341.5,0.00049
342,0.00043
342.5,0.00055
343,0.00038
343.5,0.00021
344,0.0002
344.5,0.00022
345,0.00018
345.5,0.00052
346,0.00071
346.5,0.00045
347,0.00044
