少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22,9.1
飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009-08-04,8.9
末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987-10-23,8.8
鬼子来了,"姜文,姜宏波,陈强",2000-05-12(法国戛纳),8.9
大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014-10-24,9.6
怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-08-06(美国),8.9
致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-20(美国),8.8
美丽心灵,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",2001-12-21(美国),8.8
无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012-11-06,9.1
倩女幽魂,"张国荣,王祖贤,午马",2011-04-30,9.2
夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994-11-11(美国),8.8
蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012-08-27,8.9
钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-09-25(法国),8.8
本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国),8.8
哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011-08-04,9.0
甜蜜蜜,"黎明,张曼玉,曾志伟",2015-02-13,9.2
初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012-06-05,8.8
触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02(法国),9.1
新龙门客栈,"张曼玉,梁家辉,甄子丹",2012-02-24,8.8
熔炉,"孔刘,郑有美,金智英",2011-09-22(韩国),8.8
大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24,8.8
小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1999-01-22(美国),9.0
教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",2015-04-18,9.3
素媛,"李来,薛耿求,严志媛",2013-10-02(韩国),9.1
萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011-09-17(日本),9.0
穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-09-12(英国),9.0
窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国),9.0
时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.9
7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013-01-23(韩国),8.9
恐怖直播,"河正宇,李璟荣,李大为",2013-07-31(韩国),8.8
海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国),8.9
忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987-08-01(日本),9.0
上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002-08-30(巴西),8.9
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015-04-23,9.1
七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本),9.1
完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24(美国),8.9
一一,"吴念真,金燕玲,李凯莉",2000-09-20(法国),8.9
英雄本色,"狄龙,张国荣,周润发",2017-11-17,9.2
阿飞正传,"张国荣,张曼玉,刘德华",2018-06-25,8.8
爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国),9.0
海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011-08-12,9.0
我爱你,"宋在浩,李顺才,尹秀晶",2011-02-17(韩国),9.0
黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966-12-23(意大利),8.9
迁徙的鸟,"雅克·贝汉,Philippe Labro",2001-12-12(法国),9.1
龙猫,"秦岚,糸井重里,岛本须美",2018-12-14,9.1
千与千寻,"柊瑠美,周冬雨,入野自由",2019-06-21,9.3
