学校招生代码,学校名称,专业招生代码,专业名称,计划,语种,学制,学费
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,	01,财政学类(财政学、税收学)(包含财政学、税收学专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,10,经济与贸易类(国际经济与贸易、贸易经济)(包含贸易经济、国际经济与贸易专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,14,会计学(按照专业招生),2,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,17,金融学类(金融工程、保险学、投资学、互联网金融)(包含金融工程、投资学、保险学、互联网金融专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,18,金融学(按照专业招生),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,19,经济学类(经济学、国民经济管理)(包含经济学、国民经济管理专业),1,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0F,中国语言文学类(汉语言文学、汉语国际教育)（龙河校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0H,哲学类(哲学、应用心理学)（龙河校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0N,会计学（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0P,工商管理类(工商管理、财务管理、市场营销、人力资源管理、电子商务、物流管理、旅游管理、人文地理与城乡规划)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0W,法学类(法学、知识产权)（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0X,管理科学与工程类(信息管理与信息系统、行政管理、劳动与社会保障、管理科学、图书馆学、档案学)（龙河校区）,4,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0Y,政治学类(社会学、社会工作、国际事务与国际关系、政治学与行政学)（磬苑校区）,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,N1,财务管理,1,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,NA,经济学,1,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,NC,人力资源管理,2,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1U,会计学,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1V,财务管理,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1W,资产评估,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,21,劳动与社会保障,1,不限,4,待定
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,44,社会工作,2,不限,4,3850
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,45,汉语言文学,1,不限,4,3850
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,77,茶学(茶文化与贸易方向),1,不限,4,4290
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	06,思想政治教育(师范类),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	08,行政管理,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	0Y,俄语,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2R,经济学类(经济学、投资学),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2S,工商管理类(会计学、财务管理、物流管理、人力资源管理),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2W,新闻传播学类(新闻学、广告学、网络与新媒体),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 , 	0013 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	2 , , , 
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	0Z,外国语言文学类(中外合作办学)(俄语)(具体事宜见学校招生网),2,不限,4,10000
 	0020 ,	安康学院 (陕西)  文史——普通类本科批 ,	02,思想政治教育,2,不限,4,3500
 	0021 ,	安庆师范大学 (安徽)  文史——普通类本科批 ,	0R,国际经济与贸易,5,不限,4,待定
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	01,汉语言文学(师范类),45,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	02,汉语国际教育,14,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	03,新闻学,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	04,网络与新媒体,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	05,思想政治教育(师范类),12,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	06,历史学(师范类),12,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	07,行政管理,12,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	08,社会工作,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	09,英语(一年后分流为英语（师范），英语，商务英语),68,英语,4,4800
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,10,日语,18,英日,4,4800
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,11,会计学,10,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,12,旅游管理,11,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,13,酒店管理,37,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,14,市场营销,7,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,15,图书馆学,13,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,16,学前教育(师范类),34,不限,4,3500
 	0022 ,	安顺学院 (贵州)  文史——普通类本科批 ,	04,公共事业管理,1,不限,4,4100
 	0022 ,	安顺学院 (贵州)  文史——普通类本科批 ,16,中国共产党历史,1,不限,4,待定
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,	01,中国语言文学类(汉语言文学、汉语国际教育)(师范类),3,不限,4,3400
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,	02,历史学类(历史学(师范类)、考古学),3,不限,4,3400
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,11,思想政治教育(师范类),3,不限,4,3400
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	01,思想政治教育(师范类),2,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	02,小学教育(师范类),2,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	05,汉语言文学(师范类),3,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	07,历史学(师范类),3,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,A6,商务英语,3,不限,4,4600
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,A7,文化产业管理,2,不限,4,3800
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,D5,财务管理(校企合作),2,不限,4,7000
 	0030 ,	百色学院 (广西)  文史——普通类本科批 ,	0P,汉语言文学(师范类),2,不限,4,4200
 	0030 ,	百色学院 (广西)  文史——普通类本科批 ,1Y,国际经济与贸易,2,不限,4,4600
 	0030 ,	百色学院 (广西)  文史——普通类本科批 ,2C,思想政治教育(师范类),2,不限,4,4200
 	0030 ,	百色学院 (广西)  文史——普通类本科批 ,2D,人文教育(师范类),2,不限,4,4200
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,11,汉语言文学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,21,思想政治教育,1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,22,知识产权,1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,31,历史学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,41,英语,1,英语,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,91,地理科学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,A3,学前教育(师范类),1,不限,4,待定
 	0033 ,	保定学院 (河北)  文史——普通类本科批 ,C1,人力资源管理,1,不限,4,待定
 	0032 ,	宝鸡文理学院 (陕西)  文史——普通类本科批 ,	04,教育学(师范类),2,不限,4,3500
 	0032 ,	宝鸡文理学院 (陕西)  文史——普通类本科批 ,	08,广告学,2,不限,4,3500
 	0032 ,	宝鸡文理学院 (陕西)  文史——普通类本科批 ,10,文化产业管理,2,不限,4,3500
 	0032 ,	宝鸡文理学院 (陕西)  文史——普通类本科批 ,12,行政管理,3,不限,4,3500
 	0036 ,	北方工业大学 (北京)  文史——普通类本科批 ,	02,法学类(法学、知识产权),2,不限,4,4200
 	0036 ,	北方工业大学 (北京)  文史——普通类本科批 ,	04,汉语言文学,2,不限,4,4200
 	0036 ,	北方工业大学 (北京)  文史——普通类本科批 ,	05,英语,2,英语,4,5000
 	0036 ,	北方工业大学 (北京)  文史——普通类本科批 ,	06,日语,2,英日,4,5000
 	0036 ,	北方工业大学 (北京)  文史——普通类本科批 ,1G,国际经济与贸易(国际化培养班),1,不限,4,4200
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,	05,法学,2,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,10,广告学,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,12,历史学,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,13,英语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,14,商务英语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,15,日语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,16,阿拉伯语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 , 	0038 ,	北方民族大学 (银川)  文史——普通类本科批 ,	22 , , , 
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,68,经济学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,70,金融学(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,71,国际经济与贸易(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,72,法学(只招少数民族考生),4,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,73,思想政治教育(只招少数民族考生),2,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,75,汉语言文学(只招少数民族考生),2,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,76,新闻学(只招少数民族考生),1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,80,英语(只招少数民族考生),1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,81,商务英语(只招少数民族考生),1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,82,日语(只招少数民族考生),2,不限,4,4000
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,B7,工商管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,B8,会计学(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,B9,财务管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,C1,物流管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,C4,公共事业管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,C5,行政管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 , 	1831 ,	北方民族大学 (银川)  文史——普通类本科批 ,	4 , , , 
 	0037 ,	北方民族大学 (银川)  文史——普通类本科批 ,AA,少数民族预科班,4,英语,1,2500
 	0041 ,	北华大学 (吉林市)  文史——普通类本科批 ,G6,西班牙语,2,不限,4,5060
 	0041 ,	北华大学 (吉林市)  文史——普通类本科批 ,H2,俄语,2,不限,4,5060
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,	08,市场营销,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,	09,人力资源管理,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,10,国际经济与贸易,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,11,物流管理,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,12,经济学,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,13,电子商务,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,22,工商管理类(会计学、财务管理),1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,23,英语,1,英语,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,29,社会工作,1,不限,4,待定
 	0043 ,	北华航天工业学院 (廊坊)  文史——普通类本科批 ,30,秘书学,1,不限,4,待定
 	0046 ,	北京城市学院  文史——普通类本科批 ,	01,金融学类(金融学、国际经济与贸易),1,不限,4,19800
 	0046 ,	北京城市学院  文史——普通类本科批 ,14,传播学(含新闻报道、广告与新媒体、时尚编辑方向),1,不限,4,19800
 	0046 ,	北京城市学院  文史——普通类本科批 ,15,传播学(雅思英语国际课程班)(非英语语种考生慎报),1,不限,4,29900
 	0046 ,	北京城市学院  文史——普通类本科批 ,36,工商管理类(会计学、工商管理、人力资源管理),1,不限,4,19800
 	0046 ,	北京城市学院  文史——普通类本科批 ,40,会展经济与管理,1,不限,4,19800
 	0046 ,	北京城市学院  文史——普通类本科批 ,43,旅游管理(民航业订制培养班),1,不限,4,25100
 	0047 ,	北京大学  文史——普通类本科批 ,	01,文科试验班类(中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、外国语言文学类),1,不限,4,5300
 	0047 ,	北京大学  文史——普通类本科批 ,	02,中国语言文学类(汉语言文学、汉语言、古典文献学、应用语言学),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	03,考古学,1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	04,历史学类(历史学(中国史)、世界史、外国语言与外国历史),2,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	05,哲学类(哲学、宗教学、逻辑学(科技哲学)),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	06,社会学类(社会学、社会工作),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	07,国际政治(国政、外交学、国际政经),2,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	08,法学,2,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,	09,信息管理与信息系统,1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,10,新闻传播学类(新闻学、广播电视学、广告学、编辑出版学),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,11,经济学类(经济学、金融学、国际经济与贸易、保险学(风险管理与保险)、财政学、资源与环境经济学),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,12,工商管理类(金融学、经济学(金融)、会计学、市场营销),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,13,公共管理类(政治学与行政学、城市管理、行政管理),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,14,人文科学试验班(艺术史论、戏剧与影视学类、艺术学理论类(文化产业)),1,不限,4,5000
 	0047 ,	北京大学  文史——普通类本科批 ,15,英语,2,英语,4,5000
 	0051 ,	北京第二外国语学院中瑞酒店管理学院  文史——普通类本科批 ,	01,酒店管理(财务及投融资方向),2,不限,4,49800
 	0051 ,	北京第二外国语学院中瑞酒店管理学院  文史——普通类本科批 ,	02,酒店管理(人力资源方向),2,不限,4,49800
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,	01,英语,1,英语,4,5000
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,	03,日语,2,不限,4,5000
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,	04,阿拉伯语,1,不限,4,5000
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,	08,葡萄牙语,1,不限,4,5000
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,10,俄语,1,不限,4,5000
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,18,汉语言文学,1,不限,4,4200
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,1B,财务管理,1,不限,4,4200
 	0050 ,	北京第二外国语学院  文史——普通类本科批 ,1C,法学,1,不限,4,4200
 	0057 ,	北京服装学院  文史——普通类本科批 ,	05,传播学,1,不限,4,4200
 	0057 ,	北京服装学院  文史——普通类本科批 ,	06,广告学,1,不限,4,4200
 	0057 ,	北京服装学院  文史——普通类本科批 ,	07,国际经济与贸易,1,不限,4,4200
 	0057 ,	北京服装学院  文史——普通类本科批 ,	08,工商管理类(工商管理、市场营销、会计学),4,不限,4,4200
 	0057 ,	北京服装学院  文史——普通类本科批 ,	09,信息管理与信息系统,1,不限,4,4200
 	0059 ,	北京工商大学嘉华学院  文史——普通类本科批 ,3C,"会计学(注册会计师CPA、3+1+1本硕联合培养项目)(学费包含一次英美加澳(四选一)2至3周公费""微留学""，详见招生章程)",2,不限,4,69800
 	0058 ,	北京工商大学  文史——普通类本科批 ,11,经济学类(经贸类)(经济学、贸易经济、国际经济与贸易),2,不限,4,4200
 	0058 ,	北京工商大学  文史——普通类本科批 ,20,外国语言文学类(英语(商务翻译)、商务英语、西班牙语),2,英语,4,5000
 	0058 ,	北京工商大学  文史——普通类本科批 ,21,新闻传播学类(新闻学、广告学),2,不限,4,4200
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	02,财务管理,1,不限,4,38600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	03,国际经济与贸易,1,不限,4,33600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	04,建筑学,1,不限,4,38600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	06,汉语国际教育,1,不限,4,33600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	07,工程管理,1,不限,4,33600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,	09,金融工程,1,不限,4,38600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,10,工业设计,1,不限,4,33600
 	0062 ,	北京工业大学耿丹学院  文史——普通类本科批 ,9Y,市场营销(大数据营销),1,不限,4,33600
 	0060 ,	北京工业大学  文史——普通类本科批 ,40,英语(第一年在通州校区，第二至四年在平乐园校区)(详细要求见招生章程),2,英语,4,5000
 	0060 ,	北京工业大学  文史——普通类本科批 ,41,广告学(第一年在通州校区，第二至四年在平乐园校区)(详细要求见招生章程),2,不限,4,5000
 	0065 ,	北京航空航天大学  文史——普通类本科批 ,	08,社会科学试验班(经济学、行政管理、英语、翻译、德语、法学),5,不限,4,5000
 	0066 ,	北京化工大学,16,国际经济与贸易,2,不限,4,5000
 	0066 ,	北京化工大学,17,工商管理类(会计学、工商管理、财务管理),2,不限,4,5000
 	0066 ,	北京化工大学,19,法学,3,不限,4,5000
 	0066 ,	北京化工大学,20,英语,2,英语,4,5000
 	0066 ,	北京化工大学,21,公共管理类(行政管理、公共事业管理),2,不限,4,5000
 	0069 ,	北京吉利学院  文史——普通类本科批 ,	01,经济与金融,1,不限,4,26800
 	0069 ,	北京吉利学院  文史——普通类本科批 ,	0B,人力资源管理,1,不限,4,26800
 	0069 ,	北京吉利学院  文史——普通类本科批 ,	0K,英语(国际传媒、跨国商务),2,不限,4,26800
 	0070 ,	北京建筑大学  文史——普通类本科批 ,30,工商管理,1,不限,4,4200
 	0070 ,	北京建筑大学  文史——普通类本科批 ,32,法学,1,不限,4,4200
 	0077 ,	北京交通大学海滨学院 (黄骅)  文史——普通类本科批 ,W1,工商管理,2,不限,4,11500
 	0077 ,	北京交通大学海滨学院 (黄骅)  文史——普通类本科批 ,W3,物流管理,1,不限,4,11500
 	0077 ,	北京交通大学海滨学院 (黄骅)  文史——普通类本科批 ,W4,旅游管理,1,不限,4,11500
 	0077 ,	北京交通大学海滨学院 (黄骅)  文史——普通类本科批 ,W5,酒店管理,1,不限,4,13000
 	0072 ,	北京交通大学  文史——普通类本科批 ,	01,法学,2,不限,4,5000
 	0072 ,	北京交通大学  文史——普通类本科批 ,	02,外国语言文学类(英语、西班牙语、葡萄牙语),1,英语,4,5500
 	0072 ,	北京交通大学  文史——普通类本科批 ,	03,新闻传播学类(传播学、网络与新媒体),1,不限,4,5000
 	0072 ,	北京交通大学  文史——普通类本科批 ,	04,经济管理试验班(经济学、金融学、劳动与社会保障、会计学、财务管理、工商管理、市场营销、旅游管理、工程管理、物流管理、信息管理与信息系统、保密管理),2,不限,4,5000
 	0088 ,	北京科技大学天津学院 (天津)  文史——普通类本科批 ,	0P,国际经济与贸易,3,不限,4,15000
 	0087 ,	北京科技大学  文史——普通类本科批 ,23,工商管理类(工商管理、会计学)(一年后，可在本类中选择专业),1,不限,4,5000
 	0087 ,	北京科技大学  文史——普通类本科批 ,24,经济与贸易类(国际经济与贸易、金融工程)(一年后，可在本类中选择专业),1,不限,4,5000
 	0087 ,	北京科技大学  文史——普通类本科批 ,25,人文科学试验班(行政管理、社会工作(社会管理)、法学)(一年后，可在本类中选择专业),9,不限,4,5000
 	0087 ,	北京科技大学  文史——普通类本科批 ,26,英语,3,英语,4,5000
 	0087 ,	北京科技大学  文史——普通类本科批 ,27,日语,3,英语,4,5000
 	0087 ,	北京科技大学  文史——普通类本科批 ,28,德语,2,英语,4,5000
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,20,交通运输,3,不限,4,22000
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,34,财务管理,3,不限,4,26000
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,42,日语,2,不限,4,22000
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 , 	0095 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,	4 , , , 
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,60,会计学(3+1+1中外联合培养),2,不限,4,80000
 	0093 ,	北京理工大学珠海学院 (广东)  文史——普通类本科批 ,62,国际商务(2+2中外联合培养),2,不限,4,80000
 	0091 ,	北京理工大学  文史——普通类本科批 ,	09,社会科学试验班(精品文科班)(经济学、社会工作、法学、英语、德语、日语、西班牙语)(其中，英语、日语、德语、西班牙语专业方向学费为6000元/年),15,不限,4,5000
 	0096 ,	北京联合大学  文史——普通类本科批 ,	0L,信息管理与信息系统,1,不限,4,4200
 	0096 ,	北京联合大学  文史——普通类本科批 ,	0P,会计学(国际会计),1,不限,4,4200
 	0098 ,	北京林业大学  文史——普通类本科批 ,14,旅游管理,2,不限,4,5000
 	0098 ,	北京林业大学  文史——普通类本科批 ,15,工商管理类(会计学、工商管理、市场营销、人力资源管理、物业管理)(按大类招生，前三个学期统一进行基础教学，第四学期开始按专业方向培养),6,不限,4,5000
 	0098 ,	北京林业大学  文史——普通类本科批 ,19,国际经济与贸易,2,不限,4,5000
 	0098 ,	北京林业大学  文史——普通类本科批 ,32,日语,2,英语,4,6000
 	0105 ,	北京师范大学-香港浸会大学联合国际学院 (珠海)  文史——普通类本科批 ,	01,工商管理类(中外合作办学)(财务管理、人力资源管理、市场营销、工商管理、文化产业管理)(按大类招生，其中，工商管理专业培养创业与创新管理方向，文化产业管理专业培养文化创意与管理方向。第一学年第一学期第十周前最后确认专业分流。非英语语种考生慎报),4,不限,4,80000
 	0105 ,	北京师范大学-香港浸会大学联合国际学院 (珠海)  文史——普通类本科批 ,	02,新闻传播学类(中外合作办学)(新闻学、广告学、传播学)(按大类招生，其中，广告学专业培养公共关系与广告学方向，传播学专业培养媒体艺术与设计/影视学两个方向。第一学年第一学期第十周前最后确认专业分流。非英语语种考生慎报),3,不限,4,80000
 	0105 ,	北京师范大学-香港浸会大学联合国际学院 (珠海)  文史——普通类本科批 ,	05,工商管理类(中外合作办学)(会计学)(按专业招生，非英语语种考生慎报),3,不限,4,80000
 	0105 ,	北京师范大学-香港浸会大学联合国际学院 (珠海)  文史——普通类本科批 ,	09,社会学类(中外合作办学)(社会学)(按专业招生，培养社会工作与社会行政学方向，非英语语种考生慎报),2,不限,4,80000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,	02,金融学(2十2中外联合培养双学位),2,不限,4,30000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,	05,国际经济与贸易,1,不限,4,22000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,	06,法学,1,不限,4,22000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,10,汉语言文学,2,不限,4,22000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,11,汉语国际教育,2,不限,4,22000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,16,广告学(2十2中外联合培养双学位),2,不限,4,24000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,43,人力资源管理(2十2中外联合培养双学位),2,不限,4,24000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,46,物流管理,2,不限,4,22000
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 , 	0107 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,	4 , , , 
 	0106 ,	北京师范大学珠海分校 (广东)  文史——普通类本科批 ,	04,金融学类(中外合作办学)(4十0中加合作办学双学位)(金融学),4,不限,4,49400
 	0103 ,	北京师范大学  文史——普通类本科批 ,	07,法学(卓越实验班),2,不限,4,4800
 	0103 ,	北京师范大学  文史——普通类本科批 ,10,教育学(国家试点学院),2,不限,4,4800
 	0103 ,	北京师范大学  文史——普通类本科批 ,11,工商管理（国际商务管理实验班）,2,不限,4,4800
 	0103 ,	北京师范大学  文史——普通类本科批 ,15,金融学,2,不限,4,5000
 	0103 ,	北京师范大学  文史——普通类本科批 ,24,英语,2,英语,4,6000
 	0103 ,	北京师范大学  文史——普通类本科批 ,25,汉语言文学,4,不限,4,4800
 	0109 ,	北京体育大学  文史——普通类本科批 ,	01,经济学(体育产业方向),1,不限,4,5000
 	0109 ,	北京体育大学  文史——普通类本科批 ,	02,教育学(体育方向),1,不限,4,5000
 	0109 ,	北京体育大学  文史——普通类本科批 ,12,体育经济与管理(冰雪产业和冬季项目管理方向),2,不限,4,5000
 	0109 ,	北京体育大学  文史——普通类本科批 ,13,公共事业管理(体育管理),1,不限,4,5000
 	0109 ,	北京体育大学  文史——普通类本科批 ,15,马克思主义理论,1,不限,4,5000
 	0109 ,	北京体育大学  文史——普通类本科批 ,16,汉语国际教育,1,不限,4,5000
