id,source,source_position_id,company_name,company_logo,position_name,city,education,salary,exceed,experience_requirements,position_requirements,fringe_benefits,type,hot,create_time,poster
10,0,,广发证券,http://cloud.aimscrm.cn/uploads/20180914/06d863ab2f1a7ae06371bf3916370f37.jpg,债券业务岗,北京,硕士,12-15w,超过98%应届毕业生,应届生,"1、硕士研究生（含）以上学历在校生，经济、金融、会计、财管、法律等相关专业；
2、通过CPA科目考试者优先；
3、具有较好的文字写作能力，熟练使用OFFICE；具有较强的学习能力、抗压能力、沟通能力、团队合作精神，责任心强。","1、在国家法定“五险一金”的福利基础上，我们还额外提供丰富、有特色且充满人文关怀的员工福利项目，努力从“衣”“食”“住”“行”“医”等各个方面给予员工更多的保障，让每一位广发人在工作之余，都能充分享受“安心、放心、舒心”的生活。
2、五险一金+补充医疗保险；
3、各大节日福利奖金+带薪年假；
4、员工宿舍+员工津贴+班车+高级工装定制+通讯补贴。",5,0.0,0,0
11,0,,好未来,http://cloud.aimscrm.cn/uploads/20180914/ad749ce8e517c27506c0cba032a99392.jpg,综合管培生,北京,本科,15-20w,超过98%应届毕业生,应届生,"1、全日制本科或以上，优秀高校毕业；
2、英语可作为工作语言；
3、专业不限，教育管理、市场营销、工商管理、公共关系管理、企业管理等管理专业优先；
4、优秀的逻辑思维、分析、沟通能力，有突出社团工作经验；
5、有教育行业相关工作、实习经验优先；应届生至少1-2项高质量实习、见习经验。","1、五险一金+商业保险、带薪休假、年度体检；
2、为符合条件的员工提供首套购房的首付款免息借款；
3、公司注重家庭和谐，根据员工入职不同年限，子女报班可享受0-9、8折优惠；
4、入职后登记结婚的员工，公司会发放礼金以表祝福。",6,0.0,0,0
12,0,,作业帮,http://cloud.aimscrm.cn/uploads/20180914/6a7daaa5bb5e3cba444dcd803978afac.jpg,前端研发工程师,北京,本科,25-30w,超过98%应届毕业生,应届生,"1、熟悉HTML/HTML5、CSS/CSS3、JavaScript等Web前端技术；
2、具备跨终端的前端开发经验；
3、了解至少一种Server端语言（Node、JS/PHP/Python/Java等），对前后端联合开发的技术原理有全面认识；
4、具备扎实的计算机基础，对数据结构和算法设计有充分理解；
5、热爱互联网，有激情，有创造力，喜欢研究新技术、新标准；
6、良好的沟通能力和团队合作精神；
7、有相关实习经验优先。","1、商业保险（补充医疗+意外险）、年度体检；
2、免费三餐、新鲜水果、咖啡饮料、企业折扣专属福利、自助零食专区；
3、租房补贴、自如租房-企悦会、公司周边合作健身房；
4、打车报销、带薪年假。",1,0.0,0,0
13,0,,携程,http://cloud.aimscrm.cn/uploads/20180914/34f7a2232671b2a35b468a01c3ba85ac.jpg,产品运营,上海,本科,12-15w,超过98%应届毕业生,应届生,"1、2019年应届毕业，全日制统招本科及以上学历；
2、有互联网公司实习经验优先；
3、具有平台化思维，比较了解互联网产品运营体系；
4、优秀的创造力、想象力、逻辑思维与系统分析能力，突出的文字组织能力和沟通能力；
5、具有良好的沟通逻辑能力，较强的组织能力、学习能力和自驱力。","1、五险一金+股票+期权；
2、健身房+医务室+免费班车+员工宿舍；
3、内部折扣+旅游度假金+带薪年假。",2,0.0,0,0
14,0,,滴滴出行,http://cloud.aimscrm.cn/uploads/20180914/96e382e73f6283950f801af2a91e17b3.jpg,算法工程师,北京,本科,15-20w,超过98%应届毕业生,应届生,"1、对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；
2、统计、数学等相关专业，受过专业的统计学训练，对基本的统计理论和常用的统计模型有深入的了解，如统计分布、假设检验、回归模型、分类模型等，有统计建模经验者优先；
3、熟悉AB实验的设计原理和评估方法，熟悉因果分析者优先；
4、熟悉机器学习常用算法、有一定编程基础，熟悉数据库，熟练使用sql；
5、熟练使用各类数据分析和数据可视化工具，熟练使用excel，至少掌握R和Python中一种工具。","1、基本保障：五险一金+弹性自选（意外险+寿险+交通意外险+重疾险+员工补充医保+子女医保+海外差旅保险）；
2、健康保障：健康体检+健康百科+健康大讲堂+就医线上咨询+职场医疗+就医通道；
3、滴滴关爱：生日贺礼+入职纪念礼+司庆+节假日礼包+公司年会+家庭日活动+公益活动+滴滴农场活动；
4、生活保障：免费班车+餐饮（水果零食、晚间用餐、工作夜宵、爆米花时间）+健身房福利+便利生活（happy week、餐饮折扣+住房类服务+生活类团购）；
5、假期福利：弹性工作时间+女性在家办公+带薪年假+带薪婚假+带薪孕产假+带薪陪产假+带薪丧假。",1,0.0,0,0
15,0,,万科,http://cloud.aimscrm.cn/uploads/20180922/da649848c222ec2f3d685131ec4faf25.jpg,产品经理,深圳,本科及以上,15-20w,超过98%应届毕业生,应届生,"1、计算机，电子，数学等理工科专业本科以上学历；
2、有1年以上产品设计相关经验，有移动互联网B端产品经验优先；
3、具备良好的口头表达能力、产品规格书写能力，创新能力，问题处理能力；
4、善于沟通和团队协作，有产品管理、项目管理经验者尤佳；
5、较好的管理能力与影响力，自我驱动，逻辑框架清晰，目标导向。","1、薪资：固定收入=岗位薪金+住房补贴+双薪+过节费；
2、岗位薪金：公司实行月薪制，岗位薪金是固定收入的主要组成；
3、住房补贴：为职员解决住房问题提供现金支持；
4、双薪：上一年度所在单位经营正常的情况下，每年的1月份发放上一年度的双薪，基数为当月的岗位薪金；
5、过节费：春节、中秋节各发放一次；
6、浮动收入以奖金体现，包括季度奖、年终奖等；
7、免费工作餐，免费班车。",3,0.0,0,0
16,0,,深信服,http://cloud.aimscrm.cn/uploads/20180914/313df00d04430317dfdebe3691089aa1.jpg,机器学习算法工程师,深圳,本科,25-30w,超过98%应届毕业生,应届生,"1、数学功底好，熟练掌握常用的数据结构和算法；
2、了解人工智能和机器学习的基础理论和算法原理，有一定实践经验；
3、编程能力强，熟练掌握下述至少一种语言：C、C++、Java、Python；
4、具有以下经历者作为加分项：
1)参与过网络安全产品核心模块的研发，比如IPS、DDoS、WAF系统；
2)ACM分赛区获奖；
3)有机器学习相关领域的科研经历并发表了CCF A类或B类的论文；
4)知名机器学习比赛成绩优秀者。","1、员工俱乐部：为了丰富员工生活，公司成立了足球、篮球、羽毛球、乒乓球、台球、摄影、英语俱乐部以及唱歌比赛等在内的各种活动，总有一项是你喜欢的；
2、悠闲假期,带薪事假（无年休假的同事，每个月有半天带薪事假， 5个工作日以内病假付全薪）、婚假、陪产假和产假、节日长假、年休假、亲子假、父母生日假；
3、豪华旅游，公司每年提供经费，由各部门组织旅游，同行的家属（不止是亲属，确定关系的男女朋友也可以哦~ ）可以按照员工旅游经费的一半给予补贴；驻外同事每年还有机会去海外游。比如：巴厘岛、马尔代夫、加勒比海岸豪华游轮游、非洲、欧洲……
4、研发体系面试评价特别优秀者，可获得SP offer；
5、年薪=工资+奖金（奖金根据绩效情况而定）；
6、深圳总部岗位和北京区域非外派人员（含研发），公司提供福利三餐（平均每天餐补标准近40元）；同时公司每月给予300元交通补贴，按月充入员工工卡；
7、所有餐补、交通补贴、住房补贴都不纳入年薪计算范围内。",1,0.0,0,0
62,0,,顺丰速运,http://cloud.aimscrm.cn/uploads/20180920/3718414157b3e824d808850f37a40e2a.png,前端开发工程师,深圳,本科及以上,15-20w,超过98%应届毕业生,应届生,"1、国家统招本科及以上学历，计算机类相关专业；
2、熟悉JavaScript语言，具有一定的Javascript编程基础;熟悉HTML5+CSS3，具有一定的编程基础；
3、了解Http协议，了解浏览器原理，能处理浏览器兼容问题的优先；
4、熟悉页面编程调试和开发工具，具有实际项目经验的优先；
5、熟悉软件开发的流程,熟悉Maven，git/SVN等工具优先；
6、有UI/UE设计经验者优先。","1、六险一金+带薪年假+节假日关怀；
2、加班福利+团建活动+健身房及员工活动。",1,0.0,0,0
18,0,,百度,http://cloud.aimscrm.cn/uploads/20180920/a08436e9410b5fae844aa98339ff79fc.jpg,交互设计师,北京,本科,15-20w,超过98%应届毕业生,应届生,"1、工业设计、艺术设计、人机交互、心理学或计算机相关专业；
2、对互联网产品有浓厚的兴趣，对用户体验、交互设计有较好的理解；
3、学习能力强，善于发现和追逐行业新鲜事物；
4、优秀的逻辑思维能力、分析能力、沟通能力；
5、熟悉使用原型设计工具。","1、领先的薪酬：工资、奖金、股票；
2、丰厚的绩优奖励：优秀人才有机会+获得丰厚的额外奖励；
3、全面的健康服务：补充医疗计划、年度体检、医务室、专家问诊、健康讲座、挂号/导诊服务；
4、完善的成长机制：培训、晋升、导师、双通道发展；
5、优秀人才脱颖而出：潜力股、最高奖、Hackathon+站在互联网最前沿，掌握最领先的产品和技术与互联网牛人共事，获得快速学习和成长；
6、自由的工作氛围：灵活的工作时间、随意着装；
7、平等的沟通氛围：与李彦宏等公司高管零距离聊天；
8、人性化的工作环境：讨论区、睡眠室、母婴室、免费停车；
9、广阔的事业舞台：改变亿万网民的生活方式、平等成就每一个人、打造世界第一大媒体平台、帮助中国企业发展，助中国经济腾飞、用最聪明的头脑挑战互联网最有价值的问题。",3,0.0,0,0
19,0,,百度,http://cloud.aimscrm.cn/uploads/20180920/ef1639b84a2d664843828f2cdcfaac2b.jpg,开发测试工程师,北京,本科及以上,20-25w,超过98%应届毕业生,应届生,"1、能熟练地应用以下一门或几门技术进行软件开发：
1)C/C++/Java; Linux/Unix Shell编程
2)Perl/Python/PHP; 网络技术及相应的开发
3)JavaScript/Html/Ajax；MySql/Oracle及相关数据库技术
2、热爱互联网，对互联网相关业务或技术充满好奇及热情；
3、快速的产品及业务学习能力，敏捷而周到的逻辑思维能力；
4、有责任心，敢于担当，工作积极主动；
5、具备良好的团队合作精神，能融入多功能团队并与其他部门同事进行良好的沟通及合作；
6、在软件测试领域，对发现、分析及解决问题的工作有浓厚兴趣。","1、领先的薪酬：工资、奖金、股票；
2、丰厚的绩优奖励：优秀人才有机会+获得丰厚的额外奖励；
3、全面的健康服务：补充医疗计划、年度体检、医务室、专家问诊、健康讲座、挂号/导诊服务；
4、完善的成长机制：培训、晋升、导师、双通道发展；
5、优秀人才脱颖而出：潜力股、最高奖、Hackathon+站在互联网最前沿，掌握最领先的产品和技术与互联网牛人共事，获得快速学习和成长；
6、自由的工作氛围：灵活的工作时间、随意着装；
7、平等的沟通氛围：与李彦宏等公司高管零距离聊天；
8、人性化的工作环境：讨论区、睡眠室、母婴室、免费停车；
9、广阔的事业舞台：改变亿万网民的生活方式、平等成就每一个人、打造世界第一大媒体平台、帮助中国企业发展，助中国经济腾飞、用最聪明的头脑挑战互联网最有价值的问题。",1,0.0,0,0
20,0,,百度,http://cloud.aimscrm.cn/uploads/20180920/86c7d829ac57ebd68798bd04eb9ab081.jpg,用户研究工程师,北京,本科及以上,18-22w,超过98%应届毕业生,应届生,"1、人机交互/心理学/社会学/计算机/工业设计/金融相关专业应届毕业生；
2、热爱移动互联网，关注互联网动态,对行业信息和市场动态敏感；
3、掌握各种相关研究方法、研究流程,并有一定的统计和数据分析基础；
4、优秀的逻辑思维能力、良好的沟通能力、表达能力和撰写报告能力；
5、对自己的时间有系统的规划,做事有条理,有计划性；
6、具备较强英文能力。","1、领先的薪酬：工资、奖金、股票；
2、丰厚的绩优奖励：优秀人才有机会+获得丰厚的额外奖励；
3、全面的健康服务：补充医疗计划、年度体检、医务室、专家问诊、健康讲座、挂号/导诊服务；
4、完善的成长机制：培训、晋升、导师、双通道发展；
5、优秀人才脱颖而出：潜力股、最高奖、Hackathon+站在互联网最前沿，掌握最领先的产品和技术与互联网牛人共事，获得快速学习和成长；
6、自由的工作氛围：灵活的工作时间、随意着装；
7、平等的沟通氛围：与李彦宏等公司高管零距离聊天；
8、人性化的工作环境：讨论区、睡眠室、母婴室、免费停车；
9、广阔的事业舞台：改变亿万网民的生活方式、平等成就每一个人、打造世界第一大媒体平台、帮助中国企业发展，助中国经济腾飞、用最聪明的头脑挑战互联网最有价值的问题。",3,0.0,0,0
