姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Pat Riley,94--95,NYK,11,0.482,33.5,69.5,0.422,7.2,17.0,0.687,19.2,27.9,36.7,9.7,27.0,22.7,7.0,6.3,16.0,27.6,93.3,6,5,0.545
Pat Riley,93--94,NYK,25,0.4270000000000001,32.4,75.9,0.331,4.4,13.3,0.731,19.5,26.6,41.6,14.1,27.4,20.3,8.1,5.4,15.6,25.5,88.8,14,11,0.56
Pat Riley,92--93,NYK,15,0.478,38.1,79.6,0.345,3.2,9.3,0.7020000000000001,19.7,28.0,44.1,14.8,29.3,24.9,8.0,4.3,17.3,26.1,99.0,9,6,0.6
Pat Riley,91--92,NYK,12,0.435,34.1,78.3,0.255,2.3,8.8,0.7440000000000001,19.8,26.7,43.3,15.5,27.8,22.8,6.3,4.2,13.2,25.0,90.3,6,6,0.5
Pat Riley,89--90,LAL,9,0.499,40.3,80.9,0.29100000000000004,2.8,9.6,0.8,22.7,28.3,40.2,12.4,27.8,25.0,8.7,5.7,15.4,23.4,106.1,4,5,0.444
Pat Riley,88--89,LAL,15,0.4970000000000001,40.0,80.5,0.349,3.4,9.7,0.7809999999999999,27.1,34.7,42.1,12.5,29.6,25.4,6.9,4.9,14.5,22.5,110.5,11,4,0.733
Pat Riley,87--88,LAL,24,0.499,40.8,81.8,0.393,2.4,6.0,0.779,21.5,27.7,40.5,13.0,27.5,25.9,7.2,4.7,13.7,21.2,105.6,15,9,0.625
Pat Riley,86--87,LAL,18,0.522,44.8,85.8,0.361,2.4,6.6,0.785,28.6,36.4,44.9,13.0,31.9,28.6,7.9,6.4,14.3,22.7,120.6,15,3,0.833
Pat Riley,85--86,LAL,14,0.535,47.4,88.6,0.321,1.8,5.6,0.7559999999999999,18.9,24.9,42.3,12.5,29.8,32.0,8.4,4.3,15.9,24.2,115.5,8,6,0.5710000000000001
Pat Riley,84--85,LAL,19,,,,,,,,,,,,,,,,,,,15,4,0.789
Pat Riley,83--84,LAL,21,,,,,,,,,,,,,,,,,,,14,7,0.667
Pat Riley,82--83,LAL,15,,,,,,,,,,,,,,,,,,,8,7,0.5329999999999999
Pat Riley,81--82,LAL,14,,,,,,,,,,,,,,,,,,,12,2,0.857
