姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Brett Brown,13--14,PHI,82,0.435,37.9,87.2,0.312,7.0,22.5,0.71,16.6,23.4,42.7,11.6,31.2,21.9,9.3,4.0,16.4,22.5,99.5,19,63,0.23199999999999998
Herb Brown,77--78,DET,24,,,,,,,,,,,,,,,,,,,9,15,0.375
Herb Brown,76--77,DET,82,,,,,,,,,,,,,,,,,,,44,38,0.537
Herb Brown,75--76,DET,40,,,,,,,,,,,,,,,,,,,19,21,0.475
Hubie Brown,04--05,MEM,12,0.447,34.3,76.8,0.374,5.3,14.3,0.748,21.8,29.1,41.4,12.3,29.2,22.2,8.8,6.2,16.2,26.8,95.8,5,7,0.41700000000000004
Hubie Brown,03--04,MEM,82,0.445,36.1,81.2,0.34,5.5,16.0,0.727,19.0,26.1,41.8,12.8,29.0,23.4,9.7,6.9,14.4,23.2,96.7,50,32,0.61
Hubie Brown,02--03,MEM,74,0.454,37.4,82.3,0.37,5.9,15.9,0.7390000000000001,17.4,23.5,41.8,11.6,30.3,23.3,7.6,6.0,14.5,20.4,97.9,28,46,0.37799999999999995
Hubie Brown,86--87,NYK,16,0.469,38.2,81.5,0.276,0.5,1.8,0.72,21.8,30.2,41.8,12.6,29.2,22.1,6.3,5.0,17.2,24.7,98.6,4,12,0.25
Hubie Brown,85--86,NYK,82,0.46,39.5,85.8,0.34600000000000003,1.0,2.9,0.6859999999999999,18.7,27.3,39.6,13.2,26.5,22.9,8.7,3.8,17.2,27.0,98.7,23,59,0.28
Hubie Brown,84--85,NYK,82,,,,,,,,,,,,,,,,,,,24,58,0.293
Hubie Brown,83--84,NYK,82,,,,,,,,,,,,,,,,,,,47,35,0.573
Hubie Brown,82--83,NYK,82,,,,,,,,,,,,,,,,,,,44,38,0.537
Hubie Brown,80--81,ATL,79,,,,,,,,,,,,,,,,,,,31,48,0.392
Hubie Brown,79--80,ATL,82,,,,,,,,,,,,,,,,,,,50,32,0.61
Hubie Brown,78--79,ATL,82,,,,,,,,,,,,,,,,,,,46,36,0.561
Hubie Brown,77--78,ATL,82,,,,,,,,,,,,,,,,,,,41,41,0.5
Hubie Brown,76--77,ATL,82,,,,,,,,,,,,,,,,,,,31,51,0.37799999999999995
Larry Brown,10--11,CHA,28,0.451,34.1,75.6,0.34,5.1,15.0,0.745,18.5,24.8,41.0,10.4,30.6,20.9,6.8,6.4,16.3,21.0,91.8,9,19,0.321
Larry Brown,09--01,CHA,82,0.453,34.9,76.9,0.34600000000000003,5.6,16.2,0.7509999999999999,20.0,26.6,40.8,10.5,30.4,20.2,7.7,5.4,14.9,19.5,95.3,44,38,0.537
Larry Brown,08--09,CHA,82,0.455,35.0,76.8,0.366,6.0,16.3,0.74,17.7,24.0,39.7,10.8,28.9,21.2,7.1,4.8,14.9,21.4,93.6,35,47,0.42700000000000005
Larry Brown,05--06,NYK,82,0.455,34.4,75.7,0.362,3.9,10.8,0.726,22.9,31.5,41.4,12.6,28.8,17.9,6.8,3.3,17.0,26.3,95.6,23,59,0.28
Larry Brown,04--05,DET,82,0.444,34.8,78.3,0.345,4.4,12.8,0.7390000000000001,19.4,26.2,43.4,12.9,30.6,21.8,7.0,6.1,13.1,20.0,93.3,54,28,0.659
Larry Brown,03--04,DET,82,0.435,33.5,77.0,0.344,4.1,11.8,0.753,19.0,25.3,42.8,12.4,30.4,20.8,8.0,7.0,14.4,20.3,90.1,54,28,0.659
Larry Brown,02--03,PHI,82,0.448,36.3,81.0,0.311,3.0,9.6,0.775,21.3,27.5,42.2,12.7,29.5,21.6,10.3,3.5,14.1,22.0,96.8,48,34,0.585
Larry Brown,01--02,PHI,82,0.436,34.2,78.5,0.299,2.6,8.7,0.779,20.0,25.7,44.2,13.3,30.9,20.0,8.6,4.4,14.3,20.0,91.0,43,39,0.524
Larry Brown,00--01,PHI,82,0.447,35.4,79.1,0.326,3.2,9.8,0.745,20.7,27.8,44.8,13.1,31.7,20.6,8.4,5.0,15.0,20.4,94.7,56,26,0.6829999999999999
Larry Brown,99--00,PHI,82,0.442,36.5,82.6,0.32299999999999995,2.5,7.8,0.708,19.2,27.1,44.1,14.0,30.1,22.2,9.6,4.7,15.3,23.6,94.8,49,33,0.598
Larry Brown,98--99,PHI,50,0.426,33.1,77.7,0.264,2.0,7.4,0.722,21.5,29.7,43.1,14.6,28.6,18.7,10.8,5.4,15.6,23.0,89.7,28,22,0.56
Larry Brown,97--98,PHI,82,0.443,34.6,78.2,0.3,3.0,9.9,0.737,21.1,28.7,41.7,13.7,28.0,21.1,8.9,6.0,15.8,22.9,93.3,31,51,0.37799999999999995
Larry Brown,96--97,IND,82,0.456,34.8,76.3,0.381,5.2,13.8,0.722,20.6,28.5,41.7,12.5,29.1,21.3,7.1,4.7,15.6,24.1,95.4,39,43,0.47600000000000003
Larry Brown,95--96,IND,82,0.48,36.3,75.7,0.373,4.4,11.9,0.755,22.2,29.5,39.9,12.3,27.6,23.4,7.1,3.9,15.8,24.8,99.3,52,30,0.634
Larry Brown,94--95,IND,82,0.477,36.4,76.2,0.38,4.6,12.0,0.7509999999999999,21.9,29.1,40.7,12.8,27.9,22.9,8.6,4.4,16.0,23.6,99.2,52,30,0.634
Larry Brown,93--94,IND,82,0.486,38.6,79.5,0.368,2.2,6.1,0.738,21.5,29.1,43.2,13.8,29.4,25.1,8.6,5.6,16.9,24.1,101.0,47,35,0.573
Larry Brown,92--93,LAC,82,0.484,43.2,89.4,0.271,1.6,6.0,0.718,19.0,26.5,43.2,14.4,28.8,27.3,10.3,5.9,16.0,23.4,107.1,41,41,0.5
Larry Brown,91--92,SAS,38,0.476,40.7,85.4,0.28,1.2,4.2,0.7440000000000001,20.8,27.9,46.5,14.2,32.3,25.8,9.1,8.3,17.0,24.1,103.3,21,17,0.5529999999999999
Larry Brown,91--92,LAC,35,0.507,42.7,84.3,0.298,1.2,4.0,0.7340000000000001,20.3,27.6,41.9,13.1,28.8,27.5,10.4,5.3,16.0,23.3,107.0,23,12,0.657
Larry Brown,90--91,SAS,82,0.488,41.6,85.2,0.273,1.0,3.6,0.7659999999999999,23.0,30.0,46.2,13.8,32.4,26.1,8.2,7.0,17.3,23.1,107.1,55,27,0.6709999999999999
Larry Brown,89--90,SAS,82,0.484,41.3,85.3,0.239,0.7,2.8,0.745,23.0,30.9,44.4,14.2,30.2,24.8,9.7,6.8,16.5,22.6,106.3,56,26,0.6829999999999999
Larry Brown,88--89,SAS,82,0.468,42.3,90.4,0.215,0.8,3.6,0.698,20.1,28.9,42.4,15.8,26.6,24.8,11.7,5.2,20.6,26.3,105.5,21,61,0.256
Larry Brown,82--83,NJN,76,,,,,,,,,,,,,,,,,,,47,29,0.618
Larry Brown,81--82,NJN,82,,,,,,,,,,,,,,,,,,,44,38,0.537
Larry Brown,78--79,DEN,53,,,,,,,,,,,,,,,,,,,28,25,0.528
Larry Brown,77--78,DEN,82,,,,,,,,,,,,,,,,,,,48,34,0.585
Larry Brown,76--77,DEN,82,,,,,,,,,,,,,,,,,,,50,32,0.61
Mike Brown,13--14,CLE,82,0.4370000000000001,37.0,84.8,0.35600000000000004,7.1,20.0,0.7509999999999999,17.0,22.7,44.1,12.0,32.1,21.2,7.1,3.7,13.5,20.0,98.2,33,49,0.402
Mike Brown,12--13,LAL,5,0.47,34.6,73.6,0.348,6.4,18.4,0.6629999999999999,21.6,32.6,44.6,13.6,31.0,19.6,8.0,5.0,18.2,21.4,97.2,1,4,0.2
