姓名,赛季,球队,出手距离,篮下命中率,篮下命中,篮下出手,篮下占比,近距两分,近距命中,近距出手,近距占比,中距两分,中距命中,中距出手,中距占比,远距两分,远距命中,远距出手,远距占比,真实命中率,投篮效率
DeMarre Carroll,16--17,TOR,17.4,0.628,0.8,1.3,0.171,0.375,0.4,1.0,0.131,0.375,0.1,0.3,0.044,0.4,0.2,0.6,0.073,0.53,0.499
DeMarre Carroll,15--16,TOR,14.3,0.5760000000000001,1.3,2.3,0.219,0.28600000000000003,0.6,2.1,0.207,0.235,0.2,0.7,0.063,0.25,0.2,0.8,0.07400000000000001,0.49,0.474
DeMarre Carroll,14--15,ATL,14.3,0.657,1.9,2.9,0.308,0.468,0.5,1.1,0.121,0.35700000000000004,0.1,0.4,0.043,0.463,0.3,0.6,0.063,0.603,0.579
DeMarre Carroll,13--14,ATL,13.8,0.695,1.9,2.7,0.312,0.368,0.5,1.3,0.14800000000000002,0.4,0.1,0.3,0.031,0.39,0.3,0.8,0.092,0.575,0.546
DeMarre Carroll,12--13,UTA,13.9,0.7909999999999999,1.0,1.3,0.265,0.25,0.2,0.7,0.14800000000000002,0.4,0.1,0.3,0.062,0.41,0.6,1.5,0.309,0.535,0.491
DeMarre Carroll,11--12,TOT,13.3,0.6,0.6,1.0,0.238,0.35,0.3,0.8,0.19,0.2,0.0,0.2,0.048,0.361,0.5,1.5,0.343,0.478,0.443
DeMarre Carroll,11--12,DEN,8.3,1.0,0.5,0.5,0.333,1.0,0.5,0.5,0.333,1.0,0.3,0.3,0.16699999999999998,1.0,0.3,0.3,0.16699999999999998,1.0,1.0
DeMarre Carroll,11--12,UTA,13.6,0.565,0.6,1.1,0.232,0.278,0.3,0.9,0.182,0.0,0.0,0.2,0.04,0.343,0.6,1.8,0.354,0.448,0.409
DeMarre Carroll,10--11,TOT,8.3,0.5,0.2,0.3,0.333,0.333,0.1,0.2,0.25,1.0,0.1,0.1,0.083,0.0,0.0,0.3,0.333,0.388,0.333
DeMarre Carroll,10--11,HOU,7.7,0.0,0.0,0.2,0.333,0.0,0.0,0.2,0.333,,,,0.0,0.0,0.0,0.2,0.333,,
DeMarre Carroll,10--11,MEM,8.3,0.667,0.3,0.4,0.333,0.5,0.1,0.3,0.222,1.0,0.1,0.1,0.111,0.0,0.0,0.4,0.333,0.506,0.444
DeMarre Carroll,09--10,MEM,11.9,0.528,0.5,1.0,0.324,0.28600000000000003,0.1,0.3,0.095,0.2,0.1,0.3,0.09,0.388,0.6,1.5,0.464,0.426,0.396
Bob Carrington,79--80,SDC,,,,,,,,,,,,,,,,,,0.444,0.405
Bob Carrington,77--78,TOT,,,,,,,,,,,,,,,,,,0.479,0.429
Bob Carrington,77--78,IND,,,,,,,,,,,,,,,,,,0.545,0.485
Bob Carrington,77--78,NJN,,,,,,,,,,,,,,,,,,0.444,0.399
Darel Carrier,72--73,MMT,,,,,,,,,,,,,,,,,,0.525,0.425
Darel Carrier,71--72,KEN,,,,,,,,,,,,,,,,,,0.499,0.434
Darel Carrier,70--71,KEN,,,,,,,,,,,,,,,,,,0.528,0.462
Darel Carrier,69--70,KEN,,,,,,,,,,,,,,,,,,0.528,0.453
Darel Carrier,68--69,KEN,,,,,,,,,,,,,,,,,,0.523,0.452
Darel Carrier,67--68,KEN,,,,,,,,,,,,,,,,,,0.503,0.443
 Carr,84--85,BOS,,,,,,,,,,,,,,,,,,0.479,0.446
 Carr,83--84,BOS,,,,,,,,,,,,,,,,,,0.481,0.418
 Carr,82--83,BOS,,,,,,,,,,,,,,,,,,0.475,0.433
 Carr,81--82,BOS,,,,,,,,,,,,,,,,,,0.495,0.456
 Carr,80--81,BOS,,,,,,,,,,,,,,,,,,0.505,0.451
 Carr,79--80,BOS,,,,,,,,,,,,,,,,,,0.526,0.482
 Carr,78--79,DET,,,,,,,,,,,,,,,,,,0.561,0.513
 Carr,77--78,DET,,,,,,,,,,,,,,,,,,0.502,0.454
 Carr,76--77,DET,,,,,,,,,,,,,,,,,,0.518,0.475
 Carr,75--76,SSL,,,,,,,,,,,,,,,,,,0.517,0.489
Kenny Carr,86--87,POR,,,,,,,,,,,,,,,,,,0.5579999999999999,0.504
Kenny Carr,85--86,POR,,,,,,,,,,,,,,,,,,0.546,0.498
Kenny Carr,84--85,POR,,,,,,,,,,,,,,,,,,0.5720000000000001,0.523
Kenny Carr,83--84,POR,,,,,,,,,,,,,,,,,,0.5920000000000001,0.561
Kenny Carr,82--83,POR,,,,,,,,,,,,,,,,,,0.5589999999999999,0.506
Kenny Carr,81--82,TOT,,,,,,,,,,,,,,,,,,0.5429999999999999,0.504
Kenny Carr,81--82,CLE,,,,,,,,,,,,,,,,,,0.5539999999999999,0.518
Kenny Carr,81--82,DET,,,,,,,,,,,,,,,,,,0.507,0.458
Kenny Carr,80--81,CLE,,,,,,,,,,,,,,,,,,0.56,0.511
Kenny Carr,79--80,TOT,,,,,,,,,,,,,,,,,,0.526,0.4920000000000001
Kenny Carr,79--80,CLE,,,,,,,,,,,,,,,,,,0.527,0.493
Kenny Carr,79--80,LAL,,,,,,,,,,,,,,,,,,0.474,0.438
Kenny Carr,78--79,LAL,,,,,,,,,,,,,,,,,,0.522,0.499
Kenny Carr,77--78,LAL,,,,,,,,,,,,,,,,,,0.476,0.442
Cory Carr,98--99,CHI,,,,,,,,,,,,,,,,,,0.3720000000000001,0.34
Chris Carr,00--01,BOS,15.5,0.706,0.3,0.5,0.152,0.313,0.1,0.5,0.14300000000000002,0.438,0.2,0.5,0.14300000000000002,0.462,0.3,0.7,0.232,0.611,0.5489999999999999
Chris Carr,99--00,TOT,,,,,,,,,,,,,,,,,,0.482,0.4270000000000001
Chris Carr,99--00,CHI,,,,,,,,,,,,,,,,,,0.483,0.433
Chris Carr,99--00,GSW,,,,,,,,,,,,,,,,,,0.471,0.348
Chris Carr,98--99,TOT,,,,,,,,,,,,,,,,,,0.465,0.439
Chris Carr,98--99,MIN,,,,,,,,,,,,,,,,,,0.414,0.404
Chris Carr,98--99,NJN,,,,,,,,,,,,,,,,,,0.472,0.444
Chris Carr,97--98,MIN,,,,,,,,,,,,,,,,,,0.509,0.465
Chris Carr,96--97,MIN,,,,,,,,,,,,,,,,,,0.556,0.518
Chris Carr,95--96,PHO,,,,,,,,,,,,,,,,,,0.493,0.44
Austin Carr,80--81,TOT,,,,,,,,,,,,,,,,,,0.403,0.3720000000000001
Austin Carr,80--81,DAL,,,,,,,,,,,,,,,,,,0.269,0.25
Austin Carr,80--81,WSB,,,,,,,,,,,,,,,,,,0.421,0.388
Austin Carr,79--80,CLE,,,,,,,,,,,,,,,,,,0.4970000000000001,0.466
Austin Carr,78--79,CLE,,,,,,,,,,,,,,,,,,0.529,0.474
Austin Carr,77--78,CLE,,,,,,,,,,,,,,,,,,0.484,0.438
Austin Carr,76--77,CLE,,,,,,,,,,,,,,,,,,0.496,0.457
Austin Carr,75--76,CLE,,,,,,,,,,,,,,,,,,0.481,0.441
Austin Carr,74--75,CLE,,,,,,,,,,,,,,,,,,0.507,0.467
Austin Carr,73--74,CLE,,,,,,,,,,,,,,,,,,0.486,0.444
Austin Carr,72--73,CLE,,,,,,,,,,,,,,,,,,0.488,0.445
Austin Carr,71--72,CLE,,,,,,,,,,,,,,,,,,0.465,0.426
Antoine Carr,99--00,VAN,,,,,,,,,,,,,,,,,,0.477,0.438
Antoine Carr,98--99,HOU,,,,,,,,,,,,,,,,,,0.4270000000000001,0.404
Antoine Carr,97--98,UTA,,,,,,,,,,,,,,,,,,0.513,0.465
Antoine Carr,96--97,UTA,,,,,,,,,,,,,,,,,,0.522,0.483
Antoine Carr,95--96,UTA,,,,,,,,,,,,,,,,,,0.506,0.457
Antoine Carr,94--95,UTA,,,,,,,,,,,,,,,,,,0.588,0.532
Antoine Carr,93--94,SAS,,,,,,,,,,,,,,,,,,0.534,0.488
Antoine Carr,92--93,SAS,,,,,,,,,,,,,,,,,,0.58,0.5379999999999999
Antoine Carr,91--92,SAS,,,,,,,,,,,,,,,,,,0.534,0.491
Antoine Carr,90--91,SAC,,,,,,,,,,,,,,,,,,0.5539999999999999,0.511
Antoine Carr,89--90,TOT,,,,,,,,,,,,,,,,,,0.557,0.494
Antoine Carr,89--90,ATL,,,,,,,,,,,,,,,,,,0.5720000000000001,0.516
Antoine Carr,89--90,SAC,,,,,,,,,,,,,,,,,,0.5489999999999999,0.482
Antoine Carr,88--89,ATL,,,,,,,,,,,,,,,,,,0.541,0.48
Antoine Carr,87--88,ATL,,,,,,,,,,,,,,,,,,0.59,0.544
Antoine Carr,86--87,ATL,,,,,,,,,,,,,,,,,,0.551,0.508
Antoine Carr,85--86,ATL,,,,,,,,,,,,,,,,,,0.5529999999999999,0.527
Antoine Carr,84--85,ATL,,,,,,,,,,,,,,,,,,0.578,0.531
Bob Carpenter,50--51,TOT,,,,,,,,,,,,,,,,,,0.413,0.324
Bob Carpenter,50--51,FTW,,,,,,,,,,,,,,,,,,0.338,0.214
Bob Carpenter,50--51,TRI,,,,,,,,,,,,,,,,,,0.459,0.386
Bob Carpenter,49--50,FTW,,,,,,,,,,,,,,,,,,0.421,0.343
Rodney Carney,10--11,TOT,15.4,0.55,0.4,0.7,0.182,0.278,0.2,0.7,0.16399999999999998,0.333,0.1,0.2,0.055,0.393,0.4,1.0,0.255,0.521,0.495
Rodney Carney,10--11,GSW,15.4,0.55,0.4,0.8,0.187,0.235,0.2,0.7,0.159,0.333,0.1,0.2,0.056,0.407,0.4,1.1,0.252,0.526,0.5
Rodney Carney,10--11,MEM,15.0,,,,0.0,1.0,0.5,0.5,0.333,,,,0.0,0.0,0.0,0.5,0.333,0.333,0.333
Rodney Carney,09--10,PHI,15.6,0.563,0.7,1.2,0.284,0.348,0.1,0.3,0.08199999999999999,0.6,0.1,0.1,0.035,0.382,0.2,0.5,0.121,0.515,0.473
Rodney Carney,08--09,MIN,16.1,0.667,1.1,1.7,0.262,0.2,0.0,0.2,0.035,0.174,0.1,0.3,0.054000000000000006,0.333,0.2,0.7,0.113,0.532,0.509
Rodney Carney,07--08,PHI,14.5,0.614,0.9,1.4,0.258,0.355,0.2,0.4,0.079,0.4,0.3,0.7,0.128,0.3,0.4,1.3,0.23,0.478,0.452
Rodney Carney,06--07,PHI,12.1,0.648,1.2,1.8,0.311,0.415,0.3,0.8,0.135,0.37,0.3,0.7,0.117,0.394,0.6,1.5,0.253,0.514,0.496
Bob Carney,54--55,MNL,,,,,,,,,,,,,,,,,,0.423,0.3670000000000001
Don Carlson,50--51,WSC,,,,,,,,,,,,,,,,,,0.396,0.359
Don Carlson,49--50,MNL,,,,,,,,,,,,,,,,,,0.402,0.34
Don Carlson,48--49,MNL,,,,,,,,,,,,,,,,,,0.369,0.333
Don Carlson,46--47,CHS,,,,,,,,,,,,,,,,,,0.344,0.321
Al Carlson,75--76,SEA,,,,,,,,,,,,,,,,,,0.392,0.335
Don Carlos,68--69,HSM,,,,,,,,,,,,,,,,,,0.499,0.41
Rick Carlisle,89--90,NJN,,,,,,,,,,,,,,,,,,0.14300000000000002,0.14300000000000002
Rick Carlisle,87--88,NYK,,,,,,,,,,,,,,,,,,0.515,0.478
Rick Carlisle,86--87,BOS,,,,,,,,,,,,,,,,,,0.397,0.353
Rick Carlisle,85--86,BOS,,,,,,,,,,,,,,,,,,0.5,0.487
Rick Carlisle,84--85,BOS,,,,,,,,,,,,,,,,,,0.45,0.388
Geno Carlisle,04--05,POR,6.3,1.0,0.3,0.3,0.667,,,,0.0,,,,0.0,0.0,0.0,0.2,0.333,0.7090000000000001,0.667
Chet Carlisle,46--47,CHS,,,,,,,,,,,,,,,,,,0.31,0.267
Howie Carl,61--62,CHP,,,,,,,,,,,,,,,,,,0.38,0.331
Brian Cardinal,11--12,DAL,22.6,1.0,0.1,0.1,0.055,,,,0.0,,,,0.0,0.333,0.0,0.1,0.055,0.373,0.345
Brian Cardinal,10--11,DAL,22.3,0.2,0.0,0.1,0.05,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.06,0.672,0.64
Brian Cardinal,09--10,MIN,16.3,0.5,0.1,0.1,0.111,0.5,0.1,0.1,0.111,0.667,0.1,0.2,0.16699999999999998,0.231,0.1,0.4,0.361,0.546,0.431
Brian Cardinal,08--09,MIN,18.7,0.565,0.2,0.4,0.136,0.2,0.0,0.2,0.059,0.333,0.1,0.2,0.071,0.5,0.2,0.5,0.189,0.515,0.473
Brian Cardinal,07--08,MEM,19.0,0.524,0.3,0.6,0.16699999999999998,0.5,0.1,0.2,0.048,0.0,0.0,0.1,0.024,0.267,0.1,0.4,0.119,0.461,0.44
Brian Cardinal,06--07,MEM,17.8,0.588,0.4,0.6,0.2,0.333,0.0,0.1,0.035,0.333,0.0,0.1,0.035,0.667,0.4,0.6,0.212,0.655,0.6
Brian Cardinal,05--06,MEM,14.9,0.583,0.4,0.7,0.21600000000000005,0.25,0.1,0.2,0.07200000000000001,0.353,0.2,0.5,0.153,0.333,0.3,0.9,0.297,0.505,0.473
Brian Cardinal,04--05,MEM,14.6,0.43,0.7,1.7,0.231,0.386,0.3,0.8,0.102,0.375,0.3,0.8,0.111,0.33,0.7,2.0,0.266,0.51,0.421
Brian Cardinal,03--04,GSW,13.7,0.6629999999999999,0.9,1.4,0.223,0.273,0.3,1.0,0.165,0.449,0.3,0.6,0.105,0.473,0.7,1.5,0.24,0.626,0.531
Brian Cardinal,02--03,WAS,13.3,1.0,0.2,0.2,0.25,,,,0.0,0.0,0.0,0.4,0.5,,,,0.0,0.41,0.25
Brian Cardinal,01--02,DET,21.1,,,,0.0,,,,0.0,0.0,0.0,0.1,0.077,0.6,0.4,0.6,0.385,0.612,0.5770000000000001
Brian Cardinal,00--01,DET,10.7,0.462,0.4,0.9,0.419,0.5,0.1,0.1,0.065,0.5,0.1,0.1,0.065,0.222,0.1,0.6,0.29,0.398,0.32299999999999995
Frank Card,72--73,DNR,,,,,,,,,,,,,,,,,,0.507,0.4
Frank Card,71--72,TOT,,,,,,,,,,,,,,,,,,0.476,0.433
Frank Card,71--72,CAR,,,,,,,,,,,,,,,,,,0.322,0.208
Frank Card,71--72,DNR,,,,,,,,,,,,,,,,,,0.4920000000000001,0.455
Frank Card,70--71,TOT,,,,,,,,,,,,,,,,,,0.504,0.457
Frank Card,70--71,CAR,,,,,,,,,,,,,,,,,,0.503,0.455
Frank Card,70--71,VIR,,,,,,,,,,,,,,,,,,0.521,0.529
Frank Card,69--70,WSA,,,,,,,,,,,,,,,,,,0.556,0.528
Frank Card,68--69,MNP,,,,,,,,,,,,,,,,,,0.459,0.414
Derrick Caracter,10--11,LAL,5.6,0.621,0.4,0.7,0.439,0.25,0.1,0.6,0.364,0.636,0.2,0.3,0.16699999999999998,0.5,0.0,0.0,0.03,0.532,0.485
Larry Cannon,73--74,TOT,,,,,,,,,,,,,,,,,,0.42,0.388
Larry Cannon,73--74,INA,,,,,,,,,,,,,,,,,,0.421,0.429
Larry Cannon,73--74,PHI,,,,,,,,,,,,,,,,,,0.42,0.382
Larry Cannon,71--72,TOT,,,,,,,,,,,,,,,,,,0.44,0.376
Larry Cannon,71--72,INA,,,,,,,,,,,,,,,,,,0.451,0.386
Larry Cannon,71--72,MMP,,,,,,,,,,,,,,,,,,0.436,0.3720000000000001
Larry Cannon,70--71,DNR,,,,,,,,,,,,,,,,,,0.517,0.441
Larry Cannon,69--70,MMF,,,,,,,,,,,,,,,,,,0.441,0.389
Tony Campbell,94--95,CLE,,,,,,,,,,,,,,,,,,0.508,0.43
Tony Campbell,93--94,TOT,,,,,,,,,,,,,,,,,,0.491,0.45
Tony Campbell,93--94,DAL,,,,,,,,,,,,,,,,,,0.473,0.435
Tony Campbell,93--94,NYK,,,,,,,,,,,,,,,,,,0.544,0.496
Tony Campbell,92--93,NYK,,,,,,,,,,,,,,,,,,0.517,0.4920000000000001
Tony Campbell,91--92,MIN,,,,,,,,,,,,,,,,,,0.515,0.469
Tony Campbell,90--91,MIN,,,,,,,,,,,,,,,,,,0.494,0.439
Tony Campbell,89--90,MIN,,,,,,,,,,,,,,,,,,0.52,0.46
Tony Campbell,88--89,LAL,,,,,,,,,,,,,,,,,,0.508,0.461
Tony Campbell,87--88,LAL,,,,,,,,,,,,,,,,,,0.605,0.569
Tony Campbell,86--87,DET,,,,,,,,,,,,,,,,,,0.426,0.393
Tony Campbell,85--86,DET,,,,,,,,,,,,,,,,,,0.506,0.485
Tony Campbell,84--85,DET,,,,,,,,,,,,,,,,,,0.54,0.496
Elden Campbell,04--05,TOT,8.6,0.405,0.4,1.0,0.341,0.292,0.2,0.6,0.195,0.279,0.3,1.1,0.35,0.25,0.1,0.3,0.098,0.408,0.317
Elden Campbell,04--05,DET,8.8,0.436,0.6,1.3,0.336,0.318,0.2,0.7,0.19,0.293,0.4,1.4,0.353,0.25,0.1,0.4,0.103,0.426,0.336
Elden Campbell,04--05,NJN,6.0,0.0,0.0,0.3,0.429,0.0,0.0,0.2,0.28600000000000003,0.0,0.0,0.2,0.28600000000000003,,,,0.0,0.114,
Elden Campbell,03--04,DET,8.4,0.485,0.7,1.5,0.309,0.409,0.4,1.0,0.21,0.452,0.7,1.6,0.331,0.362,0.3,0.7,0.15,0.49,0.439
Elden Campbell,02--03,TOT,8.8,0.522,0.6,1.2,0.227,0.344,0.6,1.7,0.325,0.337,0.5,1.5,0.281,0.438,0.4,0.9,0.163,0.483,0.397
Elden Campbell,02--03,NOH,9.0,0.491,0.7,1.4,0.231,0.408,0.8,1.9,0.308,0.343,0.6,1.7,0.28300000000000003,0.419,0.4,1.0,0.174,0.496,0.409
Elden Campbell,02--03,SEA,7.8,0.7,0.5,0.7,0.208,0.1,0.1,1.3,0.417,0.308,0.3,0.9,0.271,0.6,0.2,0.3,0.104,0.419,0.333
Elden Campbell,01--02,CHH,7.8,0.614,2.0,3.2,0.314,0.487,1.4,2.9,0.282,0.35,1.0,2.8,0.27,0.448,0.6,1.4,0.132,0.5579999999999999,0.484
Elden Campbell,00--01,CHH,8.0,0.5870000000000001,1.8,3.0,0.282,0.407,1.4,3.5,0.324,0.36,1.1,3.0,0.28300000000000003,0.391,0.4,1.1,0.104,0.505,0.44
Elden Campbell,99--00,CHH,,,,,,,,,,,,,,,,,,0.5,0.446
Elden Campbell,98--99,TOT,,,,,,,,,,,,,,,,,,0.528,0.477
Elden Campbell,98--99,CHH,,,,,,,,,,,,,,,,,,0.5379999999999999,0.489
Elden Campbell,98--99,LAL,,,,,,,,,,,,,,,,,,0.491,0.436
Elden Campbell,97--98,LAL,,,,,,,,,,,,,,,,,,0.527,0.464
Elden Campbell,96--97,LAL,,,,,,,,,,,,,,,,,,0.52,0.47
Elden Campbell,95--96,LAL,,,,,,,,,,,,,,,,,,0.5489999999999999,0.503
Elden Campbell,94--95,LAL,,,,,,,,,,,,,,,,,,0.5,0.459
Elden Campbell,93--94,LAL,,,,,,,,,,,,,,,,,,0.503,0.462
Elden Campbell,92--93,LAL,,,,,,,,,,,,,,,,,,0.4970000000000001,0.458
Elden Campbell,91--92,LAL,,,,,,,,,,,,,,,,,,0.491,0.448
Elden Campbell,90--91,LAL,,,,,,,,,,,,,,,,,,0.498,0.455
Marcus Camby,12--13,NYK,6.3,0.462,0.5,1.1,0.491,0.077,0.0,0.5,0.245,0.333,0.1,0.2,0.113,0.25,0.1,0.3,0.151,0.342,0.321
Marcus Camby,11--12,TOT,7.9,0.5,1.2,2.3,0.481,0.37,0.3,0.8,0.16,0.387,0.2,0.5,0.108,0.418,0.5,1.1,0.233,0.455,0.449
Marcus Camby,11--12,HOU,9.9,0.5329999999999999,1.3,2.4,0.35700000000000004,0.5379999999999999,0.7,1.4,0.206,0.462,0.3,0.7,0.103,0.405,0.8,1.9,0.294,0.491,0.4920000000000001
Marcus Camby,11--12,POR,6.3,0.484,1.1,2.3,0.578,0.15,0.1,0.5,0.124,0.333,0.2,0.5,0.112,0.433,0.3,0.7,0.18600000000000005,0.428,0.416
Marcus Camby,10--11,POR,7.4,0.518,1.2,2.3,0.466,0.31,0.3,1.0,0.197,0.21600000000000005,0.1,0.6,0.126,0.328,0.3,1.0,0.207,0.426,0.398
Marcus Camby,09--10,TOT,7.5,0.578,2.0,3.5,0.511,0.44,0.3,0.7,0.1,0.443,0.4,0.8,0.122,0.307,0.5,1.7,0.253,0.501,0.477
Marcus Camby,09--10,LAC,7.5,0.593,2.1,3.6,0.511,0.417,0.3,0.7,0.101,0.442,0.4,0.8,0.121,0.247,0.4,1.7,0.25,0.4970000000000001,0.469
Marcus Camby,09--10,POR,7.5,0.541,1.7,3.2,0.51,0.5,0.3,0.6,0.097,0.444,0.3,0.8,0.124,0.447,0.7,1.7,0.262,0.511,0.4970000000000001
Marcus Camby,08--09,LAC,7.7,0.677,2.7,4.0,0.5,0.354,0.3,0.8,0.097,0.3,0.3,1.0,0.121,0.368,0.8,2.2,0.274,0.556,0.513
Marcus Camby,07--08,DEN,9.3,0.5589999999999999,1.9,3.4,0.425,0.426,0.3,0.8,0.096,0.387,0.4,0.9,0.118,0.354,0.9,2.6,0.329,0.498,0.455
Marcus Camby,06--07,DEN,9.0,0.616,2.4,3.8,0.407,0.416,0.5,1.3,0.135,0.4270000000000001,0.5,1.1,0.114,0.34700000000000003,1.1,3.2,0.341,0.519,0.473
Marcus Camby,05--06,DEN,10.9,0.647,2.7,4.2,0.362,0.34,0.3,0.8,0.07200000000000001,0.322,0.3,1.1,0.091,0.384,2.0,5.3,0.458,0.499,0.466
Marcus Camby,04--05,DEN,9.9,0.623,2.2,3.6,0.393,0.239,0.2,0.7,0.077,0.365,0.5,1.3,0.142,0.393,1.4,3.5,0.382,0.505,0.465
Marcus Camby,03--04,DEN,8.0,0.624,2.1,3.4,0.446,0.328,0.3,0.9,0.122,0.386,0.4,1.2,0.151,0.362,0.8,2.1,0.277,0.511,0.477
Marcus Camby,02--03,DEN,8.7,0.557,1.7,3.0,0.388,0.317,0.4,1.4,0.181,0.433,0.4,1.0,0.132,0.254,0.6,2.2,0.278,0.444,0.414
Marcus Camby,01--02,NYK,4.9,0.542,3.1,5.7,0.5720000000000001,0.391,0.6,1.6,0.159,0.237,0.5,2.0,0.203,0.444,0.3,0.6,0.062,0.483,0.448
Marcus Camby,00--01,NYK,4.5,0.634,3.5,5.6,0.607,0.369,0.6,1.8,0.191,0.349,0.5,1.3,0.14300000000000002,0.385,0.2,0.4,0.045,0.5589999999999999,0.525
Marcus Camby,99--00,NYK,,,,,,,,,,,,,,,,,,0.529,0.481
Marcus Camby,98--99,NYK,,,,,,,,,,,,,,,,,,0.537,0.521
Marcus Camby,97--98,TOR,,,,,,,,,,,,,,,,,,0.448,0.412
Marcus Camby,96--97,TOR,,,,,,,,,,,,,,,,,,0.523,0.483
Dexter Cambridge,92--93,DAL,,,,,,,,,,,,,,,,,,0.52,0.484
Mack Calvin,80--81,CLE,,,,,,,,,,,,,,,,,,0.478,0.34600000000000003
Mack Calvin,79--80,UTA,,,,,,,,,,,,,,,,,,0.5489999999999999,0.443
Mack Calvin,77--78,DEN,,,,,,,,,,,,,,,,,,0.551,0.44
Mack Calvin,76--77,TOT,,,,,,,,,,,,,,,,,,0.525,0.403
Mack Calvin,76--77,DEN,,,,,,,,,,,,,,,,,,0.56,0.442
Mack Calvin,76--77,LAL,,,,,,,,,,,,,,,,,,0.461,0.32299999999999995
Mack Calvin,76--77,SAS,,,,,,,,,,,,,,,,,,0.513,0.39
Mack Calvin,75--76,VIR,,,,,,,,,,,,,,,,,,0.518,0.4320000000000001
Mack Calvin,74--75,DNA,,,,,,,,,,,,,,,,,,0.5870000000000001,0.486
Mack Calvin,73--74,CAR,,,,,,,,,,,,,,,,,,0.565,0.467
Mack Calvin,72--73,CAR,,,,,,,,,,,,,,,,,,0.611,0.512
Mack Calvin,71--72,FLO,,,,,,,,,,,,,,,,,,0.5529999999999999,0.445
Mack Calvin,70--71,FLO,,,,,,,,,,,,,,,,,,0.529,0.435
Mack Calvin,69--70,LAS,,,,,,,,,,,,,,,,,,0.532,0.423
Ernie Calverley,48--49,PRO,,,,,,,,,,,,,,,,,,0.363,0.312
Ernie Calverley,47--48,PRO,,,,,,,,,,,,,,,,,,0.309,0.27
Ernie Calverley,46--47,PRO,,,,,,,,,,,,,,,,,,0.344,0.293
Rick Calloway,90--91,SAC,,,,,,,,,,,,,,,,,,0.452,0.391
Tom Callahan,46--47,PRO,,,,,,,,,,,,,,,,,,0.248,0.19
Demetrius Calip,91--92,LAL,,,,,,,,,,,,,,,,,,0.285,0.25
Corky Calhoun,79--80,IND,,,,,,,,,,,,,,,,,,0.405,0.444
Corky Calhoun,78--79,IND,,,,,,,,,,,,,,,,,,0.507,0.455
Corky Calhoun,77--78,POR,,,,,,,,,,,,,,,,,,0.522,0.478
Corky Calhoun,76--77,POR,,,,,,,,,,,,,,,,,,0.535,0.462
Corky Calhoun,75--76,LAL,,,,,,,,,,,,,,,,,,0.506,0.466
Corky Calhoun,74--75,TOT,,,,,,,,,,,,,,,,,,0.458,0.414
Corky Calhoun,74--75,LAL,,,,,,,,,,,,,,,,,,0.453,0.418
Corky Calhoun,74--75,PHO,,,,,,,,,,,,,,,,,,0.4920000000000001,0.359
Corky Calhoun,73--74,PHO,,,,,,,,,,,,,,,,,,0.4970000000000001,0.46
Corky Calhoun,72--73,PHO,,,,,,,,,,,,,,,,,,0.501,0.468
Bill Calhoun,54--55,MLH,,,,,,,,,,,,,,,,,,0.389,0.299
Bill Calhoun,53--54,MLH,,,,,,,,,,,,,,,,,,0.441,0.348
Bill Calhoun,52--53,MLH,,,,,,,,,,,,,,,,,,0.431,0.336
Bill Calhoun,51--52,BLB,,,,,,,,,,,,,,,,,,0.391,0.314
Bill Calhoun,50--51,ROC,,,,,,,,,,,,,,,,,,0.421,0.345
Bill Calhoun,49--50,ROC,,,,,,,,,,,,,,,,,,0.439,0.376
Bill Calhoun,48--49,ROC,,,,,,,,,,,,,,,,,,0.394,0.35700000000000004
Joe Caldwell,74--75,SSL,,,,,,,,,,,,,,,,,,0.5,0.498
Joe Caldwell,73--74,CAR,,,,,,,,,,,,,,,,,,0.498,0.49
Joe Caldwell,72--73,CAR,,,,,,,,,,,,,,,,,,0.495,0.4970000000000001
Joe Caldwell,71--72,CAR,,,,,,,,,,,,,,,,,,0.486,0.473
Joe Caldwell,70--71,CAR,,,,,,,,,,,,,,,,,,0.475,0.45
Joe Caldwell,69--70,ATL,,,,,,,,,,,,,,,,,,0.5489999999999999,0.507
Joe Caldwell,68--69,ATL,,,,,,,,,,,,,,,,,,0.518,0.507
Joe Caldwell,67--68,STL,,,,,,,,,,,,,,,,,,0.48,0.462
Joe Caldwell,66--67,STL,,,,,,,,,,,,,,,,,,0.461,0.425
Joe Caldwell,65--66,TOT,,,,,,,,,,,,,,,,,,0.477,0.438
Joe Caldwell,65--66,DET,,,,,,,,,,,,,,,,,,0.459,0.422
Joe Caldwell,65--66,STL,,,,,,,,,,,,,,,,,,0.487,0.446
Joe Caldwell,64--65,DET,,,,,,,,,,,,,,,,,,0.408,0.373
Jim Caldwell,68--69,KEN,,,,,,,,,,,,,,,,,,0.482,0.44
Jim Caldwell,67--68,TOT,,,,,,,,,,,,,,,,,,0.448,0.417
Jim Caldwell,67--68,KEN,,,,,,,,,,,,,,,,,,0.46,0.428
Jim Caldwell,67--68,NJA,,,,,,,,,,,,,,,,,,0.37,0.348
Jim Caldwell,67--68,NYK,,,,,,,,,,,,,,,,,,,0.5
Jim Caldwell,67--68,TOT,,,,,,,,,,,,,,,,,,0.449,0.418
Adrian Caldwell,97--98,DAL,,,,,,,,,,,,,,,,,,,
Adrian Caldwell,96--97,TOT,,,,,,,,,,,,,,,,,,0.443,0.435
