姓名,球队,薪金（万美元）,赛季
Kelenna Azubuike,,5,06-07
Kelenna Azubuike,,25,06-07
Kelenna Azubuike,,69,07-08
Kelenna Azubuike,,290,08-09
Kelenna Azubuike,,313,09-10
Kelenna Azubuike,,330,10-11
Kelenna Azubuike,,89,12-13
Gustavo Ayon,,157,11-12
Gustavo Ayon,,150,12-13
Gustavo Ayon,,150,13-14
William Avery,,120,99-00
William Avery,,129,00-01
William Avery,,138,01-02
Anthony Avent,,50,92-93
Anthony Avent,,65,93-94
Anthony Avent,,80,94-95
Anthony Avent,,95,95-96
Anthony Avent,LAC,51,99-00
Isaac Austin,UTA,13,91-92
Isaac Austin,UTA,40,92-93
Isaac Austin,UTA,45,93-94
Isaac Austin,MIA,25,96-97
Isaac Austin,MIA,38,97-98
Isaac Austin,ORL,500,98-99
Isaac Austin,WAS,482,99-00
Isaac Austin,,550,00-01
Isaac Austin,MEM,570,01-02
James Augustine,ORL,41,06-07
James Augustine,ORL,69,07-08
 Augustin,CHA,221,08-09
 Augustin,CHA,239,09-10
 Augustin,CHA,254,10-11
 Augustin,CHA,324,11-12
 Augustin,IND,350,12-13
 Augustin,CHI,76,13-14
 Augustin,TOR,127,13-14
 Augustin,OKC,300,14-15
 Augustin,DEN,300,15-16
 Augustin,ORL,725,16-17
 Augustin,ORL,725,17-18
 Augustin,ORL,725,18-19
 Augustin,ORL,725,19-20
Stacey Augmon,ATL,88,91-92
Stacey Augmon,ATL,114,92-93
Stacey Augmon,ATL,140,93-94
Stacey Augmon,ATL,166,94-95
Stacey Augmon,ATL,216,95-96
Stacey Augmon,DET,248,96-97
Stacey Augmon,POR,280,97-98
Stacey Augmon,POR,320,98-99
Stacey Augmon,HOU,345,99-00
Stacey Augmon,POR,51,99-00
Stacey Augmon,POR,92,00-01
Stacey Augmon,CHA,240,01-02
Stacey Augmon,NOH,240,02-03
Stacey Augmon,NOH,240,03-04
Stacey Augmon,ORL,110,04-05
Stacey Augmon,ORL,114,05-06
Chucky Atkins,ORL,39,99-00
Chucky Atkins,DET,300,00-01
Chucky Atkins,DET,330,01-02
Chucky Atkins,DET,360,02-03
Chucky Atkins,DET,390,03-04
Chucky Atkins,LAL,420,04-05
Chucky Atkins,WAS,450,05-06
Chucky Atkins,MEM,300,06-07
Chucky Atkins,DEN,300,07-08
Chucky Atkins,OKC,324,08-09
Chucky Atkins,DET,131,09-10
Chucky Atkins,MIN,76,09-10
Keith Askins,MIA,15,90-91
Keith Askins,MIA,20,91-92
Keith Askins,MIA,25,92-93
Keith Askins,MIA,31,93-94
Keith Askins,MIA,41,94-95
Keith Askins,MIA,55,95-96
Keith Askins,MIA,65,96-97
Keith Askins,MIA,75,97-98
Keith Askins,MIA,73,98-99
Keith Askins,MIA,175,99-00
Vincent Askew,GSW,14,91-92
Vincent Askew,,18,92-93
Vincent Askew,,146,94-95
Vincent Askew,,181,95-96
Vincent Askew,IND,200,96-97
Vincent Askew,POR,27,97-98
Omer Asik,CHI,172,10-11
Omer Asik,CHI,186,11-12
Omer Asik,HOU,837,12-13
Omer Asik,HOU,837,13-14
Omer Asik,NOH,837,14-15
Omer Asik,NOH,1100,15-16
Omer Asik,NOH,990,16-17
Omer Asik,NOH,1060,17-18
Omer Asik,NOH,1129,18-19
Omer Asik,NOH,1198,19-20
Darrell Arthur,MEM,98,08-09
Darrell Arthur,MEM,105,09-10
Darrell Arthur,MEM,112,10-11
Darrell Arthur,MEM,203,11-12
Darrell Arthur,MEM,301,12-13
Darrell Arthur,DEN,323,13-14
Darrell Arthur,DEN,346,14-15
Darrell Arthur,DEN,281,15-16
Darrell Arthur,DEN,807,16-17
Darrell Arthur,DEN,746,17-18
Darrell Arthur,DEN,746,18-19
Carlos Arroyo,TOR,33,01-02
Carlos Arroyo,UTA,55,02-03
Carlos Arroyo,UTA,80,03-04
Carlos Arroyo,UTA,400,04-05
Carlos Arroyo,DET,400,05-06
Carlos Arroyo,ORL,410,06-07
Carlos Arroyo,ORL,410,07-08
Carlos Arroyo,MIA,111,09-10
Carlos Arroyo,MIA,122,10-11
Hilton Armstrong,NOH,177,06-07
Hilton Armstrong,NOH,190,07-08
Hilton Armstrong,NOH,203,08-09
Hilton Armstrong,HOU,280,09-10
Hilton Armstrong,ATL,99,10-11
Hilton Armstrong,GSW,5,13-14
Darrell Armstrong,ORL,35,95-96
Darrell Armstrong,ORL,41,96-97
Darrell Armstrong,ORL,35,97-98
Darrell Armstrong,ORL,290,98-99
Darrell Armstrong,ORL,413,99-00
Darrell Armstrong,ORL,310,00-01
Darrell Armstrong,ORL,401,01-02
Darrell Armstrong,ORL,401,02-03
Darrell Armstrong,NOH,248,03-04
Darrell Armstrong,DAL,228,04-05
Darrell Armstrong,DAL,114,05-06
Darrell Armstrong,IND,118,06-07
Darrell Armstrong,,122,07-08
Brandon Armstrong,,87,01-02
Brandon Armstrong,,93,02-03
Brandon Armstrong,,100,03-04
BJ ,CHI,43,90-91
BJ ,CHI,44,91-92
BJ ,CHI,54,92-93
BJ ,CHI,62,93-94
BJ ,CHI,280,94-95
BJ ,GSW,240,95-96
BJ ,GSW,240,96-97
BJ ,GSW,260,97-98
BJ ,ORL,85,98-99
BJ ,LAL,280,98-99
BJ ,CHI,51,99-00
Trevor Ariza,NYK,39,04-05
Trevor Ariza,NYK,68,05-06
Trevor Ariza,ORL,310,06-07
Trevor Ariza,LAL,310,07-08
Trevor Ariza,LAL,310,08-09
Trevor Ariza,HOU,585,09-10
Trevor Ariza,NOH,632,10-11
Trevor Ariza,WAS,547,11-12
Trevor Ariza,NOH,679,11-12
Trevor Ariza,WAS,726,12-13
Trevor Ariza,WAS,773,13-14
Trevor Ariza,HOU,858,14-15
Trevor Ariza,HOU,819,15-16
Trevor Ariza,HOU,781,16-17
Trevor Ariza,HOU,742,17-18
Gilbert Arenas,GSW,33,01-02
Gilbert Arenas,GSW,51,02-03
Gilbert Arenas,WAS,854,03-04
Gilbert Arenas,WAS,939,04-05
Gilbert Arenas,WAS,1024,05-06
Gilbert Arenas,WAS,1110,06-07
Gilbert Arenas,WAS,1195,07-08
Gilbert Arenas,WAS,1465,08-09
Gilbert Arenas,WAS,1619,09-10
Gilbert Arenas,ORL,1773,10-11
Gilbert Arenas,MEM,41,11-12
Gilbert Arenas,ORL,1927,11-12
Gilbert Arenas,ORL,2081,12-13
Robert Archibald,MEM,35,02-03
Robert Archibald,ORL,56,03-04
Rafael Araujo,TOR,208,04-05
Rafael Araujo,TOR,224,05-06
Rafael Araujo,UTA,240,06-07
Joel Anthony,MIA,43,07-08
Joel Anthony,MIA,71,08-09
Joel Anthony,MIA,83,09-10
Joel Anthony,MIA,330,10-11
Joel Anthony,MIA,360,11-12
Joel Anthony,MIA,375,12-13
Joel Anthony,BOS,380,13-14
Joel Anthony,MIA,380,13-14
Joel Anthony,DET,380,14-15
Joel Anthony,DET,250,15-16
Joel Anthony,SAS,66,16-17
Greg Anthony,NYK,87,91-92
Greg Anthony,NYK,107,92-93
Greg Anthony,NYK,127,93-94
Greg Anthony,NYK,147,94-95
Greg Anthony,,167,95-96
Greg Anthony,,188,96-97
Greg Anthony,,27,97-98
Greg Anthony,POR,100,98-99
Greg Anthony,POR,110,99-00
Greg Anthony,POR,350,00-01
Greg Anthony,CHI,300,01-02
Greg Anthony,CHI,150,02-03
Carmelo Anthony,DEN,323,03-04
Carmelo Anthony,DEN,347,04-05
Carmelo Anthony,DEN,371,05-06
Carmelo Anthony,DEN,469,06-07
Carmelo Anthony,DEN,1304,07-08
Carmelo Anthony,DEN,1441,08-09
Carmelo Anthony,DEN,1578,09-10
Carmelo Anthony,NYK,1715,10-11
Carmelo Anthony,NYK,1852,11-12
Carmelo Anthony,NYK,1945,12-13
Carmelo Anthony,NYK,2241,13-14
Carmelo Anthony,NYK,2246,14-15
Carmelo Anthony,NYK,2288,15-16
Carmelo Anthony,NYK,2456,16-17
Carmelo Anthony,NYK,2624,17-18
Carmelo Anthony,NYK,2793,18-19
Chris Anstey,DAL,71,97-98
Chris Anstey,DAL,99,98-99
Chris Anstey,CHI,111,99-00
Michael Ansley,ORL,20,90-91
Martynas Andriuskevicius,CLE,40,05-06
Martynas Andriuskevicius,CHI,66,06-07
Willie Anderson,SAS,50,88-89
Willie Anderson,SAS,73,90-91
Willie Anderson,SAS,78,91-92
Willie Anderson,SAS,208,92-93
Willie Anderson,SAS,208,93-94
Willie Anderson,SAS,208,94-95
Willie Anderson,TOR,208,95-96
Willie Anderson,MIA,51,99-00
Shandon Anderson,UTA,22,96-97
Shandon Anderson,UTA,120,97-98
Shandon Anderson,UTA,130,98-99
Shandon Anderson,HOU,200,99-00
Shandon Anderson,HOU,220,00-01
Shandon Anderson,NYK,550,01-02
Shandon Anderson,NYK,610,02-03
Shandon Anderson,NYK,670,03-04
Shandon Anderson,NYK,730,04-05
Shandon Anderson,MIA,87,04-05
Shandon Anderson,MIA,104,05-06
Shandon Anderson,NYK,790,05-06
Shandon Anderson,NYK,724,06-07
Ryan Anderson,,123,08-09
Ryan Anderson,ORL,132,09-10
Ryan Anderson,ORL,141,10-11
Ryan Anderson,ORL,224,11-12
Ryan Anderson,NOH,870,12-13
Ryan Anderson,NOH,831,13-14
Ryan Anderson,NOH,849,14-15
Ryan Anderson,NOH,850,15-16
Ryan Anderson,HOU,1874,16-17
Ryan Anderson,HOU,1958,17-18
Ryan Anderson,HOU,2042,18-19
Ryan Anderson,HOU,2126,19-20
Ron Anderson,CLE,12,85-86
Ron Anderson,IND,20,87-88
Ron Anderson,PHI,30,88-89
Ron Anderson,PHI,43,90-91
Ron Anderson,PHI,100,91-92
Ron Anderson,PHI,95,92-93
Ron Anderson,PHI,30,93-94
Richard Anderson,POR,15,87-88
Richard Anderson,POR,38,88-89
Nick Anderson,ORL,73,90-91
Nick Anderson,ORL,75,91-92
Nick Anderson,ORL,80,92-93
Nick Anderson,ORL,267,93-94
Nick Anderson,ORL,309,94-95
Nick Anderson,ORL,320,95-96
Nick Anderson,ORL,379,96-97
Nick Anderson,ORL,400,97-98
Nick Anderson,ORL,320,98-99
Nick Anderson,SAC,505,99-00
Nick Anderson,SAC,375,00-01
Nick Anderson,MEM,540,01-02
Nick Anderson,CLE,610,02-03
Kenny Anderson,,183,91-92
Kenny Anderson,,238,92-93
Kenny Anderson,,293,93-94
Kenny Anderson,,346,94-95
Kenny Anderson,,390,95-96
Kenny Anderson,POR,418,96-97
Kenny Anderson,POR,501,97-98
Kenny Anderson,BOS,585,98-99
Kenny Anderson,BOS,668,99-00
Kenny Anderson,BOS,752,00-01
Kenny Anderson,BOS,835,01-02
Kenny Anderson,,919,02-03
Kenny Anderson,IND,107,03-04
Kenny Anderson,ATL,110,04-05
James Anderson,SAS,136,10-11
James Anderson,SAS,146,11-12
James Anderson,HOU,47,12-13
James Anderson,SAS,15,12-13
James Anderson,PHI,92,13-14
James Anderson,SAC,102,15-16
Greg Anderson,SAS,19,87-88
Greg Anderson,SAS,20,88-89
Greg Anderson,DEN,137,90-91
Greg Anderson,DEN,147,91-92
Greg Anderson,DET,65,93-94
Greg Anderson,DET,40,94-95
Greg Anderson,ATL,11,94-95
Greg Anderson,SAS,49,95-96
Greg Anderson,SAS,58,96-97
Greg Anderson,ATL,27,97-98
Eric Anderson,NYK,14,92-93
Eric Anderson,NYK,25,93-94
Derek Anderson,CLE,111,97-98
Derek Anderson,CLE,127,98-99
Derek Anderson,LAC,144,99-00
Derek Anderson,SAS,225,00-01
Derek Anderson,POR,650,01-02
Derek Anderson,POR,714,02-03
Derek Anderson,POR,779,03-04
Derek Anderson,POR,844,04-05
Derek Anderson,HOU,167,05-06
Derek Anderson,POR,909,05-06
Derek Anderson,MIA,40,06-07
Derek Anderson,POR,974,06-07
Derek Anderson,CHA,90,06-07
Derek Anderson,CHA,122,07-08
Alan Anderson,CHA,40,05-06
Alan Anderson,CHA,10,06-07
Alan Anderson,TOR,8,11-12
Alan Anderson,TOR,89,12-13
Alan Anderson,BKN,95,13-14
Alan Anderson,BKN,128,14-15
Alan Anderson,WAS,400,15-16
Alan Anderson,LAC,132,16-17
David Andersen,HOU,230,09-10
David Andersen,NOH,250,10-11
Chris Andersen,DEN,29,01-02
Chris Andersen,DEN,51,02-03
Chris Andersen,DEN,64,03-04
Chris Andersen,NOH,160,04-05
Chris Andersen,NOH,350,05-06
Chris Andersen,DEN,100,08-09
Chris Andersen,DEN,365,09-10
Chris Andersen,DEN,453,10-11
Chris Andersen,DEN,423,11-12
Chris Andersen,DEN,453,12-13
Chris Andersen,MIA,70,12-13
Chris Andersen,MIA,140,13-14
Chris Andersen,MIA,538,14-15
Chris Andersen,MEM,500,15-16
Chris Andersen,CHA,155,16-17
Louis Amundson,SAC,8,06-07
Louis Amundson,UTA,4,06-07
Louis Amundson,PHI,11,06-07
Louis Amundson,PHI,69,07-08
Louis Amundson,PHO,80,08-09
Louis Amundson,PHO,86,09-10
Louis Amundson,GSW,223,10-11
Louis Amundson,IND,240,11-12
Louis Amundson,MIN,107,12-13
Louis Amundson,NYK,41,14-15
Louis Amundson,NYK,165,15-16
Farouq Aminu,LAC,256,10-11
Farouq Aminu,NOH,276,11-12
Farouq Aminu,NOH,295,12-13
Farouq Aminu,NOH,370,13-14
Farouq Aminu,DAL,98,14-15
Farouq Aminu,POR,750,15-16
Farouq Aminu,POR,768,16-17
Farouq Aminu,POR,732,17-18
Farouq Aminu,POR,696,18-19
Ashraf Amaya,,23,95-96
Ashraf Amaya,,25,96-97
John Amaechi,CLE,20,95-96
John Amaechi,ORL,39,99-00
John Amaechi,ORL,60,00-01
John Amaechi,UTA,218,01-02
John Amaechi,UTA,239,02-03
John Amaechi,NYK,261,03-04
John Amaechi,NYK,120,04-05
Rafer Alston,MIL,30,99-00
Rafer Alston,MIL,42,00-01
Rafer Alston,MIL,63,01-02
Rafer Alston,TOR,4,02-03
Rafer Alston,MIA,69,03-04
Rafer Alston,TOR,350,04-05
Rafer Alston,HOU,385,05-06
Rafer Alston,HOU,420,06-07
Rafer Alston,HOU,455,07-08
Rafer Alston,ORL,490,08-09
Rafer Alston,,430,09-10
Rafer Alston,MIA,75,09-10
Derrick Alston,PHI,15,94-95
Derrick Alston,PHI,35,95-96
Morris Almond,UTA,101,07-08
Morris Almond,UTA,108,08-09
Morris Almond,WAS,1,11-12
Tony Allen,BOS,90,04-05
Tony Allen,BOS,97,05-06
Tony Allen,BOS,104,06-07
Tony Allen,BOS,187,07-08
Tony Allen,BOS,250,08-09
Tony Allen,BOS,250,09-10
Tony Allen,MEM,300,10-11
Tony Allen,MEM,315,11-12
Tony Allen,MEM,330,12-13
Tony Allen,MEM,449,13-14
Tony Allen,MEM,483,14-15
Tony Allen,MEM,517,15-16
Tony Allen,MEM,551,16-17
Ray Allen,MIL,179,96-97
Ray Allen,MIL,205,97-98
Ray Allen,MIL,232,98-99
Ray Allen,MIL,900,99-00
Ray Allen,MIL,1013,00-01
Ray Allen,MIL,1125,01-02
Ray Allen,MIL,1238,02-03
Ray Allen,,1350,03-04
Ray Allen,,1463,04-05
Ray Allen,,1322,05-06
Ray Allen,,1461,06-07
Ray Allen,BOS,1600,07-08
Ray Allen,BOS,1839,08-09
Ray Allen,BOS,1878,09-10
Ray Allen,BOS,1000,10-11
Ray Allen,BOS,1000,11-12
Ray Allen,MIA,309,12-13
Ray Allen,MIA,323,13-14
Malik Allen,MIA,33,01-02
Malik Allen,MIA,51,02-03
Malik Allen,MIA,151,03-04
Malik Allen,MIA,195,04-05
Malik Allen,CHI,167,05-06
Malik Allen,CHI,180,06-07
Malik Allen,DAL,100,07-08
Malik Allen,MIL,130,08-09
Malik Allen,DEN,130,09-10
Malik Allen,ORL,123,10-11
Lavoy Allen,PHI,47,11-12
Lavoy Allen,PHI,300,12-13
Lavoy Allen,IND,306,13-14
Lavoy Allen,PHI,306,13-14
Lavoy Allen,IND,95,14-15
Lavoy Allen,IND,370,15-16
Lavoy Allen,IND,400,16-17
Lavoy Allen,IND,430,17-18
Jerome Allen,MIN,20,95-96
Jerome Allen,IND,25,96-97
Jerome Allen,CLE,4,97-98
Jerome Allen,MIL,51,99-00
Steve Alford,DAL,10,87-88
Steve Alford,GSW,15,88-89
Steve Alford,DAL,25,90-91
Victor Alexander,GSW,75,91-92
Victor Alexander,GSW,94,92-93
Victor Alexander,GSW,116,93-94
Victor Alexander,GSW,138,94-95
Victor Alexander,TOR,160,95-96
Victor Alexander,DET,65,01-02
Joe Alexander,MIL,240,08-09
Joe Alexander,CHI,258,09-10
Joe Alexander,NOH,9,10-11
Gary Alexander,CLE,15,94-95
Courtney Alexander,DAL,132,00-01
Courtney Alexander,WAS,142,01-02
Courtney Alexander,NOH,152,02-03
Courtney Alexander,NOH,217,03-04
Courtney Alexander,SAC,8,04-05
Cory Alexander,SAS,49,95-96
Cory Alexander,SAS,52,96-97
Cory Alexander,SAS,56,97-98
Cory Alexander,DEN,198,99-00
Cory Alexander,DEN,216,00-01
Cory Alexander,DEN,200,01-02
Cory Alexander,DEN,215,02-03
Cory Alexander,DEN,230,03-04
LaMarcus Aldridge,POR,403,06-07
LaMarcus Aldridge,POR,433,07-08
LaMarcus Aldridge,POR,463,08-09
LaMarcus Aldridge,POR,584,09-10
LaMarcus Aldridge,POR,1124,10-11
LaMarcus Aldridge,POR,1237,11-12
LaMarcus Aldridge,POR,1350,12-13
LaMarcus Aldridge,POR,1413,13-14
LaMarcus Aldridge,POR,1601,14-15
LaMarcus Aldridge,SAS,1950,15-16
LaMarcus Aldridge,SAS,2058,16-17
LaMarcus Aldridge,SAS,2146,17-18
LaMarcus Aldridge,SAS,2235,18-19
Cole Aldrich,OKC,213,10-11
Cole Aldrich,OKC,229,11-12
Cole Aldrich,SAC,245,12-13
Cole Aldrich,NYK,92,13-14
Cole Aldrich,NYK,98,14-15
Cole Aldrich,LAC,110,15-16
Cole Aldrich,MIN,764,16-17
Cole Aldrich,MIN,730,17-18
Cole Aldrich,MIN,696,18-19
Mark Alarie,,23,87-88
Mark Alarie,,25,88-89
Mark Alarie,,50,90-91
Mark Alarie,,55,91-92
Solomon Alabi,TOR,77,10-11
Solomon Alabi,TOR,83,11-12
Alexis Ajinca,CHA,128,08-09
Alexis Ajinca,CHA,137,09-10
Alexis Ajinca,TOR,147,10-11
Alexis Ajinca,NOH,64,13-14
Alexis Ajinca,NOH,98,14-15
Alexis Ajinca,NOH,430,15-16
Alexis Ajinca,NOH,460,16-17
Alexis Ajinca,NOH,496,17-18
Alexis Ajinca,NOH,529,18-19
Danny Ainge,BOS,55,85-86
Danny Ainge,BOS,63,87-88
Danny Ainge,BOS,68,88-89
Danny Ainge,POR,73,90-91
Danny Ainge,POR,73,91-92
Danny Ainge,PHO,133,92-93
Danny Ainge,PHO,169,93-94
Danny Ainge,PHO,208,94-95
Blake Ahearn,SAS,13,08-09
Blake Ahearn,UTA,5,11-12
Mark Aguirre,DAL,63,85-86
Mark Aguirre,DAL,72,87-88
Mark Aguirre,DAL,72,88-89
Mark Aguirre,DET,112,90-91
Mark Aguirre,DET,123,91-92
Mark Aguirre,DET,135,92-93
Mark Aguirre,DET,147,93-94
Mark Aguirre,LAC,15,93-94
Maurice Ager,DAL,91,06-07
Maurice Ager,,97,07-08
Maurice Ager,,104,08-09
Maurice Ager,MIN,8,10-11
Arron Afflalo,DET,94,07-08
Arron Afflalo,DET,102,08-09
Arron Afflalo,DEN,109,09-10
Arron Afflalo,DEN,196,10-11
Arron Afflalo,DEN,756,11-12
Arron Afflalo,ORL,775,12-13
Arron Afflalo,ORL,731,13-14
Arron Afflalo,POR,775,14-15
Arron Afflalo,NYK,800,15-16
Arron Afflalo,SAC,1250,16-17
Arron Afflalo,SAC,150,17-18
Jeff Adrien,GSW,34,10-11
Jeff Adrien,HOU,27,11-12
Jeff Adrien,CHA,80,12-13
Jeff Adrien,MIL,92,13-14
Jeff Adrien,CHA,92,13-14
Jeff Adrien,HOU,98,14-15
Rafael Addison,,31,91-92
Rafael Addison,,52,92-93
Rafael Addison,DET,25,94-95
Rafael Addison,CHA,36,95-96
Rafael Addison,CHA,29,96-97
Michael Adams,SAC,9,85-86
Michael Adams,DEN,16,87-88
Michael Adams,DEN,38,88-89
Michael Adams,DEN,83,90-91
Michael Adams,,131,91-92
Michael Adams,,131,92-93
Michael Adams,,131,93-94
Michael Adams,CHA,124,94-95
Hassan Adams,,41,06-07
Hassan Adams,LAC,30,08-09
Alvan Adams,PHO,60,85-86
Alvan Adams,PHO,68,87-88
Mark Acres,BOS,8,87-88
Mark Acres,BOS,30,88-89
Mark Acres,ORL,44,90-91
Mark Acres,ORL,55,91-92
Mark Acres,HOU,25,92-93
Alex Acker,DET,40,05-06
Alex Acker,DET,84,06-07
Alex Acker,LAC,71,08-09
Shareef Abdur,,219,96-97
Shareef Abdur,,900,99-00
Shareef Abdur,,1013,00-01
Shareef Abdur,ATL,1125,01-02
Shareef Abdur,ATL,1238,02-03
Shareef Abdur,ATL,1350,03-04
Shareef Abdur,POR,1463,04-05
Shareef Abdur,SAC,500,05-06
Shareef Abdur,SAC,540,06-07
Shareef Abdur,SAC,580,07-08
Shareef Abdur,SAC,660,09-10
Tariq Abdul,SAC,123,97-98
Tariq Abdul,SAC,141,98-99
Tariq Abdul,DEN,159,99-00
Tariq Abdul,DEN,450,00-01
Tariq Abdul,DEN,506,01-02
Tariq Abdul,DAL,563,02-03
Tariq Abdul,DAL,619,03-04
Tariq Abdul,DAL,675,04-05
Tariq Abdul,DAL,366,05-06
Tariq Abdul,DAL,197,06-07
Mahmoud Abdul,DEN,166,90-91
Mahmoud Abdul,DEN,201,91-92
Mahmoud Abdul,DEN,236,92-93
Mahmoud Abdul,DEN,183,93-94
Mahmoud Abdul,DEN,220,94-95
Mahmoud Abdul,DEN,260,95-96
Mahmoud Abdul,SAC,310,96-97
Mahmoud Abdul,SAC,330,97-98
Mahmoud Abdul,,80,00-01
Kareem Abdul,LAL,203,85-86
Kareem Abdul,LAL,200,87-88
Kareem Abdul,LAL,300,88-89
Alaa Abdelnaby,POR,40,90-91
Alaa Abdelnaby,POR,49,91-92
Alaa Abdelnaby,BOS,50,92-93
Alaa Abdelnaby,BOS,81,93-94
Alaa Abdelnaby,SAC,65,94-95
Will Bynum,DET,71,08-09
Will Bynum,DET,83,09-10
Will Bynum,DET,325,10-11
Will Bynum,DET,325,11-12
Will Bynum,DET,325,12-13
Will Bynum,DET,279,13-14
Will Bynum,BOS,292,14-15
Will Bynum,WAS,14,14-15
Andrew Bynum,LAL,189,05-06
Andrew Bynum,LAL,203,06-07
Andrew Bynum,LAL,217,07-08
Andrew Bynum,LAL,277,08-09
Andrew Bynum,LAL,1253,09-10
Andrew Bynum,LAL,1370,10-11
Andrew Bynum,LAL,1490,11-12
Andrew Bynum,PHI,1689,12-13
Andrew Bynum,IND,100,13-14
Andrew Bynum,CHI,600,13-14
Rasual Butler,MIA,35,02-03
Rasual Butler,MIA,56,03-04
Rasual Butler,MIA,120,04-05
Rasual Butler,NOH,130,05-06
Rasual Butler,NOH,300,06-07
Rasual Butler,NOH,332,07-08
Rasual Butler,NOH,363,08-09
Rasual Butler,LAC,395,09-10
Rasual Butler,LAC,240,10-11
Rasual Butler,TOR,123,11-12
Rasual Butler,IND,140,13-14
Rasual Butler,WAS,145,14-15
Rasual Butler,SAS,150,15-16
Mitchell Butler,,15,93-94
Mitchell Butler,,40,94-95
Mitchell Butler,,50,95-96
Mitchell Butler,POR,60,96-97
Mitchell Butler,CLE,27,97-98
Mitchell Butler,CLE,54,98-99
Mitchell Butler,IND,15,99-00
Mitchell Butler,POR,72,01-02
Mitchell Butler,WAS,88,03-04
Jimmy Butler,CHI,102,11-12
Jimmy Butler,CHI,110,12-13
Jimmy Butler,CHI,111,13-14
Jimmy Butler,CHI,201,14-15
Jimmy Butler,CHI,1526,15-16
Jimmy Butler,CHI,1755,16-17
Jimmy Butler,MIN,1930,17-18
Jimmy Butler,MIN,2045,18-19
Jimmy Butler,MIN,1984,19-20
Jackie Butler,NYK,40,05-06
Jackie Butler,SAS,220,06-07
Jackie Butler,HOU,235,07-08
Jackie Butler,HOU,255,08-09
Greg Butler,NYK,10,88-89
Caron Butler,MIA,168,02-03
Caron Butler,MIA,180,03-04
Caron Butler,LAL,193,04-05
Caron Butler,WAS,246,05-06
Caron Butler,WAS,744,06-07
Caron Butler,WAS,822,07-08
Caron Butler,WAS,925,08-09
Caron Butler,DAL,978,09-10
Caron Butler,DAL,1056,10-11
Caron Butler,LAC,800,11-12
Caron Butler,LAC,800,12-13
Caron Butler,OKC,100,13-14
Caron Butler,PHO,800,13-14
Caron Butler,MIL,450,14-15
Caron Butler,DET,450,14-15
Caron Butler,SAC,150,15-16
Caron Butler,SAC,52,16-17
Caron Butler,SAC,52,17-18
Caron Butler,SAC,52,18-19
Steve Burtt,LAC,8,87-88
Willie Burton,MIA,200,90-91
Willie Burton,MIA,140,91-92
Willie Burton,MIA,80,92-93
Willie Burton,MIA,100,93-94
Willie Burton,PHI,15,94-95
Willie Burton,MIA,105,94-95
Willie Burton,ATL,25,96-97
Junior Burrough,BOS,30,95-96
Scott Burrell,CHA,65,93-94
Scott Burrell,CHA,85,94-95
Scott Burrell,CHA,104,95-96
Scott Burrell,CHA,124,96-97
Scott Burrell,CHI,143,97-98
Scott Burrell,,100,98-99
Scott Burrell,,100,99-00
Evers Burns,SAC,162,93-94
Kevin Burleson,CHA,40,05-06
Kevin Burleson,CHA,7,06-07
Antonio Burks,MEM,39,04-05
Antonio Burks,MEM,64,05-06
Alec Burks,UTA,202,11-12
Alec Burks,UTA,217,12-13
Alec Burks,UTA,220,13-14
Alec Burks,UTA,303,14-15
Alec Burks,UTA,921,15-16
Alec Burks,UTA,1015,16-17
Alec Burks,UTA,1085,17-18
Alec Burks,UTA,1154,18-19
Pat Burke,ORL,35,02-03
Pat Burke,PHO,75,05-06
Pat Burke,PHO,81,06-07
Matt Bullard,HOU,12,90-91
Matt Bullard,HOU,28,91-92
Matt Bullard,HOU,50,92-93
Matt Bullard,HOU,65,93-94
Matt Bullard,ATL,23,95-96
Matt Bullard,HOU,25,96-97
Matt Bullard,HOU,33,97-98
Matt Bullard,HOU,133,99-00
Matt Bullard,HOU,210,00-01
Matt Bullard,CHA,130,01-02
Matt Bullard,NOH,143,02-03
Rodney Buford,MIA,30,99-00
Rodney Buford,CHA,42,00-01
Rodney Buford,MEM,48,01-02
Rodney Buford,SAC,15,03-04
Rodney Buford,,75,04-05
Jud Buechler,,23,90-91
Jud Buechler,GSW,38,92-93
Jud Buechler,GSW,38,93-94
Jud Buechler,CHI,15,94-95
Jud Buechler,CHI,30,95-96
Jud Buechler,CHI,50,96-97
Jud Buechler,CHI,50,97-98
Jud Buechler,DET,85,98-99
Jud Buechler,DET,110,99-00
Jud Buechler,DET,326,00-01
Jud Buechler,ORL,360,01-02
Jud Buechler,ORL,345,02-03
Chase Budinger,HOU,46,09-10
Chase Budinger,HOU,78,10-11
Chase Budinger,HOU,85,11-12
Chase Budinger,MIN,89,12-13
Chase Budinger,MIN,500,13-14
Chase Budinger,MIN,500,14-15
Chase Budinger,IND,500,15-16
Chase Budinger,PHO,26,15-16
Quinn Buckner,IND,22,85-86
Greg Buckner,DAL,5,99-00
Greg Buckner,DAL,110,00-01
Greg Buckner,DAL,120,01-02
Greg Buckner,PHI,240,02-03
Greg Buckner,PHI,264,03-04
Greg Buckner,PHI,178,04-05
Greg Buckner,DEN,87,04-05
Greg Buckner,PHI,193,05-06
Greg Buckner,DEN,167,05-06
Greg Buckner,PHI,194,06-07
Greg Buckner,DAL,324,06-07
Greg Buckner,MIN,375,07-08
Greg Buckner,PHI,208,07-08
Greg Buckner,MEM,401,08-09
