,x,y
3001,1500.5,0.0005200000000000001
3002,1501.0,0.00073
3003,1501.5,0.0008699999999999999
3004,1502.0,0.00121
3005,1502.5,0.0015400000000000001
3006,1503.0,0.00137
3007,1503.5,0.0011
3008,1504.0,0.00121
3009,1504.5,0.00141
3010,1505.0,0.00147
3011,1505.5,0.00161
3012,1506.0,0.00134
3013,1506.5,0.001
3014,1507.0,0.0010400000000000001
3015,1507.5,0.00135
3016,1508.0,0.00156
3017,1508.5,0.00157
3018,1509.0,0.00137
3019,1509.5,0.0011099999999999999
3020,1510.0,0.00126
3021,1510.5,0.0013599999999999999
3022,1511.0,0.00161
3023,1511.5,0.0015400000000000001
3024,1512.0,0.00117
3025,1512.5,0.0010199999999999999
3026,1513.0,0.00063
3027,1513.5,0.0006900000000000001
3028,1514.0,0.0007
3029,1514.5,0.0007099999999999999
3030,1515.0,0.00059
3031,1515.5,0.00066
3032,1516.0,0.00022
3033,1516.5,0.00022
3034,1517.0,-0.00011999999999999999
3035,1517.5,-0.00018
3036,1518.0,-0.00031
3037,1518.5,-0.00057
3038,1519.0,-0.00011
3039,1519.5,-5e-05
3040,1520.0,0.00063
3041,1520.5,0.00081
3042,1521.0,0.00066
3043,1521.5,0.00072
3044,1522.0,0.0007099999999999999
3045,1522.5,0.00107
3046,1523.0,0.00109
3047,1523.5,0.00098
3048,1524.0,0.00105
3049,1524.5,0.00118
3050,1525.0,0.0016
3051,1525.5,0.0018
3052,1526.0,0.00156
3053,1526.5,0.0015300000000000001
3054,1527.0,0.00108
3055,1527.5,0.00112
3056,1528.0,0.00133
3057,1528.5,0.00157
3058,1529.0,0.0013
3059,1529.5,0.00134
3060,1530.0,0.0007099999999999999
3061,1530.5,0.00045999999999999996
3062,1531.0,0.0005099999999999999
3063,1531.5,0.00016
3064,1532.0,0.00028
3065,1532.5,-0.00039
3066,1533.0,-0.00022999999999999998
3067,1533.5,-0.00047000000000000004
3068,1534.0,-0.0008300000000000001
3069,1534.5,-0.00085
3070,1535.0,-0.0011300000000000001
3071,1535.5,-0.00143
3072,1536.0,-0.0013599999999999999
3073,1536.5,-0.00133
3074,1537.0,-0.0012
3075,1537.5,-0.00073
3076,1538.0,-0.00062
3077,1538.5,-0.00063
3078,1539.0,-0.00031
3079,1539.5,-0.00029
3080,1540.0,0.00042
3081,1540.5,0.00066
3082,1541.0,0.00054
3083,1541.5,0.00047000000000000004
3084,1542.0,0.0001
3085,1542.5,0.00042
3086,1543.0,2e-05
3087,1543.5,5.9999999999999995e-05
3088,1544.0,1e-05
3089,1544.5,9e-05
3090,1545.0,-7e-05
3091,1545.5,0.00037
3092,1546.0,0.0003
3093,1546.5,0.00025
3094,1547.0,0.00016
3095,1547.5,0.00036
3096,1548.0,0.00031
3097,1548.5,-0.00023999999999999998
3098,1549.0,-0.00011999999999999999
3099,1549.5,-0.00014
3100,1550.0,0.00021
3101,1550.5,2.9999999999999997e-05
3102,1551.0,-0.00023999999999999998
3103,1551.5,-0.00059
3104,1552.0,-0.00074
3105,1552.5,-0.00059
3106,1553.0,-0.00078
3107,1553.5,-0.00047999999999999996
3108,1554.0,-0.00061
3109,1554.5,-0.00025
3110,1555.0,-0.00015
3111,1555.5,0.0001
3112,1556.0,0.00027
3113,1556.5,9e-05
3114,1557.0,5e-05
3115,1557.5,0.00022999999999999998
