,x,y
1,0.5,0.0
2,1.0,-2e-05
3,1.5,-2.9999999999999997e-05
4,2.0,-0.00013000000000000002
5,2.5,-0.00028
6,3.0,-0.00037999999999999997
7,3.5,-0.00054
8,4.0,-0.00053
9,4.5,-0.00067
10,5.0,-0.0007099999999999999
11,5.5,-0.00029
12,6.0,-0.00018
13,6.5,-0.00033
14,7.0,-0.00031
15,7.5,-0.00047000000000000004
16,8.0,-0.00063
17,8.5,-0.00027
18,9.0,-0.0003
19,9.5,0.00018999999999999998
20,10.0,-0.00023999999999999998
21,10.5,-0.00018
22,11.0,-0.00018999999999999998
23,11.5,-0.00022999999999999998
24,12.0,-0.00028
25,12.5,-0.00062
26,13.0,-0.00055
27,13.5,-0.00059
28,14.0,-0.0008
29,14.5,-0.00093
30,15.0,-0.0010400000000000001
31,15.5,-0.00135
32,16.0,-0.0016
33,16.5,-0.0018
34,17.0,-0.0018100000000000002
35,17.5,-0.00176
36,18.0,-0.00175
37,18.5,-0.0017100000000000001
38,19.0,-0.0018100000000000002
39,19.5,-0.0017100000000000001
40,20.0,-0.00158
41,20.5,-0.00236
42,21.0,-0.00246
43,21.5,-0.00238
44,22.0,-0.00247
45,22.5,-0.00198
46,23.0,-0.0014
47,23.5,-0.00131
48,24.0,-0.00116
49,24.5,-0.0013
50,25.0,-0.0013
51,25.5,-0.0011
52,26.0,-0.00114
53,26.5,-0.00125
54,27.0,-0.00116
55,27.5,-0.00118
56,28.0,-0.0013800000000000002
57,28.5,-0.00116
58,29.0,-0.00109
59,29.5,-0.00067
60,30.0,-0.00054
61,30.5,-0.0003
62,31.0,-0.0005
63,31.5,-0.0007099999999999999
64,32.0,-0.00062
65,32.5,-0.00055
66,33.0,-0.0007599999999999999
67,33.5,-0.00043
68,34.0,-0.00045
69,34.5,-0.00036
70,35.0,-0.0006799999999999999
71,35.5,-0.0006799999999999999
72,36.0,-0.0006900000000000001
73,36.5,-0.00054
74,37.0,-0.00029
75,37.5,-0.00036
76,38.0,-0.0005
77,38.5,-0.0003
78,39.0,-0.00033999999999999997
79,39.5,-5.9999999999999995e-05
80,40.0,5e-05
81,40.5,-0.00014
82,41.0,-9e-05
83,41.5,-0.00036
84,42.0,-0.00049
85,42.5,-0.00027
86,43.0,-0.00044
87,43.5,-0.00015
88,44.0,-0.00015
89,44.5,-0.00022
90,45.0,-0.00016999999999999999
91,45.5,-0.00032
92,46.0,-0.00031
93,46.5,-0.00025
94,47.0,0.00011
95,47.5,0.00036
96,48.0,0.00047000000000000004
97,48.5,0.00033
98,49.0,0.00078
99,49.5,0.0009400000000000001
100,50.0,0.00085
101,50.5,0.00105
102,51.0,0.00121
103,51.5,0.00126
104,52.0,0.00122
105,52.5,0.00139
106,53.0,0.0015
107,53.5,0.0021
108,54.0,0.00199
109,54.5,0.00221
110,55.0,0.002
111,55.5,0.00253
112,56.0,0.00247
113,56.5,0.00235
114,57.0,0.00298
115,57.5,0.00286
116,58.0,0.00361
117,58.5,0.00349
118,59.0,0.00344
119,59.5,0.0032700000000000003
120,60.0,0.00331
121,60.5,0.0036200000000000004
122,61.0,0.0036899999999999997
123,61.5,0.0036799999999999997
124,62.0,0.0033399999999999997
125,62.5,0.0027300000000000002
126,63.0,0.00243
127,63.5,0.00227
128,64.0,0.00198
129,64.5,0.00216
130,65.0,0.0021899999999999997
131,65.5,0.00215
132,66.0,0.0021
133,66.5,0.0017800000000000001
134,67.0,0.00144
135,67.5,0.00123
136,68.0,0.00108
137,68.5,0.00086
138,69.0,0.0012900000000000001
139,69.5,0.00145
140,70.0,0.00146
141,70.5,0.00133
142,71.0,0.00105
143,71.5,0.00093
144,72.0,0.00061
145,72.5,0.00067
146,73.0,0.0008300000000000001
147,73.5,0.00115
148,74.0,0.00156
149,74.5,0.0017699999999999999
150,75.0,0.00146
151,75.5,0.00148
152,76.0,0.00128
153,76.5,0.00133
154,77.0,0.00091
155,77.5,0.00054
156,78.0,0.00027
157,78.5,0.00015
158,79.0,0.00027
159,79.5,0.00039
160,80.0,0.00041
161,80.5,0.00027
162,81.0,-5e-05
163,81.5,-0.00027
164,82.0,-2e-05
165,82.5,-0.00013000000000000002
166,83.0,-0.00022
167,83.5,-0.0004
168,84.0,-0.00053
169,84.5,-0.00047000000000000004
170,85.0,-0.00058
171,85.5,-0.00037999999999999997
172,86.0,-0.00021
173,86.5,0.00015
174,87.0,-0.00011
175,87.5,-7e-05
176,88.0,-4e-05
177,88.5,-0.0004
178,89.0,-0.0008
179,89.5,-0.00105
180,90.0,-0.00084
181,90.5,-0.00045
182,91.0,-0.00033
183,91.5,-0.00031
184,92.0,-0.0007599999999999999
185,92.5,-0.0006900000000000001
186,93.0,-0.00063
187,93.5,-0.0007599999999999999
188,94.0,-0.0007
189,94.5,-0.00093
190,95.0,-0.0012900000000000001
191,95.5,-0.00123
192,96.0,-0.00148
193,96.5,-0.00134
194,97.0,-0.00135
195,97.5,-0.0017100000000000001
196,98.0,-0.00147
197,98.5,-0.0014199999999999998
198,99.0,-0.00143
199,99.5,-0.00139
200,100.0,-0.0017100000000000001
