,x,y
1201,600.5,-0.00022999999999999998
1202,601.0,-7e-05
1203,601.5,-0.00014
1204,602.0,-0.0007599999999999999
1205,602.5,-0.00088
1206,603.0,-0.00053
1207,603.5,-0.00039
1208,604.0,-0.00032
1209,604.5,-5e-05
1210,605.0,-0.00063
1211,605.5,-0.0008
1212,606.0,-0.00101
1213,606.5,-0.0007599999999999999
1214,607.0,-0.00032
1215,607.5,0.0004
1216,608.0,0.00042
1217,608.5,0.00053
1218,609.0,0.00025
1219,609.5,-0.00018999999999999998
1220,610.0,-7e-05
1221,610.5,0.0003
1222,611.0,0.00014
1223,611.5,-0.00018999999999999998
1224,612.0,-0.0005099999999999999
1225,612.5,-0.0005
1226,613.0,-0.00016
1227,613.5,-5.9999999999999995e-05
1228,614.0,-0.00026000000000000003
1229,614.5,-0.00054
1230,615.0,-0.0008300000000000001
1231,615.5,-0.00058
1232,616.0,-4e-05
1233,616.5,0.0004
1234,617.0,0.00106
1235,617.5,0.0009400000000000001
1236,618.0,0.00103
1237,618.5,0.00099
1238,619.0,0.00091
1239,619.5,0.00075
1240,620.0,0.0006
1241,620.5,0.00025
1242,621.0,9e-05
1243,621.5,0.00025
1244,622.0,0.00016
1245,622.5,0.00029
1246,623.0,0.00053
1247,623.5,0.00098
1248,624.0,0.0012900000000000001
1249,624.5,0.00146
1250,625.0,0.0012699999999999999
1251,625.5,0.00128
1252,626.0,0.00143
1253,626.5,0.00095
1254,627.0,0.00074
1255,627.5,0.00018999999999999998
1256,628.0,-0.00015
1257,628.5,-8e-05
1258,629.0,-9e-05
1259,629.5,-0.00023999999999999998
1260,630.0,-0.00047999999999999996
1261,630.5,-0.00067
1262,631.0,-0.0006900000000000001
1263,631.5,-0.00054
1264,632.0,-0.00064
1265,632.5,-0.0003
1266,633.0,-0.00022999999999999998
1267,633.5,-0.00047000000000000004
1268,634.0,-0.00082
1269,634.5,-0.0010400000000000001
1270,635.0,-0.00131
1271,635.5,-0.00085
1272,636.0,-0.00065
1273,636.5,-0.00042
1274,637.0,-0.00065
1275,637.5,-0.00042
1276,638.0,0.00014
1277,638.5,0.00054
1278,639.0,0.00101
1279,639.5,0.00114
1280,640.0,0.0006900000000000001
1281,640.5,0.00028
1282,641.0,0.0005
1283,641.5,0.00044
1284,642.0,0.0009599999999999999
1285,642.5,0.00116
1286,643.0,0.00128
1287,643.5,0.00144
1288,644.0,0.00073
1289,644.5,0.00028
1290,645.0,2e-05
1291,645.5,-0.00016999999999999999
1292,646.0,-4e-05
1293,646.5,5.9999999999999995e-05
1294,647.0,9e-05
1295,647.5,-0.00033999999999999997
1296,648.0,-0.00021
1297,648.5,-7e-05
1298,649.0,7e-05
1299,649.5,9e-05
1300,650.0,-0.00028
1301,650.5,-0.00072
1302,651.0,-0.00062
1303,651.5,-0.00093
1304,652.0,-0.0008
1305,652.5,-0.00085
1306,653.0,-0.0007599999999999999
1307,653.5,-0.00093
1308,654.0,-0.00086
1309,654.5,-0.00067
1310,655.0,-0.00031
1311,655.5,-0.00036
1312,656.0,-0.00013000000000000002
1313,656.5,-0.00053
1314,657.0,-0.00045999999999999996
1315,657.5,-0.00037999999999999997
1316,658.0,-0.00039
1317,658.5,-0.00011
1318,659.0,0.00039
1319,659.5,0.0006799999999999999
1320,660.0,0.00078
1321,660.5,0.00059
1322,661.0,0.00067
1323,661.5,0.00061
1324,662.0,0.0003
1325,662.5,0.00055
1326,663.0,0.00064
1327,663.5,0.00105
1328,664.0,0.00143
1329,664.5,0.00159
1330,665.0,0.00185
1331,665.5,0.00185
1332,666.0,0.00209
1333,666.5,0.00182
1334,667.0,0.0017
1335,667.5,0.0015300000000000001
1336,668.0,0.0016300000000000002
1337,668.5,0.0014
1338,669.0,0.00128
1339,669.5,0.00114
1340,670.0,0.00139
1341,670.5,0.00099
1342,671.0,0.00106
1343,671.5,0.00088
1344,672.0,0.0007599999999999999
1345,672.5,0.00074
1346,673.0,0.00064
1347,673.5,0.00039
1348,674.0,0.00037
1349,674.5,7e-05
1350,675.0,4e-05
1351,675.5,-0.00015
1352,676.0,-0.00011999999999999999
1353,676.5,-0.00016
1354,677.0,-5e-05
1355,677.5,0.00023999999999999998
1356,678.0,0.00028
1357,678.5,2e-05
1358,679.0,-0.00042
1359,679.5,-0.0009699999999999999
1360,680.0,-0.00098
1361,680.5,-0.00078
1362,681.0,-0.0006
1363,681.5,-0.00021
1364,682.0,-0.00035
1365,682.5,-0.00036
1366,683.0,-0.00044
1367,683.5,-0.00031
1368,684.0,-0.00073
1369,684.5,-0.0004
1370,685.0,-0.00045
1371,685.5,2e-05
1372,686.0,0.00039
1373,686.5,0.00037
1374,687.0,0.00056
1375,687.5,0.00047999999999999996
1376,688.0,9e-05
1377,688.5,-0.00027
1378,689.0,-0.0002
1379,689.5,-0.00022
1380,690.0,-0.00035
1381,690.5,-0.00027
1382,691.0,-0.0005099999999999999
1383,691.5,-0.0005200000000000001
1384,692.0,-0.00057
1385,692.5,-0.00061
1386,693.0,-0.00067
1387,693.5,-0.00023999999999999998
1388,694.0,-8e-05
1389,694.5,0.0
1390,695.0,-2.9999999999999997e-05
1391,695.5,-5e-05
1392,696.0,-0.00026000000000000003
1393,696.5,-0.00018999999999999998
1394,697.0,-0.0001
1395,697.5,0.00032
1396,698.0,0.00066
1397,698.5,0.00075
1398,699.0,0.00064
1399,699.5,0.00045999999999999996
1400,700.0,0.00031
