,XH,午餐平均消费,早餐次数,洗澡花销,洗澡次数,成绩等级
147,201406047,13.56363636,25,10.78,3,10
148,201406052,12.61066667,13,37.03,22,20
149,201406053,7.86625,6,91.77,22,20
150,201406054,9.107534247,3,18.13,6,20
151,201406055,10.25,3,338.4,65,10
152,201406056,10.96031746,8,141.19,55,10
153,201406057,10.975,3,161.85,45,10
154,201406058,7.195454545,65,6.79,2,20
155,201406059,10.14258065,11,88.41,20,10
156,201406061,10,6,18.55,5,10
157,201406062,9.166509434,28,392.35,94,10
158,201406063,8.19047619,184,109.83,33,10
159,201406064,9.319259259,103,90.37,26,10
160,201406065,9.9446875,5,94.57,37,15
161,201406066,9.056097561,31,85.33,30,10
162,201406068,8.167,6,34.3,7,10
163,201406069,10.195,5,93.52,25,10
164,201406071,9.703448276,14,293.49,101,10
165,201406072,17.8,2,95.9,27,10
166,201406075,10.44821918,69,100.8,24,10
167,201406076,8.020454545,10,150.5,38,10
168,201406078,16.05,13,459.54,115,10
169,201406111,11.13666667,9,48.88,7,20
170,201406112,10,7,136.38,54,20
171,201406114,13.75,5,74.79,15,20
172,201406115,9,2,33.39,14,20
173,201406116,8.115625,7,8.91,2,20
174,201406117,11.016125,23,54.63,27,15
175,201406119,8.6504,65,41.48,25,20
176,201406141,12.59928571,8,13.58,6,20
177,201406144,10.98866667,64,7.98,3,20
178,201406147,8.082884615,25,20.86,7,20
179,201406150,11.3225,8,62.23,14,10
180,201406151,11.4772973,10,48.79,9,10
181,201406153,8.5,79,90.16,30,10
182,201406155,12.52652174,19,178.01,38,10
183,201406156,11.34181818,81,201.04,80,20
184,201406159,13.168,23,154.21,34,15
185,201406213,1,5,422.09,120,10
186,201406216,8.963421053,122,40.32,15,10
187,201406217,11.96256757,17,292.88,114,15
188,201406218,8.282272727,3,23.94,5,20
189,201406219,12.29793103,5,94.2,15,20
190,201407012,11.02567568,22,164.64,56,10
191,201407014,10.4944898,27,117.6,34,10
192,201407015,10.40625,51,20.3,10,10
193,201407017,11.11757143,41,134.75,30,10
194,201407018,10.675,3,48.09,16,10
195,201407021,13.34791667,45,97.16,31,20
196,201407022,10.51385965,29,47.88,15,20
197,201407025,10.13058824,38,143.57,34,20
198,201407028,12.19285714,1,143.5,42,20
199,201407031,14.26052632,22,52.36,14,20
200,201407032,13.27148148,22,75.11,16,20
201,201407033,14.82307692,35,175.7,51,20
202,201407034,9.255555556,38,56.14,20,20
203,201407035,12.4835,11,32.48,12,20
204,201407036,14.47115385,47,69.3,19,20
205,201407037,14.575,70,137.55,43,15
206,201407038,10.66875,11,61.18,23,20
207,201407039,7.638888889,146,51.03,19,20
208,201407047,14.68333333,3,127.47,40,10
209,201407051,10.70826923,46,260.12,91,15
210,201407052,11.61891892,15,138.25,39,15
211,201407053,12.49130435,6,23.94,8,15
212,201407054,12.49568966,12,105.56,25,15
213,201407055,10.79615385,16,7.98,1,15
214,201407056,14.85714286,13,6.58,2,15
215,201407058,13.53225806,27,202.09,39,15
216,201407059,11.89238095,28,74.69,6,15
217,201407110,10.43693548,44,15.33,8,10
218,201407113,10.03371681,14,48.37,11,10
219,201407116,10.88352941,46,117.04,33,10
220,201407117,11.59571429,28,52.08,21,10
221,201408011,12.35090909,6,14.42,8,20
