,XH,午餐平均消费,早餐次数,洗澡花销,洗澡次数,成绩等级
1424,201454093,9.790208333,29,443.1,40,20
1425,201454094,8.6471875,55,80.5,26,20
1426,201454097,10.10423729,9,71.05,21,20
1427,201454110,9.779615385,3,161.35,29,20
1428,201454111,11.10173913,83,32.48,6,10
1429,201454113,10.75085714,19,38.08,9,20
1430,201454114,10.50039474,68,68.88,14,20
1431,201454115,9.4016,19,23.87,6,15
1432,201454116,9.065689655,14,108.43,20,20
1433,201454118,17.288,21,110.6,10,15
1434,201454119,11.96238095,13,31.57,8,20
1435,201454213,9.328947368,50,21.07,4,20
1436,201454215,8.351578947,30,47.17,6,20
1437,201454216,10.3775,23,24.92,6,20
1438,201454219,9.377560976,14,197.54,37,20
1439,201455013,10.347,57,8.89,2,20
1440,201455015,11.18722222,3,20.16,4,10
1441,201455016,12.75,13,96.53,24,10
1442,201455017,8.687936508,17,95.9,33,10
1443,201455018,12.2566,29,98.42,30,20
1444,201455020,11.79010204,88,8.63,2,20
1445,201455025,8.333333333,2,124.32,21,20
1446,201455029,9.964920635,20,52.15,11,20
1447,201455041,10.47619048,3,28.56,5,20
1448,201455043,6,3,4.57,1,20
1449,201455045,13.88,9,12.45,4,20
1450,201455046,10.28181818,50,72.31,21,20
1451,201455060,9.658461538,83,78.47,20,10
1452,201456010,12.74666667,2,17.63,5,10
1453,201456011,8.682571429,41,113.22,16,20
1454,201456012,8.770689655,31,26.54,12,15
1455,201456013,10.50319149,2,24.71,6,15
1456,201456014,10.233125,28,63.21,19,20
1457,201456015,9.011111111,38,63.49,26,20
1458,201456016,9.702347826,115,58.31,17,20
1459,201456017,11.52053191,81,207.9,64,10
1460,201456018,11.57727273,5,32.66,9,15
1461,201456030,13.76080645,10,159.39,59,20
1462,201456031,10.12301075,124,203.07,48,10
1463,201456032,11.6,2,4.83,1,15
1464,201456033,7.868073394,108,35.16,13,15
1465,201456034,11.98,10,171.01,36,15
1466,201456035,11.65397436,138,107.03,59,10
1467,201456044,14.06521739,6,17.64,3,10
1468,201456047,10.77058824,58,105.98,28,10
1469,201456049,7.107368421,2,133.14,19,20
1470,201456050,10.32083333,53,110.95,32,10
1471,201456051,10.68181818,2,122.36,23,20
1472,201456054,7.68,2,180.25,41,10
1473,201456055,12.86363636,27,66.08,10,10
1474,201456056,9.803125,78,364.84,84,15
1475,201456057,11.07444444,22,14.98,4,20
1476,201456058,8.809782609,100,31.92,10,20
1477,201456059,7,2,53.06,16,20
1478,201456110,9.093939394,21,204.26,42,20
1479,201456112,15.60833333,4,85.26,26,15
1480,201456113,11.57857143,10,55.47,23,10
1481,201456115,8.787209302,101,28.37,15,20
1482,201456117,8.413636364,66,57.12,22,15
1483,201456118,11.23663366,66,60.06,24,20
1484,201456119,10.86574074,19,108.11,29,15
1485,201456140,13.32967742,11,16.03,7,20
1486,201456147,9.752758621,58,41.35,23,20
1487,201456148,11.47345238,71,18.69,8,10
1488,201457010,11.17857143,78,47.39,35,10
1489,201457011,9.144512195,19,34.02,23,10
1490,201457015,11.94565217,23,34.23,7,20
1491,201457016,10.03676471,35,49.35,30,10
1492,201457020,12.97125,9,50.96,9,20
1493,201457021,12.05395349,34,73.43,14,20
1494,201457024,10.20367816,13,49.28,18,20
1495,201457025,11.41461538,64,235.9,39,20
1496,201457026,12,1,5.6,3,20
1497,201457027,12.47142857,4,21.77,4,20
1498,201457028,6.316666667,2,86.52,18,20
1499,201457029,9.440104167,20,23.52,8,20
1500,201457030,9.679259259,20,82.81,21,15
1501,201457031,11.225,2,138.6,18,15
1502,201457032,12.24894737,1,19.67,8,15
1503,201457033,17.67197368,23,120.68,23,15
1504,201457034,10.81833333,36,187.81,43,15
1505,201457035,11.421875,14,22.05,6,20
1506,201457036,8.988181818,20,35,5,20
1507,201457037,9.964736842,22,39.34,9,15
1508,201458012,8.213333333,7,281.61,46,20
1509,201458013,10.51428571,50,127.96,24,20
1510,201458016,8.665,7,10.57,3,20
1511,201458021,11.06230769,36,25.55,5,20
1512,201458022,10.59354839,18,134.75,35,20
1513,201458026,8.376923077,1,142.66,16,20
1514,201458027,9.929310345,51,16.66,3,20
1515,201458032,10.28333333,1,3.38,1,20
1516,201458033,16.40411765,15,113.4,32,20
1517,201458034,10.58333333,2,104.93,33,20
1518,201458038,8.955918367,11,4.62,2,20
1519,201458039,9.516612903,63,81.83,26,20
1520,201458041,8.634875,8,48.09,24,20
1521,201458042,11.61,2,9.03,2,20
1522,201458043,8.4585,2,32.34,9,20
1523,201458046,9.924375,2,9.03,3,20
1524,201458048,13.28529412,1,3.71,1,20
1525,201458049,11.9,1,12.53,3,20
1526,201458056,20.0375,1,43.26,13,15
1527,201458130,7,3,86.45,17,20
1528,201458132,11.29021739,12,78.89,21,20
1529,201458133,10.28,26,196.77,28,20
1530,201458134,18.63333333,1,18.62,5,20
1531,201458135,10.25677419,33,59.92,29,20
1532,201458136,11.1125,3,102.34,30,20
1533,201458137,17.9,6,7.84,2,20
1534,201458138,13.875,1,146.16,29,20
1535,201459022,11.22580645,2,102.38,64,15
1536,201459023,10.61136364,57,75.38,27,10
1537,201459025,10.87368421,2,317.36,96,10
1538,201459030,10.40481928,90,11.8,8,10
1539,201459033,13.16666667,15,38.67,14,15
1540,201459034,9.379166667,7,31.68,20,15
1541,201459035,10.91814815,16,55.27,24,10
1542,201459038,10.22803419,98,32.68,17,10
1543,201459039,11.73113208,4,29.84,22,15
1544,201459041,15.6703125,16,38.14,11,20
1545,201459042,14.53448276,3,39.25,11,20
1546,201459043,11.43305785,85,37.8,17,20
1547,201459044,12.1002381,13,43.33,24,20
1548,201459047,9.985576923,14,95.91,28,15
1549,201459120,13.56803279,24,27.93,10,20
1550,201459122,10.828,11,143.69,43,10
1551,201459123,9.528571429,103,105.99,41,15
1552,201459124,11.45576923,55,83.47,32,10
1553,201459125,13.41304348,5,112.91,53,10
1554,201459127,9.648780488,60,29.21,14,10
1555,201459128,10.36805556,76,129.78,45,10
1556,201459129,8.322,53,68.46,25,20
1557,201459220,10.80327869,39,57.44,28,10
1558,201459221,11.01785714,2,44.89,13,10
1559,201459222,10.40493976,55,35.7,11,20
1560,201459226,21.3875,1,21.36,6,20
1561,201459227,15.38888889,2,21.76,10,10
1562,201459228,12.99090909,12,90.89,26,10
1563,201459229,12.63888889,6,4.12,4,10
1564,201459320,10.30555556,56,46.9,24,10
1565,201459321,10.39038462,52,87.87,30,20
1566,201459322,11.210625,63,72.89,24,10
1567,201459323,11.68,46,42,8,15
1568,201459324,9.599019608,21,84.61,27,15
1569,201459325,13.38636364,5,2.8,1,15
1570,201459327,10.31615385,25,20.72,13,20
1571,201459328,10.88095238,25,19.34,11,10
1572,201459420,8.887634409,32,54.86,28,15
1573,201459421,12.13521127,44,77.8,18,10
1574,201459422,9.622619048,31,20.8,8,20
1575,201459423,10.00555556,44,86.41,24,15
1576,201459426,9.73,10,111.8,38,10
1577,201459427,11.09130435,50,66.4,20,15
1578,201459428,10.2,29,120.25,20,10
1579,201459429,13.375,25,23.2,17,10
1580,201460000,12.811375,62,446.25,56,20
1581,201460001,8.615317919,168,171.64,52,20
1582,201460004,18.34038462,70,30.31,11,10
1583,201460005,9.939047619,44,133.42,39,10
1584,201460006,10.24583333,231,66.5,24,10
1585,201460007,10.34150442,39,340.69,78,10
1586,201460008,9.775241935,59,55.23,30,15
1587,201460009,9.181190476,8,296.73,53,15
1588,201460038,9.6475,7,226.52,38,10
1589,201460041,11.28875,8,35.56,12,15
1590,201460042,15.33454545,1,134.47,18,10
1591,201460043,18.92833333,1,42.42,9,10
1592,201460045,9.007961165,41,235.9,59,10
1593,201460046,12.335,5,135.69,29,20
1594,201460047,10.565,2,53.97,9,10
1595,201461010,12.94,2,133.7,34,20
1596,201461012,10.955,1,148.47,37,20
1597,201461016,11.5,3,106.47,22,20
1598,201461017,11.20283019,5,15.96,4,20
1599,201461019,9.467307692,7,44.66,9,20
1600,201461110,13.2875,17,73.01,16,20
1601,201461111,7.425,4,120.61,17,20
1602,201461112,10.28666667,5,226.1,41,20
1603,201461114,12,1,28.14,5,20
1604,201461115,16.63846154,43,81.55,17,20
1605,201461116,7.665,1,50.82,11,20
1606,201461117,10.34810345,22,64.19,27,20
1607,201462018,13.45744681,7,50.17,21,20
1608,201462042,10.804375,19,76.23,13,15
1609,201462085,7.33,3,19.39,4,20
1610,201462112,8.698181818,72,429.95,183,10
1611,201463065,11.25,1,13.93,2,15
1612,201464012,13.17145833,8,81.13,25,20
1613,201464013,10.0525641,20,71.19,17,20
1614,201464014,12.63,38,24.43,8,20
1615,201464015,9.535714286,6,128.02,26,20
1616,201464016,10.2565625,12,131.67,23,20
1617,201464017,9.825846154,15,58.24,16,20
1618,201464018,11.430625,12,36.47,7,20
1619,201464050,11.50853659,9,19.18,4,20
1620,201464052,12.33333333,2,2.94,1,10
1621,201464053,10.7125,22,80.64,11,20
1622,201464054,14.435,9,13.09,6,15
1623,201464055,5.375,6,46.76,9,20
1624,201464056,11.51383333,14,9.73,4,20
1625,201464057,8.753695652,93,42.63,6,15
1626,201464059,10.78564103,51,55.65,15,15
1627,201464066,11.52352941,1,81.48,12,20
1628,201464110,9.893934426,76,73.01,6,15
1629,201464111,13.4,10,14.07,2,20
1630,201464112,8.097460317,41,12.11,3,15
1631,201464113,8.912444444,10,68.53,12,20
1632,201464116,9.041304348,88,130.48,35,20
1633,201464117,10.47318182,3,5.39,1,10
1634,201464118,11.58333333,13,90.23,23,15
1635,201464119,9.762727273,22,18.27,4,20
1636,201464211,12.67222222,8,89.81,21,20
1637,201465011,10.11901408,26,127.54,26,20
1638,201465013,11.17866667,6,109.06,20,10
1639,201465014,3,21,75.18,19,15
1640,201465015,32,2,25.97,6,20
1641,201465016,9.580714286,34,140.35,43,10
1642,201465023,9.607142857,18,233.09,50,15
1643,201465027,11.40357143,1,18.06,3,25
1644,201465028,10.30909091,11,10.36,4,20
1645,201466011,10.17136842,67,67.61,23,20
1646,201466012,7.3225,116,79.52,22,20
1647,201466013,9,2,90.86,8,15
1648,201466014,11.21355932,15,32.62,11,20
1649,201466015,10.2312,50,15.37,6,20
1650,201466018,13.57777778,33,66.65,33,20
1651,201466019,8.881578947,9,44.78,20,15
1652,201466045,4.281979167,15,50.54,16,10
1653,201466046,11.06625,23,3.36,1,20
1654,201466050,10.17213115,1,214.97,58,10
1655,201466052,9.713157895,30,155.96,39,20
1656,201466053,12.31,44,81.06,18,20
1657,201466054,11.339,5,25.13,6,10
1658,201466055,7.3975,1,66.08,30,10
1659,201466057,9.652714286,60,123.2,31,10
1660,201466058,16.24125,8,91.42,16,10
1661,201466059,12.27551724,22,42.49,11,20
1662,201466111,10.20277778,8,14.28,3,20
1663,201466112,9.901351351,39,13.57,4,20
1664,201466113,10.54566667,59,18.48,9,20
1665,201466114,9.997391304,43,96.24,36,10
1666,201466115,12.54097561,20,48.09,15,20
1667,201466116,7.374590164,46,81.76,49,15
1668,201466117,11.29842105,41,40.38,12,20
1669,201466118,9.063333333,2,95.61,17,20
1670,201466119,10.40475,45,174.93,23,20
1671,201466142,14.80333333,2,87.78,18,15
1672,201466143,10.36210526,10,74.55,15,20
1673,201466147,16.475,5,81.48,16,10
1674,201466148,15.7378125,41,54.11,11,15
1675,201467010,12,7,67.2,22,10
1676,201467011,11.59631579,10,23.59,12,10
1677,201467013,8.94,1,73.08,15,10
1678,201467014,9.533880597,47,101.57,24,10
1679,201467016,11.99384615,44,76.3,23,10
1680,201467019,9.823333333,4,83.93,13,10
1681,201467020,11.38095238,63,94.36,32,20
1682,201467021,10.04634146,34,46.41,13,20
1683,201467023,10.4,20,24.78,7,20
1684,201467024,9.592857143,10,5.11,1,20
1685,201467025,8.676923077,7,44.45,9,20
1686,201467026,10.28333333,49,83.09,15,20
1687,201467027,15.2975,8,102.27,20,20
1688,201467028,11.573625,7,99.75,22,20
1689,201467029,9.821785714,87,144.76,29,20
1690,201467030,9.034210526,18,1.26,1,15
1691,201467032,6.13,1,113.82,17,15
1692,201467033,12.12272727,25,43.26,11,15
1693,201467034,10.94166667,4,73.64,23,20
1694,201467036,12.08695652,24,115.99,34,20
1695,201467037,10.09717391,29,31.92,10,15
1696,201467038,10.5,3,128.52,36,20
1697,201467039,18.234,48,45.78,8,15
1698,201468010,12.65333333,22,123.55,30,15
1699,201468011,5.75,3,40.88,13,20
1700,201468014,8.08,2,130.83,40,20
1701,201468027,10.5975,23,144.62,33,20
1702,201468029,8.95,3,77.14,20,20
1703,201468030,9.625,1,78.05,20,20
1704,201468032,13.23571429,1,126.7,23,20
1705,201468033,8.389333333,1,7.98,2,20
1706,201468034,9.680952381,4,4.34,1,20
1707,201468037,10.14318182,5,39.34,11,20
1708,201468038,8.582222222,4,83.16,11,20
1709,201468039,11.03,1,59.29,16,20
1710,201468040,11.28333333,1,43.54,17,20
1711,201468055,9.351515152,49,34.93,12,20
1712,201469020,11.88461538,9,4.4,1,10
1713,201469022,11.4,21,232.19,51,15
1714,201469024,8.8775,4,55.44,22,10
1715,201469026,9.952380952,43,24.85,14,20
1716,201469027,17.49021739,25,47.84,11,10
1717,201469028,12.53645833,11,52.7,23,10
1718,201469029,13.15789474,3,17.75,7,20
1719,201469032,7.292268041,100,156.98,68,15
1720,201469033,11.63043478,16,34.95,12,20
1721,201469035,15.21428571,14,3.57,1,15
1722,201469036,7.967613636,65,12.37,10,10
1723,201469041,14.14134615,33,3.4,2,15
1724,201469045,13.08,4,29.2,12,15
1725,201469046,11.83571429,70,33.1,9,15
1726,201469048,16.34333333,29,32.18,10,20
1727,201469120,12.34897959,28,13.4,7,20
1728,201469121,10.41489362,13,58.34,25,10
1729,201469123,12.43163265,88,136.74,42,10
1730,201469124,10.08571429,4,43.38,16,10
1731,201469125,10.8125,1,162.86,46,10
1732,201469128,9.817307692,28,35.15,13,20
1733,201469129,11.54206349,26,87.17,25,15
1734,201469220,20.21818182,39,26.02,11,10
1735,201469221,9.966216216,17,131.15,53,20
1736,201469222,11.08888889,47,2.4,2,20
1737,201469223,10.1390411,54,43.28,16,15
1738,201469224,8.297222222,25,17.74,12,10
1739,201469225,14.33333333,2,20.2,8,10
1740,201469227,11.29032258,17,34.38,12,20
1741,201469321,8.564957265,36,9.6,4,20
1742,201469322,11.986,3,55.69,22,15
1743,201469323,14.16666667,6,1.8,1,15
1744,201469324,10.22435897,30,39.77,19,20
1745,201469326,9.759821429,13,74.88,18,10
1746,201469327,9.194444444,19,70.06,16,10
1747,201469328,8.627777778,3,220.18,55,15
1748,201469329,11.75,2,1.4,1,20
1749,201469422,9.768292683,87,63.13,29,20
1750,201469427,17.4375,6,1.2,1,20
1751,201469428,9.1625,8,38,20,10
1752,201469429,15.33333333,14,9.79,8,10
1753,201470000,9.787290323,189,159.18,34,20
1754,201470001,10.97336,88,12.81,5,20
1755,201470002,12.884,7,21.98,3,15
1756,201470006,11.43541284,57,137.69,50,15
1757,201470038,9.357142857,19,203.83,47,10
1758,201470040,14.1825,13,224.84,23,20
1759,201470041,12.21961538,14,2.8,1,20
1760,201470044,11.305,1,54.53,13,10
1761,201471010,10.97142857,12,12.32,5,20
1762,201471011,9.271304348,38,119.35,24,20
1763,201471012,6.757142857,4,69.02,18,20
1764,201471013,10.74333333,4,136.08,16,20
1765,201471014,11.05,1,159.46,46,20
1766,201471016,5.288235294,12,107.52,26,20
1767,201471017,10.34423077,7,61.81,11,20
1768,201471018,12.11723404,105,421.26,108,20
1769,201471111,11.63566667,29,155.96,63,20
1770,201471112,8.681084337,8,97.23,21,20
1771,201471113,10.56026316,51,183.5,53,20
1772,201471114,9.625,16,106.61,25,20
1773,201471115,10.49891892,19,136.36,26,20
1774,201471116,10.75333333,1,40.04,12,20
1775,201471117,13.16818182,3,147.63,30,20
1776,201471119,16.14090909,7,7.63,2,20
1777,201472059,10.92857143,27,38.36,8,20
1778,201472083,11.49416667,5,46.06,11,20
1779,201473063,9.912592593,47,46.34,9,20
1780,201473069,13.87777778,4,66.29,9,15
1781,201474010,12.558125,37,17.71,4,15
1782,201474011,11.21034091,47,162.61,36,20
1783,201474012,12.02179487,10,4.55,2,20
1784,201474014,10.06060606,28,108.22,19,20
1785,201474015,10.30833333,19,43.61,17,10
1786,201474016,9.854901961,15,125.93,30,15
1787,201474019,11.1448,31,208.6,29,15
1788,201474050,13,1,60.83,11,20
1789,201474051,10.53903226,9,49.14,15,20
1790,201474053,10.53285714,66,38.43,13,15
1791,201474054,5.180625,17,48.51,17,20
1792,201474055,10.72116279,29,52.99,7,15
1793,201474056,10.13933333,24,128.24,22,20
1794,201474057,10.02830986,52,9.66,2,20
1795,201474059,11.51542857,57,28.77,11,15
1796,201474060,8.049166667,10,65.8,15,20
1797,201474064,7.146451613,31,67.2,42,10
1798,201474110,10.04304348,5,119.77,15,15
1799,201474112,15.77,6,16.24,6,20
1800,201474113,11.35914894,60,91.21,19,20
1801,201474116,11.475,2,81.2,14,20
1802,201474117,15.93,2,82.04,14,15
1803,201475010,18.53928571,7,102.55,30,15
1804,201475011,11.46756757,1,135.45,41,15
1805,201475012,12.16018182,24,141.68,36,20
1806,201475020,6,3,79.03,16,15
1807,201475022,9.588888889,62,164.99,31,20
1808,201475023,8.614444444,4,254.24,51,20
1809,201475024,14.37777778,13,13.37,5,20
1810,201475029,7.428571429,4,160.86,29,10
1811,201476010,10.25941176,11,8.96,3,20
1812,201476011,13.43880597,3,80.36,25,10
1813,201476012,12.09413793,23,22.4,7,20
1814,201476015,9.315,13,86.03,29,20
1815,201476016,10.98694444,14,13.4,4,10
1816,201476017,9.8392,5,57.29,12,15
1817,201476018,9.33,3,129.22,20,20
1818,201476019,8.707538462,60,72.73,9,10
1819,201476043,10.3375,5,94.64,34,20
1820,201476047,11.2208,31,40.6,11,10
1821,201476051,9.693055556,8,174.1,37,10
1822,201476054,11.87658537,5,161.77,57,10
1823,201476055,7.848717949,34,56.77,19,10
1824,201476057,10.35441176,41,98.56,27,10
1825,201476058,9.333333333,19,41.93,11,20
1826,201476059,11.95781818,83,126.35,47,10
1827,201476110,11.41290909,7,33.6,18,20
1828,201476111,12.85354167,60,104.51,48,15
1829,201476112,8.211276596,7,14.14,3,10
1830,201476114,9.5026,121,77.41,45,20
1831,201476115,8.482051282,51,42.38,21,20
1832,201476116,12.85054054,109,251.01,100,10
1833,201476118,13.14833333,15,60.13,11,20
1834,201476119,9.735849057,35,26.67,13,20
1835,201476143,7.331328125,66,20.09,6,20
1836,201476147,10,1,37.59,4,15
1837,201477011,10.625,10,12.74,5,10
1838,201477012,10.16888889,11,63.42,15,10
1839,201477013,11.22419355,35,281.82,53,10
1840,201477015,9.95625,13,34.37,6,10
1841,201477019,10.125,13,99.89,17,10
1842,201477020,12.30163934,16,80.36,22,20
1843,201477021,10.38113208,1,46.55,8,20
1844,201477022,14.6,5,190.96,29,20
1845,201477023,10.29,12,17.01,5,15
1846,201477024,6.5875,6,24.71,5,20
1847,201477025,10.08333333,1,167.23,34,20
1848,201477026,10.5625,62,45.01,18,20
1849,201477027,10.61469388,8,138.95,49,20
1850,201477029,9.775454545,14,28.49,6,20
1851,201477030,10.56052632,10,26.18,10,15
1852,201477032,18.61111111,10,13.79,2,15
1853,201478012,10.78,8,119.28,24,20
1854,201478018,8.4,1,3.71,2,20
1855,201478019,10.045,2,73.57,21,20
1856,201478025,10.87857143,30,53.9,12,20
1857,201478028,20.95,32,14,2,15
1858,201478029,12.375,4,78.47,12,20
1859,201478030,13.44230769,32,123.34,42,20
1860,201478032,9.75,1,57.05,14,20
1861,201478033,13.61181818,1,176.4,34,20
1862,201478038,11.1625,4,109.76,38,20
1863,201478052,10.99,14,106.4,30,20
1864,201478053,5.39375,17,74.54,16,20
1865,201478058,9.410526316,4,20.79,4,20
1866,201479020,15.92205882,26,91.67,34,10
1867,201479022,13.88235294,9,19.84,7,15
1868,201479024,10.54166667,7,7.6,4,15
1869,201479026,9.647058824,16,87.6,21,10
1870,201479030,8.775625,6,73.26,18,15
1871,201479032,11.30128205,28,135.37,36,15
1872,201479033,12.675,33,23.08,11,20
1873,201479034,15.125,1,138.13,19,10
1874,201479035,7.862605042,76,94.67,28,10
1875,201479039,10.53,20,71.55,45,20
1876,201479040,10.75,4,16.6,4,15
1877,201479044,7.75,3,18.89,8,20
1878,201479046,10.52053571,55,189.72,43,20
1879,201479120,10.37304348,7,45.42,23,20
1880,201479121,6.110465116,52,163.78,58,15
1881,201479122,8.792307692,9,16.6,8,10
1882,201479123,9.7,3,296.66,46,20
1883,201479125,9.45,48,65.37,29,20
1884,201479126,12,3,66.97,27,20
1885,201479127,11.78571429,9,20,5,15
1886,201479129,11.09545455,48,95.69,21,20
1887,201479220,12.23584906,47,38.45,20,10
1888,201479221,14.45396825,54,2.4,1,15
1889,201479222,10.15757576,38,47.57,19,10
1890,201479223,10.72916667,4,13.85,6,10
1891,201479224,13.27608696,6,17.4,7,15
1892,201479225,11.32407407,23,39.43,16,10
1893,201479226,8.681451613,60,15.6,14,20
1894,201479227,11.48478261,2,9.2,4,10
1895,201479229,12.85625,8,24.5,16,20
1896,201479322,6.313793103,11,120.68,60,20
1897,201479323,9.815942029,59,46.34,26,10
1898,201479324,10.8766129,9,32.39,16,15
1899,201479326,8.430693069,6,46.3,24,10
1900,201479327,15.39583333,8,6.8,4,15
1901,201479328,11.16311475,54,71.15,27,10
1902,201479329,8.972222222,11,10.42,5,15
1903,201479420,11.80514706,17,62.23,36,10
1904,201479421,9.818181818,2,28.55,11,10
1905,201479422,8.958333333,12,44.03,26,10
1906,201479423,12.59125,4,13.22,5,10
1907,201479425,9.96328125,43,105.65,56,15
1908,201479426,11.71590909,3,28.86,13,20
1909,201479427,13.60697674,12,35.87,16,10
1910,201479428,14.64583333,37,15.68,8,10
1911,201480021,8.85,1,182.72,36,10
1912,201480022,8.006153846,22,35.77,14,20
1913,201480037,10.75382979,30,525.21,78,30
1914,201480040,12.76666667,3,127.68,18,10
1915,201480042,12.0225,6,148.61,24,10
1916,201480047,9.888461538,5,90.51,17,10
1917,201480048,9.221875,1,57.26,8,10
1918,201481010,13.074,2,26.39,17,20
1919,201481011,4.478181818,11,137.48,43,20
1920,201481016,9.242307692,2,63.84,14,20
1921,201482016,11.34571429,19,256.25,52,10
1922,201482037,11.68975904,81,15.12,4,20
1923,201482046,7.686020408,45,149.87,36,20
1924,201482057,11.39934783,7,25.69,6,20
1925,201483066,13.023,12,20.51,6,20
1926,201484010,10.06711864,59,108.08,14,20
1927,201484011,9.53362069,79,65.4,17,20
1928,201484012,9.260833333,92,58.59,13,20
1929,201484013,11.33333333,1,19.11,3,30
1930,201484015,11.38112676,81,187.11,34,15
1931,201484016,11.296,7,11.97,2,20
1932,201484017,9.083773585,98,38.5,15,20
1933,201484018,13.655,5,122.71,21,20
1934,201484050,10.5445614,82,37.8,6,20
1935,201484052,13.91808511,34,27.37,8,20
1936,201484053,11.34615385,23,12.18,3,20
1937,201484054,8.42,3,124.6,30,15
1938,201484055,10.225,11,33.53,9,20
1939,201484056,11.175,16,44.52,11,20
1940,201484057,9.697794118,39,3.57,1,20
1941,201484058,14.34571429,6,15.89,4,20
1942,201484064,12.55942857,14,115.32,19,20
1943,201484112,12.64642857,1,112.21,24,15
1944,201484113,13.17236842,18,5.53,1,15
1945,201484114,9.923835616,57,40.53,11,20
1946,201484115,8.587325581,52,52.85,8,20
1947,201484117,12.01538462,11,8.54,2,10
1948,201484119,10.26894737,11,30.17,12,20
1949,201485021,11.62272727,8,54.88,22,20
1950,201485023,6.382771084,24,40.74,17,20
1951,201485026,7.940740741,17,50.12,18,20
1952,201485027,7.827777778,23,289.72,72,15
1953,201485029,7.584556962,81,34.86,16,20
1954,201486010,9.84,66,50.61,20,20
1955,201486011,10.54907692,23,35.14,8,20
1956,201486012,10.72727273,38,4.62,2,20
1957,201486014,11.87208333,15,33.11,10,20
1958,201486015,10.35070588,4,104.98,27,15
1959,201486017,8.987254902,47,188.66,31,20
1960,201486018,8.8825,30,66.56,28,20
1961,201486019,11.65689655,72,38.22,12,20
1962,201486050,9.077777778,14,223.51,44,20
1963,201486051,10.74166667,19,34.65,14,10
1964,201486052,9.629736842,84,173.46,84,10
1965,201486053,7.95875,44,263.41,38,20
1966,201486056,12.33333333,7,52.57,17,10
1967,201486058,16.25,26,45.92,13,20
1968,201486059,4.08125,60,8.75,3,15
1969,201486110,15.51,23,118.3,41,20
1970,201486111,9.87,64,19.76,10,20
1971,201486112,12.58333333,71,54.49,9,10
1972,201486114,8.518918919,5,11.73,5,20
1973,201486115,10.78483871,8,51.34,16,20
1974,201486116,10.834,185,237.72,77,20
1975,201486119,9.264693878,18,79.17,18,20
1976,201486141,9.832142857,7,21.98,4,20
1977,201487012,6.34,10,27.16,8,10
1978,201487013,13.06607143,41,5.53,1,10
1979,201487014,11.02142857,9,44.8,11,10
1980,201487015,9.8421875,52,53.9,13,10
1981,201487017,10.94047619,56,147.42,27,10
1982,201487019,10.225,26,27.51,6,10
1983,201487020,12.5774,36,25.55,9,20
1984,201488011,9.375,13,44.17,10,20
1985,201488012,11.16823529,3,16.94,4,20
1986,201488013,8.074193548,2,20.16,4,20
1987,201488021,10,5,72.1,19,20
1988,201488028,10.25,2,18.34,4,20
1989,201488031,26.85,1,5.04,1,20
1990,201488032,10.72727273,5,21.42,4,20
1991,201488034,8.831428571,5,46.55,16,20
1992,201488036,12.5,5,133.91,22,20
1993,201488037,9.9125,1,55.09,15,20
1994,201488038,10.4375,1,159.74,48,20
1995,201489020,9.855670103,69,198.29,50,10
1996,201489021,14.33244681,23,58.59,18,10
1997,201489023,10.13416667,16,66.06,21,15
1998,201489024,9.106756757,20,30.1,10,10
1999,201489025,7.86,47,197.06,68,10
2000,201489026,9.004761905,89,0.2,1,15
2001,201489029,7.855555556,27,67.48,33,10
2002,201489030,11,3,38.31,8,15
2003,201489032,14.11818182,79,36,19,20
2004,201489034,10.36785714,35,7.06,2,15
2005,201489036,9.513793103,39,4,1,10
2006,201489040,10.42569444,93,140.5,40,20
2007,201489043,12.17171717,20,65.62,23,20
2008,201489044,15.33888889,8,109.6,31,20
2009,201489045,11.78125,21,25.24,12,20
2010,201489046,14.93846154,12,24.13,12,20
2011,201489047,7.56688172,68,31.42,21,15
2012,201489048,13.52777778,1,9.6,7,20
2013,201489120,9.84020979,100,170.51,49,10
2014,201489122,9.678571429,14,8.74,2,10
2015,201489123,12.88095238,24,3.8,4,10
2016,201489124,8.865909091,36,44.5,13,10
2017,201489125,8.652,7,3,2,10
2018,201489126,11.57368421,1,91.46,43,15
2019,201489128,8.418965517,9,167.97,63,10
2020,201489129,13.23142857,17,16,8,10
2021,201489220,7.116666667,18,133.71,61,15
2022,201489221,10.2278481,2,27.27,12,15
2023,201489222,10.81666667,12,43.64,13,10
2024,201489224,15.00121951,11,61.98,31,20
2025,201489321,10.34695122,32,34.13,13,10
2026,201489322,11.05170455,67,52.99,28,10
2027,201489324,11.35294118,15,42.01,24,10
2028,201489325,11.32692308,5,40.32,20,10
2029,201489326,12.22142857,7,102.96,29,20
2030,201489327,9.1,27,23.6,9,10
2031,201489328,8.457042254,63,22.14,6,20
2032,201489421,13.7,1,180.59,48,10
2033,201490023,6.174393939,27,22.26,5,20
2034,201490042,12.88823529,4,13.58,3,10
2035,201490043,13.14782609,88,36.61,15,10
2036,201490045,15.76818182,33,139.37,31,10
2037,201490046,13.23254902,3,175.49,33,15
2038,201490047,9.878928571,12,12.53,2,10
2039,201490048,4.325357143,11,28.91,8,10
2040,201491010,20.66666667,8,246.89,36,20
2041,201491011,8.713783784,11,102.9,21,20
2042,201491012,12.02043478,9,62.44,13,20
2043,201491016,15.5,3,146.79,27,20
2044,201491018,6.806666667,14,49.35,14,20
