姓名,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
Charlie Criss,80--81,ATL,66.0,,25.9,0.454,3.3,7.3,0.048,0.0,0.3,0.8640000000000001,2.8,3.2,1.5,0.4,1.1,4.3,0.9,0.0,2.0,1.3,9.5,,
Charlie Criss,79--80,ATL,81.0,,22.1,0.431,3.1,7.1,0.059,0.0,0.2,0.8109999999999999,2.1,2.6,1.4,0.3,1.1,3.0,0.9,0.0,1.6,1.6,8.3,,
Charlie Criss,78--79,ATL,54.0,,16.3,0.377,2.0,5.4,,,,0.779,1.2,1.6,1.1,0.4,0.8,2.6,0.8,0.1,1.5,1.3,5.3,,
Charlie Criss,77--78,ATL,77.0,,25.1,0.425,4.1,9.8,,,,0.797,3.1,3.8,1.6,0.3,1.3,3.8,1.4,0.1,1.9,1.9,11.4,,
Joe Crispin,01--02,TOT,21.0,0.0,7.4,0.382,1.2,3.2,0.385,0.7,1.9,0.923,0.6,0.6,0.5,0.1,0.4,1.2,0.2,0.0,0.5,0.5,3.8,11.0,10.0
Joe Crispin,01--02,PHO,15.0,0.0,8.6,0.411,1.5,3.7,0.429,1.0,2.3,1.0,0.5,0.5,0.7,0.1,0.5,1.6,0.3,0.0,0.6,0.5,4.6,6.0,9.0
Joe Crispin,01--02,LAL,6.0,0.0,4.5,0.25,0.5,2.0,0.0,0.0,0.7,0.8,0.7,0.8,0.2,0.0,0.2,0.3,0.2,0.0,0.2,0.3,1.7,5.0,1.0
Hal Crisler,46--47,BOS,4.0,,,0.333,0.5,1.5,,,,1.0,0.5,0.5,,,,0.0,,,,1.5,1.5,,
Ron Crevier,85--86,TOT,3.0,0.0,1.3,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0,1.0
Ron Crevier,85--86,DET,2.0,0.0,1.5,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Ron Crevier,85--86,GSW,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jim Creighton,75--76,ATL,32.0,,5.4,0.279,0.4,1.3,,,,0.438,0.2,0.5,1.4,0.4,1.0,0.1,0.1,0.3,,0.7,1.0,,
Jordan Crawford,16--17,NOH,19.0,0.0,23.3,0.482,5.5,11.5,0.389,1.9,5.0,0.769,1.1,1.4,1.8,0.2,1.6,3.0,0.6,0.1,1.3,1.6,14.1,9.0,10.0
Jordan Crawford,13--14,TOT,81.0,35.0,22.9,0.415,4.0,9.7,0.316,1.1,3.5,0.8640000000000001,1.8,2.1,2.3,0.3,1.9,3.5,0.6,0.1,1.7,1.5,11.0,39.0,42.0
Jordan Crawford,13--14,GSW,42.0,0.0,15.7,0.417,3.3,7.9,0.313,1.0,3.0,0.8370000000000001,0.9,1.0,1.5,0.2,1.3,1.4,0.3,0.0,1.2,1.0,8.4,26.0,16.0
Jordan Crawford,13--14,BOS,39.0,35.0,30.8,0.413,4.8,11.7,0.318,1.3,4.0,0.873,2.8,3.2,3.1,0.5,2.6,5.7,0.9,0.1,2.2,1.9,13.7,13.0,26.0
Jordan Crawford,12--13,TOT,70.0,14.0,24.4,0.415,4.3,10.4,0.337,1.2,3.5,0.8109999999999999,1.8,2.3,3.0,0.6,2.4,3.2,0.6,0.1,2.0,1.5,11.6,23.0,47.0
Jordan Crawford,12--13,BOS,27.0,2.0,21.5,0.415,3.3,8.0,0.32,0.9,2.8,0.792,1.6,2.0,2.7,0.5,2.3,2.5,0.4,0.1,1.6,1.7,9.1,13.0,14.0
Jordan Crawford,12--13,WAS,43.0,12.0,26.3,0.415,4.9,11.8,0.345,1.4,4.0,0.821,2.0,2.5,3.1,0.7,2.4,3.7,0.6,0.1,2.3,1.4,13.2,10.0,33.0
Jordan Crawford,11--12,WAS,64.0,32.0,27.4,0.4,5.5,13.6,0.289,1.2,4.3,0.7929999999999999,2.5,3.2,2.6,0.7,1.9,3.0,0.9,0.1,2.2,1.7,14.7,18.0,46.0
Jordan Crawford,10--11,TOT,42.0,18.0,24.5,0.384,4.6,11.9,0.258,0.8,3.0,0.8690000000000001,1.7,2.0,2.5,0.7,1.8,2.8,0.9,0.1,2.0,1.5,11.7,17.0,25.0
Jordan Crawford,10--11,WAS,26.0,18.0,33.3,0.39,6.3,16.3,0.238,0.9,3.9,0.885,2.7,3.0,3.0,0.8,2.1,3.9,1.4,0.1,2.6,1.9,16.3,8.0,18.0
Jordan Crawford,10--11,ATL,16.0,0.0,10.0,0.35100000000000003,1.7,4.8,0.333,0.6,1.7,0.667,0.3,0.4,1.8,0.6,1.2,0.9,0.2,0.0,0.9,0.8,4.2,9.0,7.0
Joe Crawford,08--09,NYK,2.0,0.0,11.5,0.3,1.5,5.0,0.25,0.5,2.0,1.0,1.0,1.0,2.0,0.5,1.5,0.5,0.5,0.0,0.0,1.0,4.5,1.0,1.0
Jamal Crawford,16--17,LAC,82.0,1.0,26.3,0.413,4.4,10.6,0.36,1.4,3.9,0.857,2.1,2.5,1.6,0.2,1.4,2.6,0.7,0.2,1.6,1.4,12.3,51.0,31.0
Jamal Crawford,15--16,LAC,79.0,5.0,26.9,0.404,4.8,11.9,0.34,1.5,4.4,0.904,3.1,3.4,1.8,0.3,1.6,2.3,0.7,0.2,1.4,1.5,14.2,51.0,28.0
Jamal Crawford,14--15,LAC,64.0,4.0,26.7,0.396,5.2,13.1,0.327,1.9,5.7,0.901,3.5,3.9,1.9,0.3,1.7,2.5,0.9,0.2,1.4,1.7,15.8,44.0,20.0
Jamal Crawford,13--14,LAC,69.0,24.0,30.3,0.416,6.1,14.7,0.361,2.3,6.5,0.866,4.0,4.7,2.3,0.5,1.8,3.2,0.9,0.2,2.0,1.7,18.6,47.0,22.0
Jamal Crawford,12--13,LAC,76.0,0.0,29.4,0.438,5.9,13.4,0.376,2.0,5.2,0.871,2.8,3.3,1.7,0.3,1.4,2.5,1.0,0.2,1.9,0.9,16.5,51.0,25.0
Jamal Crawford,11--12,POR,60.0,6.0,26.9,0.384,4.7,12.3,0.308,1.3,4.3,0.927,3.2,3.4,2.0,0.3,1.7,3.2,0.9,0.2,1.9,1.2,14.0,28.0,32.0
Jamal Crawford,10--11,ATL,76.0,0.0,30.2,0.421,4.8,11.5,0.341,1.6,4.6,0.8540000000000001,2.9,3.4,1.7,0.3,1.4,3.2,0.8,0.2,1.9,1.3,14.2,40.0,36.0
Jamal Crawford,09--10,ATL,79.0,0.0,31.1,0.449,6.3,14.0,0.382,2.1,5.4,0.857,3.4,4.0,2.5,0.4,2.1,3.0,0.8,0.2,1.7,1.7,18.0,51.0,28.0
Jamal Crawford,08--09,TOT,65.0,65.0,38.1,0.41,6.4,15.7,0.36,2.2,6.1,0.872,4.6,5.3,3.0,0.4,2.6,4.4,0.9,0.2,2.3,1.4,19.7,25.0,40.0
Jamal Crawford,08--09,GSW,54.0,54.0,38.6,0.406,6.4,15.8,0.338,2.0,5.9,0.889,4.9,5.5,3.3,0.4,2.9,4.4,0.9,0.2,2.3,1.5,19.7,19.0,35.0
Jamal Crawford,08--09,NYK,11.0,11.0,35.6,0.4320000000000001,6.6,15.4,0.455,3.2,7.0,0.7609999999999999,3.2,4.2,1.5,0.2,1.4,4.4,0.8,0.0,2.4,1.2,19.6,6.0,5.0
Jamal Crawford,07--08,NYK,80.0,80.0,39.9,0.41,7.1,17.4,0.35600000000000004,2.2,6.2,0.8640000000000001,4.1,4.8,2.6,0.5,2.1,5.0,1.0,0.2,2.4,1.8,20.6,23.0,57.0
Jamal Crawford,06--07,NYK,59.0,36.0,37.3,0.4,6.0,15.0,0.32,1.7,5.5,0.838,3.9,4.6,3.2,0.7,2.5,4.4,1.0,0.1,2.7,1.9,17.6,26.0,33.0
Jamal Crawford,05--06,NYK,79.0,27.0,32.3,0.416,4.6,11.1,0.345,1.3,3.7,0.826,3.7,4.5,3.1,0.5,2.7,3.8,1.1,0.2,2.2,1.9,14.3,21.0,58.0
Jamal Crawford,04--05,NYK,70.0,67.0,38.4,0.398,6.2,15.7,0.361,2.6,7.3,0.843,2.6,3.1,2.9,0.5,2.4,4.3,1.3,0.3,2.1,1.9,17.7,28.0,42.0
Jamal Crawford,03--04,CHI,80.0,73.0,35.1,0.386,6.4,16.5,0.317,2.1,6.5,0.833,2.5,3.0,3.5,0.6,3.0,5.1,1.4,0.4,2.4,2.0,17.3,23.0,57.0
Jamal Crawford,02--03,CHI,80.0,31.0,24.9,0.413,4.2,10.1,0.355,1.1,3.0,0.8059999999999999,1.3,1.6,2.3,0.3,2.1,4.2,1.0,0.3,1.7,1.6,10.7,28.0,52.0
Jamal Crawford,01--02,CHI,23.0,6.0,20.9,0.476,3.9,8.1,0.448,1.1,2.5,0.769,0.4,0.6,1.5,0.2,1.3,2.4,0.8,0.2,1.4,0.8,9.3,5.0,18.0
Jamal Crawford,00--01,CHI,61.0,8.0,17.2,0.35200000000000004,1.8,5.0,0.35,0.7,1.9,0.794,0.4,0.6,1.5,0.1,1.3,2.3,0.7,0.2,1.4,1.1,4.6,8.0,53.0
Freddie Crawford,70--71,TOT,51.0,,12.8,0.391,2.2,5.5,,,,0.49,0.9,1.9,2.0,,,1.5,,,,1.5,5.3,,
Freddie Crawford,70--71,PHI,36.0,,12.5,0.423,2.1,4.9,,,,0.444,0.9,2.0,1.9,,,1.5,,,,1.6,5.0,,
Freddie Crawford,70--71,BUF,15.0,,13.5,0.34,2.4,7.1,,,,0.615,1.1,1.7,2.3,,,1.6,,,,1.2,5.9,,
Freddie Crawford,69--70,MIL,77.0,,17.3,0.48,3.2,6.6,,,,0.682,1.3,1.9,2.4,,,2.9,,,,2.4,7.6,,
Freddie Crawford,68--69,LAL,81.0,,20.9,0.465,2.6,5.6,,,,0.539,1.0,1.9,2.7,,,1.9,,,,2.8,6.2,,
Freddie Crawford,67--68,TOT,69.0,,17.1,0.442,3.2,7.3,,,,0.62,1.6,2.6,2.8,,,2.0,,,,2.5,8.1,,
Freddie Crawford,67--68,LAL,38.0,,19.9,0.482,4.2,8.7,,,,0.617,1.9,3.2,2.9,,,2.5,,,,2.7,10.3,,
Freddie Crawford,67--68,NYK,31.0,,13.7,0.3670000000000001,2.1,5.7,,,,0.627,1.2,1.9,2.7,,,1.5,,,,2.2,5.4,,
Freddie Crawford,66--67,NYK,19.0,,10.1,0.379,2.3,6.1,,,,0.632,1.3,2.0,2.5,,,0.6,,,,2.1,5.9,,
Chris Crawford,03--04,ATL,56.0,25.0,21.6,0.448,3.8,8.4,0.389,0.8,2.0,0.866,1.8,2.1,3.1,1.0,2.1,0.8,0.7,0.4,1.0,2.3,10.2,18.0,38.0
Chris Crawford,02--03,ATL,5.0,0.0,7.6,0.615,1.6,2.6,0.333,0.2,0.6,0.875,1.4,1.6,1.4,0.6,0.8,0.2,0.4,0.6,0.4,1.4,4.8,1.0,4.0
Chris Crawford,01--02,ATL,7.0,4.0,18.7,0.467,3.0,6.4,0.0,0.0,0.1,0.733,1.6,2.1,3.6,1.3,2.3,0.7,0.3,0.7,1.4,3.0,7.6,1.0,6.0
Chris Crawford,00--01,ATL,47.0,22.0,19.2,0.452,2.6,5.7,0.273,0.1,0.5,0.8190000000000001,1.4,1.8,2.3,0.6,1.7,0.8,0.4,0.3,1.3,2.5,6.8,11.0,36.0
Chris Crawford,99--00,ATL,55.0,11.0,12.1,0.397,1.7,4.2,0.259,0.1,0.5,0.778,1.1,1.5,1.8,0.9,0.9,0.6,0.3,0.3,0.7,1.5,4.6,16.0,39.0
Chris Crawford,98--99,ATL,42.0,30.0,18.7,0.431,2.6,6.1,0.333,0.3,0.8,0.8140000000000001,1.4,1.7,2.1,0.9,1.3,0.6,0.2,0.3,1.1,2.5,6.9,27.0,15.0
Chris Crawford,97--98,ATL,40.0,0.0,6.4,0.418,1.2,2.8,0.333,0.0,0.1,0.838,1.4,1.7,1.0,0.5,0.5,0.2,0.3,0.2,0.5,0.7,3.8,24.0,16.0
Wesley Cox,78--79,GSW,31.0,,11.6,0.431,1.7,4.0,,,,0.435,1.3,3.0,2.0,0.6,1.5,0.4,0.4,0.2,1.4,2.2,4.7,,
Wesley Cox,77--78,GSW,43.0,,10.5,0.399,1.6,4.0,,,,0.58,1.3,2.3,3.3,1.0,2.3,0.3,0.5,0.2,0.8,1.9,4.6,,
Johnny Cox,62--63,CHZ,73.0,,23.1,0.421,3.3,7.8,,,,0.7040000000000001,1.3,1.8,3.8,,,1.9,,,,2.0,7.8,,
Chubby Cox,82--83,WSB,7.0,0.0,11.1,0.35100000000000003,1.9,5.3,0.0,0.0,0.3,0.5,0.4,0.9,1.4,1.0,0.4,0.9,0.0,0.1,1.3,2.3,4.1,,
Dave Cowens,82--83,MIL,40.0,34.0,25.4,0.444,3.4,7.7,0.0,0.0,0.1,0.825,1.3,1.6,6.9,1.8,5.0,2.1,0.8,0.4,1.1,3.4,8.1,,
Dave Cowens,79--80,BOS,66.0,55.0,32.7,0.453,6.4,14.1,0.083,0.0,0.2,0.779,1.4,1.8,8.1,1.9,6.2,3.1,1.0,0.9,1.6,3.3,14.2,,
Dave Cowens,78--79,BOS,68.0,,37.0,0.483,7.2,14.9,,,,0.807,2.2,2.8,9.6,2.2,7.4,3.6,1.1,0.8,2.6,3.9,16.6,,
Dave Cowens,77--78,BOS,77.0,,41.8,0.49,7.8,15.8,,,,0.8420000000000001,3.1,3.7,14.0,3.2,10.8,4.6,1.3,0.9,2.8,3.9,18.6,,
Dave Cowens,76--77,BOS,50.0,,37.8,0.434,6.6,15.1,,,,0.818,3.2,4.0,13.9,2.9,11.0,5.0,0.9,1.0,,3.6,16.4,,
Dave Cowens,75--76,BOS,78.0,,39.8,0.468,7.8,16.7,,,,0.7559999999999999,3.3,4.4,16.0,4.3,11.7,4.2,1.2,0.9,,4.0,19.0,,
Dave Cowens,74--75,BOS,65.0,,40.5,0.475,8.8,18.4,,,,0.7829999999999999,2.9,3.8,14.7,3.5,11.2,4.6,1.3,1.1,,3.7,20.4,,
Dave Cowens,73--74,BOS,80.0,,41.9,0.4370000000000001,8.1,18.4,,,,0.8320000000000001,2.9,3.4,15.7,3.3,12.4,4.4,1.2,1.3,,3.7,19.0,,
Dave Cowens,72--73,BOS,82.0,,41.8,0.452,9.0,20.0,,,,0.779,2.5,3.2,16.2,,,4.1,,,,3.8,20.5,,
Dave Cowens,71--72,BOS,79.0,,40.3,0.484,8.3,17.2,,,,0.72,2.2,3.1,15.2,,,3.1,,,,4.0,18.8,,
Dave Cowens,70--71,BOS,81.0,,38.0,0.422,6.8,16.1,,,,0.732,3.4,4.6,15.0,,,2.8,,,,4.3,17.0,,
Bob Cousy,69--70,CIN,7.0,,4.9,0.333,0.1,0.4,,,,1.0,0.4,0.4,0.7,,,1.4,,,,1.6,0.7,,
Bob Cousy,62--63,BOS,76.0,,26.0,0.397,5.2,13.0,,,,0.735,2.9,3.9,2.5,,,6.8,,,,2.3,13.2,,
Bob Cousy,61--62,BOS,75.0,,28.2,0.391,6.2,15.7,,,,0.754,3.3,4.4,3.5,,,7.8,,,,1.8,15.7,,
Bob Cousy,60--61,BOS,76.0,,32.5,0.371,6.8,18.2,,,,0.779,4.6,5.9,4.4,,,7.7,,,,2.6,18.1,,
Bob Cousy,59--60,BOS,75.0,,34.5,0.384,7.6,19.7,,,,0.792,4.3,5.4,4.7,,,9.5,,,,1.9,19.4,,
Bob Cousy,58--59,BOS,65.0,,37.0,0.384,7.4,19.4,,,,0.855,5.1,5.9,5.5,,,8.6,,,,2.1,20.0,,
Bob Cousy,57--58,BOS,65.0,,34.2,0.353,6.8,19.4,,,,0.85,4.3,5.0,5.0,,,7.1,,,,2.1,18.0,,
Bob Cousy,56--57,BOS,64.0,,36.9,0.378,7.5,19.8,,,,0.821,5.7,6.9,4.8,,,7.5,,,,2.1,20.6,,
Bob Cousy,55--56,BOS,72.0,,38.4,0.36,6.1,17.0,,,,0.8440000000000001,6.6,7.8,6.8,,,8.9,,,,2.9,18.8,,
Bob Cousy,54--55,BOS,71.0,,38.7,0.397,7.4,18.5,,,,0.807,6.5,8.0,6.0,,,7.8,,,,2.3,21.2,,
Bob Cousy,53--54,BOS,72.0,,39.7,0.385,6.8,17.5,,,,0.787,5.7,7.3,5.5,,,7.2,,,,2.8,19.2,,
Bob Cousy,52--53,BOS,71.0,,41.5,0.35200000000000004,6.5,18.6,,,,0.816,6.7,8.3,6.3,,,7.7,,,,3.2,19.8,,
Bob Cousy,51--52,BOS,66.0,,40.6,0.369,7.8,21.0,,,,0.8079999999999999,6.2,7.7,6.4,,,6.7,,,,2.9,21.7,,
Bob Cousy,50--51,BOS,69.0,,,0.35200000000000004,5.8,16.5,,,,0.7559999999999999,4.0,5.3,6.9,,,4.9,,,,2.7,15.6,,
DeMarcus Cousins,16--17,TOT,72.0,72.0,34.3,0.452,9.0,19.9,0.361,1.8,5.0,0.772,7.2,9.3,11.0,2.1,8.9,4.6,1.4,1.3,3.7,3.9,27.0,30.0,42.0
DeMarcus Cousins,16--17,NOH,17.0,17.0,33.8,0.452,8.4,18.5,0.375,2.1,5.6,0.777,5.5,7.1,12.4,2.2,10.2,3.9,1.5,1.1,3.6,4.4,24.4,7.0,10.0
DeMarcus Cousins,16--17,SAC,55.0,55.0,34.4,0.452,9.2,20.3,0.35600000000000004,1.7,4.9,0.77,7.7,10.0,10.6,2.1,8.5,4.8,1.4,1.3,3.8,3.7,27.8,23.0,32.0
DeMarcus Cousins,15--16,SAC,65.0,65.0,34.5,0.451,9.2,20.5,0.333,1.1,3.2,0.718,7.3,10.2,11.5,2.4,9.1,3.3,1.6,1.4,3.8,3.6,26.9,29.0,36.0
DeMarcus Cousins,14--15,SAC,59.0,59.0,34.1,0.467,8.4,18.1,0.25,0.0,0.1,0.782,7.2,9.2,12.7,3.1,9.5,3.6,1.5,1.7,4.3,4.1,24.1,23.0,36.0
DeMarcus Cousins,13--14,SAC,71.0,71.0,32.3,0.496,8.3,16.8,0.0,0.0,0.1,0.726,6.1,8.4,11.7,3.1,8.6,2.9,1.5,1.3,3.5,3.8,22.7,28.0,43.0
DeMarcus Cousins,12--13,SAC,75.0,74.0,30.5,0.465,6.4,13.8,0.182,0.1,0.3,0.738,4.2,5.6,9.9,3.0,7.0,2.7,1.4,0.7,3.0,3.6,17.1,26.0,49.0
DeMarcus Cousins,11--12,SAC,64.0,62.0,30.5,0.448,7.0,15.6,0.14300000000000002,0.0,0.2,0.7020000000000001,4.1,5.8,11.0,4.1,6.8,1.6,1.5,1.2,2.7,4.0,18.1,20.0,44.0
DeMarcus Cousins,10--11,SAC,81.0,62.0,28.5,0.43,5.3,12.4,0.16699999999999998,0.0,0.2,0.687,3.4,5.0,8.6,2.7,6.0,2.5,1.0,0.8,3.3,4.1,14.1,23.0,58.0
Marcus Cousin,10--11,UTA,4.0,0.0,4.5,0.667,0.5,0.8,,0.0,0.0,,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.3,0.3,0.3,1.0,2.0,2.0
Joe Courtney,96--97,TOT,9.0,0.0,11.1,0.3670000000000001,1.2,3.3,,0.0,0.0,0.6,0.3,0.6,1.8,1.0,0.8,0.0,0.0,0.0,0.3,1.6,2.8,3.0,6.0
Joe Courtney,96--97,SAS,5.0,0.0,9.6,0.313,1.0,3.2,,0.0,0.0,0.6,0.6,1.0,1.4,0.8,0.6,0.0,0.0,0.0,0.4,1.2,2.6,2.0,3.0
Joe Courtney,96--97,PHI,4.0,0.0,13.0,0.429,1.5,3.5,,0.0,0.0,,0.0,0.0,2.3,1.3,1.0,0.0,0.0,0.0,0.3,2.0,3.0,1.0,3.0
Joe Courtney,95--96,CLE,23.0,0.0,8.7,0.429,0.7,1.5,,0.0,0.0,0.444,0.3,0.8,2.1,1.0,1.1,0.4,0.2,0.3,0.7,1.5,1.7,16.0,7.0
Joe Courtney,93--94,TOT,52.0,1.0,6.6,0.453,1.3,2.8,0.667,0.0,0.1,0.6809999999999999,0.6,0.9,1.1,0.5,0.5,0.3,0.2,0.2,0.4,0.8,3.2,25.0,27.0
Joe Courtney,93--94,MIL,19.0,0.0,9.3,0.386,1.4,3.7,0.667,0.1,0.2,0.6,0.5,0.8,1.5,0.7,0.8,0.3,0.4,0.3,0.6,1.1,3.4,2.0,17.0
Joe Courtney,93--94,PHO,33.0,1.0,5.1,0.513,1.2,2.4,,0.0,0.0,0.7190000000000001,0.7,1.0,0.8,0.4,0.4,0.3,0.1,0.2,0.3,0.7,3.1,23.0,10.0
Joe Courtney,92--93,TOT,12.0,0.0,8.7,0.406,1.1,2.7,,0.0,0.0,0.778,0.6,0.8,1.6,0.3,1.3,0.3,0.4,0.4,0.5,1.4,2.8,6.0,6.0
Joe Courtney,92--93,GSW,7.0,0.0,10.0,0.391,1.3,3.3,,0.0,0.0,0.8,0.6,0.7,2.4,0.3,2.1,0.3,0.4,0.6,0.4,1.1,3.1,2.0,5.0
Joe Courtney,92--93,CHI,5.0,0.0,6.8,0.444,0.8,1.8,,0.0,0.0,0.75,0.6,0.8,0.4,0.4,0.0,0.2,0.4,0.2,0.6,1.8,2.2,4.0,1.0
Steve Courtin,64--65,PHI,24.0,,13.2,0.408,1.8,4.3,,,,0.81,0.7,0.9,0.9,,,0.9,,,,1.8,4.2,,
Mel Counts,75--76,NOJ,30.0,,10.6,0.407,1.2,3.0,,,,0.762,0.5,0.7,3.3,0.9,2.4,1.3,0.5,0.3,,2.5,3.0,,
Mel Counts,74--75,NOJ,75.0,,18.9,0.438,2.9,6.6,,,,0.7609999999999999,1.1,1.5,5.9,1.4,4.5,2.4,0.7,0.6,,2.6,6.9,,
Mel Counts,73--74,LAL,45.0,,11.1,0.365,1.4,3.7,,,,0.727,0.5,0.7,3.2,1.2,2.0,1.2,0.4,0.5,,1.9,3.2,,
Mel Counts,72--73,TOT,66.0,,10.0,0.449,2.0,4.5,,,,0.672,0.6,0.9,3.8,,,1.0,,,,1.6,4.6,,
Mel Counts,72--73,LAL,59.0,,10.4,0.457,2.2,4.7,,,,0.672,0.7,1.0,4.0,,,1.1,,,,1.7,5.0,,
Mel Counts,72--73,PHI,7.0,,6.7,0.313,0.7,2.3,,,,,0.0,0.0,2.3,,,0.4,,,,1.1,1.4,,
Mel Counts,71--72,PHO,76.0,,11.9,0.4270000000000001,1.9,4.5,,,,0.721,1.3,1.8,3.4,,,1.3,,,,2.1,5.2,,
Mel Counts,70--71,PHO,80.0,,20.9,0.457,4.6,10.0,,,,0.753,1.9,2.5,6.3,,,1.7,,,,3.5,11.0,,
Mel Counts,69--70,LAL,81.0,,27.1,0.4270000000000001,5.4,12.6,,,,0.7759999999999999,1.9,2.5,8.4,,,2.0,,,,3.8,12.6,,
Mel Counts,68--69,LAL,77.0,,24.2,0.45,5.1,11.3,,,,0.805,2.3,2.9,7.8,,,1.4,,,,2.9,12.4,,
Mel Counts,67--68,LAL,82.0,,21.2,0.475,4.7,9.9,,,,0.748,2.3,3.1,8.9,,,1.7,,,,3.8,11.7,,
Mel Counts,66--67,TOT,56.0,,15.4,0.422,3.2,7.5,,,,0.7340000000000001,1.2,1.7,6.1,,,0.9,,,,3.3,7.6,,
Mel Counts,66--67,LAL,31.0,,16.7,0.444,3.6,8.1,,,,0.741,1.3,1.7,6.1,,,0.7,,,,3.3,8.5,,
Mel Counts,66--67,BAL,25.0,,13.7,0.389,2.6,6.7,,,,0.725,1.2,1.6,6.2,,,1.2,,,,3.2,6.4,,
Mel Counts,65--66,BOS,67.0,,15.2,0.403,3.3,8.2,,,,0.828,1.8,2.2,6.4,,,0.7,,,,3.1,8.4,,
Mel Counts,64--65,BOS,54.0,,10.6,0.368,1.9,5.0,,,,0.784,1.1,1.4,4.9,,,0.4,,,,2.5,4.8,,
John Coughran,79--80,GSW,24.0,,6.7,0.358,1.2,3.4,0.222,0.1,0.4,0.5710000000000001,0.3,0.6,0.8,0.1,0.7,0.5,0.3,0.0,0.5,1.0,2.8,,
James Cotton,98--99,SEA,10.0,0.0,5.9,0.333,0.6,1.8,0.0,0.0,0.3,0.722,1.3,1.8,1.0,0.2,0.8,0.0,0.3,0.0,0.3,0.6,2.5,5.0,5.0
James Cotton,97--98,SEA,9.0,0.0,3.7,0.381,0.9,2.3,0.0,0.0,0.4,0.889,0.9,1.0,0.7,0.2,0.4,0.0,0.1,0.1,0.7,0.3,2.7,7.0,2.0
Jack Cotton,49--50,DNN,54.0,,,0.292,1.8,6.1,,,,0.509,1.5,3.0,,,,1.2,,,,3.4,5.1,,
Larry Costello,67--68,PHI,28.0,,17.6,0.453,2.4,5.3,,,,0.8270000000000001,2.4,2.9,1.8,,,2.4,,,,2.2,7.2,,
Larry Costello,66--67,PHI,49.0,,19.9,0.444,2.7,6.0,,,,0.902,2.4,2.7,2.1,,,2.9,,,,2.9,7.8,,
Larry Costello,64--65,PHI,64.0,,30.7,0.445,4.8,10.9,,,,0.877,3.8,4.3,2.6,,,4.3,,,,3.8,13.5,,
Larry Costello,63--64,PHI,45.0,,25.3,0.468,4.2,9.1,,,,0.865,3.3,3.8,2.3,,,3.7,,,,3.3,11.8,,
Larry Costello,62--63,SYR,78.0,,26.5,0.4320000000000001,3.7,8.5,,,,0.8809999999999999,3.7,4.2,3.0,,,4.3,,,,3.4,11.0,,
Larry Costello,61--62,SYR,63.0,,29.4,0.4270000000000001,4.9,11.5,,,,0.8370000000000001,3.9,4.7,3.9,,,5.7,,,,3.5,13.8,,
Larry Costello,60--61,SYR,75.0,,28.9,0.482,5.4,11.3,,,,0.799,3.6,4.5,3.9,,,5.5,,,,3.8,14.5,,
Larry Costello,59--60,SYR,71.0,,34.8,0.453,5.2,11.6,,,,0.862,3.5,4.1,5.5,,,6.3,,,,3.3,14.0,,
Larry Costello,58--59,SYR,70.0,,39.3,0.4370000000000001,5.9,13.5,,,,0.802,4.0,5.0,5.2,,,5.4,,,,3.8,15.8,,
Larry Costello,57--58,SYR,72.0,,38.1,0.426,5.3,12.3,,,,0.847,4.4,5.3,5.3,,,4.4,,,,3.4,14.9,,
Larry Costello,56--57,PHW,72.0,,29.3,0.374,2.6,6.9,,,,0.7879999999999999,2.4,3.1,4.5,,,3.3,,,,2.5,7.6,,
Larry Costello,54--55,PHW,19.0,,24.4,0.331,2.4,7.3,,,,0.813,1.4,1.7,2.6,,,4.1,,,,1.9,6.2,,
Dave Corzine,90--91,SEA,28.0,0.0,5.3,0.447,0.6,1.4,,0.0,0.0,0.591,0.5,0.8,1.2,0.4,0.8,0.1,0.2,0.2,0.1,0.6,1.7,15.0,13.0
Dave Corzine,89--90,ORL,6.0,3.0,13.2,0.379,1.8,4.8,,0.0,0.0,0.0,0.0,0.3,3.0,1.2,1.8,0.3,0.3,0.0,1.3,1.2,3.7,2.0,4.0
Dave Corzine,88--89,CHI,81.0,7.0,18.3,0.461,2.5,5.4,0.25,0.0,0.1,0.74,0.9,1.2,3.9,1.1,2.8,1.3,0.4,0.6,1.1,1.7,5.9,46.0,35.0
Dave Corzine,87--88,CHI,80.0,32.0,29.1,0.481,4.3,8.9,0.111,0.0,0.1,0.752,1.4,1.9,6.6,2.1,4.5,1.9,0.5,1.2,1.4,1.9,10.1,50.0,30.0
Dave Corzine,86--87,CHI,82.0,39.0,27.9,0.475,3.6,7.5,0.0,0.0,0.1,0.736,1.2,1.6,6.6,2.4,4.2,2.5,0.5,1.1,1.4,2.5,8.3,40.0,42.0
