姓名,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
Carmelo Anthony,10--11,TOT,77.0,77.0,35.7,0.455,8.9,19.5,0.378,1.2,3.3,0.838,6.6,7.9,7.3,1.5,5.8,2.9,0.9,0.6,2.7,2.9,25.6,43.0,34.0
Carmelo Anthony,10--11,NYK,27.0,27.0,36.2,0.461,9.1,19.9,0.424,2.0,4.6,0.872,6.1,7.0,6.7,1.5,5.2,3.0,0.9,0.6,2.4,3.3,26.3,14.0,13.0
Carmelo Anthony,10--11,DEN,50.0,50.0,35.5,0.452,8.7,19.3,0.333,0.8,2.5,0.823,6.9,8.3,7.6,1.5,6.1,2.8,0.9,0.6,2.8,2.7,25.2,29.0,21.0
Carmelo Anthony,09--10,DEN,69.0,69.0,38.2,0.458,10.0,21.8,0.316,0.9,2.7,0.83,7.4,8.9,6.6,2.2,4.4,3.2,1.3,0.4,3.0,3.3,28.2,45.0,24.0
Carmelo Anthony,08--09,DEN,66.0,66.0,34.5,0.443,8.1,18.3,0.371,1.0,2.6,0.7929999999999999,5.6,7.1,6.8,1.6,5.2,3.4,1.1,0.4,3.0,3.0,22.8,45.0,21.0
Carmelo Anthony,07--08,DEN,77.0,77.0,36.4,0.4920000000000001,9.5,19.2,0.354,0.8,2.1,0.7859999999999999,6.0,7.7,7.4,2.3,5.1,3.4,1.3,0.5,3.3,3.3,25.7,47.0,30.0
Carmelo Anthony,06--07,DEN,65.0,65.0,38.2,0.476,10.6,22.4,0.268,0.6,2.3,0.8079999999999999,7.1,8.7,6.0,2.2,3.8,3.8,1.2,0.4,3.6,3.1,28.9,37.0,28.0
Carmelo Anthony,05--06,DEN,80.0,80.0,36.8,0.481,9.5,19.7,0.243,0.5,1.9,0.8079999999999999,7.2,8.9,4.9,1.5,3.4,2.7,1.1,0.5,2.7,2.9,26.5,44.0,36.0
Carmelo Anthony,04--05,DEN,75.0,75.0,34.8,0.431,7.1,16.4,0.266,0.6,2.1,0.7959999999999999,6.1,7.6,5.7,1.9,3.8,2.6,0.9,0.4,3.0,3.1,20.8,47.0,28.0
Carmelo Anthony,03--04,DEN,82.0,82.0,36.5,0.426,7.6,17.9,0.322,0.8,2.6,0.777,5.0,6.4,6.1,2.2,3.8,2.8,1.2,0.5,3.0,2.7,21.0,43.0,39.0
Chris Anstey,99--00,CHI,73.0,11.0,13.8,0.442,2.2,5.0,0.16699999999999998,0.0,0.1,0.789,1.6,2.0,3.8,1.2,2.6,0.9,0.4,0.3,1.1,2.5,6.0,13.0,60.0
Chris Anstey,98--99,DAL,41.0,4.0,11.5,0.36,1.2,3.4,0.0,0.0,0.2,0.708,0.8,1.2,2.4,0.9,1.5,0.7,0.4,0.3,0.6,2.4,3.3,15.0,26.0
Chris Anstey,97--98,DAL,41.0,8.0,16.6,0.398,2.2,5.6,0.188,0.1,0.4,0.716,1.3,1.8,3.8,1.3,2.5,0.9,0.8,0.7,1.0,2.3,5.9,10.0,31.0
Michael Ansley,91--92,TOT,10.0,0.0,4.5,0.444,0.8,1.8,,0.0,0.0,0.833,0.5,0.6,0.6,0.2,0.4,0.2,0.0,0.0,0.3,0.7,2.1,5.0,5.0
Michael Ansley,91--92,CHH,2.0,0.0,6.5,0.429,1.5,3.5,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,2.0
Michael Ansley,91--92,PHI,8.0,0.0,4.0,0.455,0.6,1.4,,0.0,0.0,0.833,0.6,0.8,0.5,0.3,0.3,0.3,0.0,0.0,0.4,0.8,1.9,5.0,3.0
Michael Ansley,90--91,ORL,67.0,1.0,13.1,0.5479999999999999,2.1,3.9,,0.0,0.0,0.7170000000000001,1.4,1.9,3.8,1.8,2.0,0.4,0.4,0.1,0.5,1.9,5.7,26.0,41.0
Michael Ansley,89--90,ORL,72.0,5.0,17.0,0.4970000000000001,3.2,6.5,,0.0,0.0,0.722,2.3,3.2,5.0,2.6,2.4,0.6,0.3,0.2,0.7,2.1,8.7,15.0,57.0
Don Anielak,54--55,NYK,1.0,,10.0,0.0,0.0,4.0,,,,0.75,3.0,4.0,2.0,,,0.0,,,,0.0,3.0,,
Martynas Andriuskevicius,05--06,CLE,6.0,0.0,1.5,0.0,0.0,0.2,,0.0,0.0,,0.0,0.0,0.7,0.2,0.5,0.0,0.3,0.0,0.0,0.2,0.0,1.0,5.0
Wally Anderzunas,69--70,CIN,44.0,,8.4,0.392,1.5,3.8,,,,0.63,0.7,1.0,1.9,,,0.2,,,,1.1,3.6,,
Willie Anderson,96--97,MIA,28.0,1.0,10.8,0.453,1.0,2.3,0.421,0.3,0.7,0.85,0.6,0.7,1.5,0.5,1.0,1.2,0.5,0.1,0.7,1.3,3.0,22.0,6.0
