姓名,赛季,球队,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
Derrick Coleman,96--97,PHI,46.0,0.7,13.0,26.0,1.0,3.0,7.0,1.0,11.0,15.0,20.0,8.0,13.0,9.0,5.0,5.0,8.0,6.0,35.0
Derrick Coleman,95--96,PHI,42.0,0.7140000000000001,10.0,17.0,1.0,2.0,4.0,1.0,5.0,8.0,13.0,3.0,11.0,7.0,2.0,3.0,6.0,5.0,27.0
Derrick Coleman,94--95,NJN,50.0,0.667,14.0,28.0,1.0,2.0,6.0,1.0,18.0,20.0,20.0,8.0,13.0,8.0,3.0,5.0,7.0,6.0,36.0
Derrick Coleman,93--94,NJN,48.0,0.75,13.0,28.0,1.0,3.0,6.0,1.0,13.0,19.0,19.0,9.0,15.0,10.0,3.0,9.0,6.0,6.0,36.0
Derrick Coleman,92--93,NJN,45.0,0.75,13.0,23.0,1.0,3.0,4.0,1.0,15.0,17.0,24.0,9.0,18.0,10.0,6.0,6.0,9.0,6.0,35.0
Derrick Coleman,91--92,NJN,47.0,0.778,15.0,28.0,1.0,3.0,4.0,1.0,13.0,16.0,20.0,8.0,12.0,11.0,3.0,6.0,10.0,6.0,38.0
Derrick Coleman,90--91,NJN,50.0,0.7140000000000001,14.0,26.0,1.0,4.0,6.0,1.0,15.0,20.0,23.0,9.0,18.0,7.0,4.0,5.0,7.0,6.0,42.0
Ben Coleman,93--94,DET,23.0,1.0,4.0,6.0,,0.0,0.0,1.0,1.0,2.0,8.0,3.0,5.0,0.0,1.0,1.0,2.0,3.0,8.0
Ben Coleman,89--90,MIL,40.0,1.0,5.0,9.0,0.0,0.0,1.0,1.0,7.0,9.0,13.0,4.0,10.0,2.0,2.0,2.0,4.0,5.0,17.0
Ben Coleman,88--89,PHI,29.0,1.0,7.0,10.0,,0.0,0.0,1.0,5.0,5.0,11.0,5.0,6.0,2.0,2.0,2.0,4.0,5.0,15.0
Ben Coleman,87--88,TOT,43.0,1.0,10.0,17.0,0.0,0.0,1.0,1.0,8.0,11.0,13.0,8.0,11.0,3.0,4.0,3.0,5.0,6.0,23.0
Ben Coleman,87--88,PHI,39.0,1.0,5.0,10.0,0.0,0.0,1.0,1.0,6.0,8.0,10.0,4.0,7.0,3.0,2.0,3.0,4.0,6.0,16.0
Ben Coleman,87--88,NJN,43.0,1.0,10.0,17.0,0.0,0.0,1.0,1.0,8.0,11.0,13.0,8.0,11.0,3.0,4.0,3.0,5.0,6.0,23.0
Ben Coleman,86--87,NJN,38.0,1.0,9.0,15.0,0.0,0.0,1.0,1.0,6.0,8.0,18.0,6.0,12.0,3.0,3.0,3.0,5.0,6.0,19.0
Norris Cole,16--17,OKC,24.0,1.0,4.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,4.0,12.0
Norris Cole,15--16,NOH,40.0,0.625,10.0,19.0,1.0,3.0,7.0,1.0,6.0,7.0,12.0,1.0,11.0,10.0,4.0,1.0,5.0,4.0,26.0
Norris Cole,14--15,TOT,40.0,0.833,9.0,15.0,1.0,4.0,7.0,1.0,4.0,6.0,8.0,2.0,6.0,8.0,4.0,2.0,6.0,6.0,23.0
Norris Cole,14--15,NOH,37.0,0.833,8.0,13.0,1.0,4.0,6.0,1.0,4.0,4.0,6.0,1.0,6.0,7.0,3.0,2.0,6.0,6.0,19.0
Norris Cole,14--15,MIA,40.0,0.667,9.0,15.0,0.667,3.0,7.0,1.0,4.0,6.0,8.0,2.0,6.0,8.0,4.0,1.0,4.0,4.0,23.0
Norris Cole,13--14,MIA,52.0,0.8,8.0,14.0,1.0,3.0,5.0,1.0,4.0,5.0,7.0,2.0,7.0,9.0,4.0,2.0,4.0,5.0,18.0
Norris Cole,12--13,MIA,43.0,1.0,6.0,12.0,1.0,3.0,4.0,1.0,7.0,8.0,11.0,3.0,10.0,9.0,4.0,2.0,7.0,5.0,16.0
Norris Cole,11--12,MIA,38.0,1.0,8.0,16.0,1.0,3.0,4.0,1.0,6.0,8.0,4.0,3.0,4.0,9.0,3.0,1.0,6.0,5.0,20.0
John Coker,00--01,GSW,11.0,0.5,1.0,2.0,,0.0,0.0,,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0
John Coker,98--99,WAS,17.0,1.0,4.0,9.0,,0.0,0.0,1.0,2.0,2.0,5.0,2.0,4.0,0.0,1.0,2.0,1.0,5.0,8.0
John Coker,95--96,PHO,5.0,1.0,2.0,2.0,,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
Fred Cofield,86--87,CHI,12.0,0.667,2.0,3.0,0.0,0.0,1.0,,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0
Fred Cofield,85--86,NYK,26.0,1.0,6.0,14.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,6.0,3.0,1.0,4.0,6.0,13.0
Richard Coffey,90--91,MIN,27.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,4.0,8.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,8.0
Keith Closs,99--00,LAC,44.0,1.0,6.0,12.0,0.0,0.0,1.0,1.0,4.0,7.0,11.0,5.0,8.0,2.0,1.0,4.0,3.0,5.0,14.0
Keith Closs,98--99,LAC,16.0,1.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,0.0,1.0,2.0,2.0,6.0,9.0
Keith Closs,97--98,LAC,33.0,1.0,7.0,13.0,,0.0,0.0,1.0,5.0,6.0,10.0,4.0,6.0,2.0,2.0,6.0,3.0,5.0,15.0
Mateen Cleaves,05--06,SEA,21.0,0.75,4.0,9.0,1.0,1.0,2.0,1.0,4.0,6.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,11.0
Mateen Cleaves,04--05,SEA,31.0,1.0,3.0,8.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,8.0
Mateen Cleaves,03--04,CLE,33.0,0.5,4.0,8.0,0.0,0.0,1.0,0.5,1.0,2.0,4.0,1.0,3.0,8.0,2.0,1.0,2.0,5.0,8.0
Mateen Cleaves,02--03,SAC,8.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,7.0
Mateen Cleaves,01--02,SAC,24.0,1.0,6.0,13.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,0.0,3.0,1.0,13.0
Mateen Cleaves,00--01,DET,30.0,1.0,7.0,14.0,1.0,1.0,2.0,1.0,6.0,8.0,7.0,3.0,7.0,9.0,5.0,1.0,5.0,6.0,19.0
Speedy Claxton,08--09,ATL,8.0,0.4,2.0,5.0,,0.0,0.0,0.5,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0
Speedy Claxton,06--07,ATL,43.0,0.6,9.0,15.0,1.0,2.0,3.0,1.0,4.0,6.0,6.0,3.0,6.0,11.0,8.0,1.0,5.0,6.0,19.0
Speedy Claxton,05--06,NOH,42.0,0.857,11.0,22.0,1.0,2.0,4.0,1.0,11.0,13.0,7.0,3.0,6.0,12.0,5.0,1.0,6.0,6.0,29.0
Speedy Claxton,04--05,TOT,44.0,0.75,11.0,19.0,1.0,2.0,4.0,1.0,11.0,15.0,7.0,4.0,7.0,12.0,7.0,1.0,6.0,6.0,27.0
Speedy Claxton,04--05,NOH,30.0,0.667,7.0,14.0,1.0,1.0,2.0,1.0,4.0,8.0,4.0,2.0,4.0,10.0,4.0,1.0,5.0,6.0,18.0
Speedy Claxton,04--05,GSW,44.0,0.75,11.0,19.0,1.0,2.0,4.0,1.0,11.0,15.0,7.0,4.0,7.0,12.0,7.0,1.0,6.0,6.0,27.0
Speedy Claxton,03--04,GSW,42.0,1.0,7.0,18.0,1.0,1.0,2.0,1.0,16.0,18.0,8.0,4.0,6.0,13.0,7.0,1.0,6.0,6.0,28.0
Speedy Claxton,02--03,SAS,30.0,0.8,8.0,11.0,0.0,0.0,2.0,1.0,7.0,8.0,9.0,3.0,7.0,11.0,3.0,1.0,4.0,5.0,16.0
Speedy Claxton,01--02,PHI,43.0,1.0,11.0,17.0,1.0,1.0,3.0,1.0,6.0,7.0,7.0,3.0,6.0,9.0,5.0,1.0,4.0,6.0,23.0
Charles Claxton,95--96,BOS,4.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
Keon Clark,03--04,UTA,14.0,0.5,2.0,4.0,,0.0,0.0,,0.0,0.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0
Keon Clark,02--03,SAC,41.0,1.0,9.0,15.0,0.0,0.0,1.0,1.0,4.0,6.0,14.0,7.0,13.0,5.0,2.0,8.0,4.0,6.0,19.0
Keon Clark,01--02,TOR,43.0,1.0,10.0,17.0,0.0,0.0,1.0,1.0,7.0,12.0,16.0,7.0,13.0,4.0,4.0,5.0,5.0,6.0,26.0
Keon Clark,00--01,TOT,41.0,1.0,10.0,14.0,0.0,0.0,1.0,1.0,6.0,10.0,13.0,8.0,9.0,5.0,2.0,12.0,6.0,6.0,23.0
Keon Clark,00--01,TOR,39.0,0.889,10.0,14.0,0.0,0.0,1.0,1.0,6.0,10.0,13.0,8.0,9.0,3.0,2.0,12.0,3.0,6.0,23.0
Keon Clark,00--01,DEN,41.0,1.0,5.0,10.0,,0.0,0.0,1.0,6.0,10.0,10.0,6.0,8.0,5.0,2.0,4.0,6.0,6.0,16.0
Keon Clark,99--00,DEN,43.0,1.0,13.0,20.0,1.0,1.0,1.0,1.0,6.0,10.0,22.0,8.0,18.0,4.0,3.0,6.0,5.0,6.0,29.0
Keon Clark,98--99,DEN,29.0,1.0,5.0,9.0,0.0,0.0,1.0,1.0,3.0,6.0,10.0,3.0,9.0,2.0,2.0,6.0,5.0,5.0,13.0
Earl Clark,14--15,BKN,22.0,1.0,4.0,10.0,1.0,2.0,5.0,0.5,1.0,2.0,8.0,1.0,7.0,1.0,1.0,2.0,2.0,4.0,11.0
Earl Clark,13--14,TOT,34.0,1.0,6.0,11.0,1.0,4.0,8.0,1.0,4.0,4.0,8.0,3.0,8.0,3.0,2.0,2.0,3.0,4.0,15.0
Earl Clark,13--14,NYK,20.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,4.0,4.0,6.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,8.0
Earl Clark,13--14,CLE,34.0,1.0,6.0,11.0,1.0,4.0,8.0,1.0,2.0,2.0,8.0,3.0,8.0,3.0,2.0,2.0,3.0,4.0,15.0
Earl Clark,12--13,LAL,42.0,1.0,9.0,17.0,1.0,4.0,7.0,1.0,6.0,8.0,16.0,6.0,11.0,5.0,3.0,5.0,6.0,5.0,22.0
Earl Clark,11--12,ORL,38.0,1.0,7.0,14.0,,0.0,0.0,1.0,4.0,5.0,11.0,3.0,10.0,3.0,1.0,4.0,2.0,5.0,14.0
Earl Clark,10--11,TOT,32.0,1.0,6.0,12.0,0.0,0.0,1.0,1.0,4.0,8.0,9.0,4.0,8.0,2.0,2.0,3.0,6.0,6.0,14.0
Earl Clark,10--11,ORL,32.0,1.0,6.0,12.0,0.0,0.0,1.0,1.0,4.0,8.0,9.0,4.0,8.0,1.0,2.0,3.0,6.0,6.0,14.0
Earl Clark,10--11,PHO,16.0,1.0,5.0,12.0,,0.0,0.0,1.0,2.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,12.0
Earl Clark,09--10,PHO,22.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,4.0,4.0,8.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,14.0
Robert Churchwell,95--96,GSW,15.0,0.429,3.0,7.0,,0.0,0.0,,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,6.0
Doug Christie,06--07,LAC,24.0,0.5,3.0,6.0,0.25,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,4.0,8.0
Doug Christie,05--06,DAL,31.0,0.667,4.0,7.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,8.0
Doug Christie,04--05,TOT,44.0,1.0,5.0,12.0,1.0,2.0,6.0,1.0,6.0,6.0,7.0,3.0,5.0,9.0,6.0,3.0,7.0,5.0,16.0
Doug Christie,04--05,ORL,38.0,0.625,5.0,12.0,1.0,2.0,6.0,1.0,6.0,6.0,6.0,2.0,5.0,5.0,6.0,2.0,5.0,5.0,16.0
Doug Christie,04--05,SAC,44.0,1.0,5.0,12.0,1.0,2.0,4.0,1.0,6.0,6.0,7.0,3.0,5.0,9.0,4.0,3.0,7.0,5.0,16.0
Doug Christie,03--04,SAC,47.0,0.833,10.0,17.0,1.0,3.0,7.0,1.0,9.0,9.0,9.0,5.0,9.0,12.0,4.0,3.0,5.0,5.0,28.0
Doug Christie,02--03,SAC,46.0,1.0,8.0,15.0,1.0,5.0,11.0,1.0,8.0,11.0,12.0,4.0,10.0,13.0,8.0,3.0,5.0,6.0,25.0
Doug Christie,01--02,SAC,47.0,0.875,10.0,20.0,1.0,6.0,9.0,1.0,11.0,13.0,13.0,3.0,10.0,10.0,7.0,2.0,6.0,6.0,23.0
Doug Christie,00--01,SAC,48.0,0.75,11.0,22.0,1.0,5.0,9.0,1.0,14.0,16.0,11.0,5.0,9.0,9.0,6.0,3.0,6.0,6.0,32.0
Doug Christie,99--00,TOR,44.0,1.0,9.0,18.0,1.0,6.0,10.0,1.0,11.0,12.0,11.0,4.0,10.0,13.0,5.0,7.0,6.0,6.0,31.0
Doug Christie,98--99,TOR,49.0,0.625,10.0,20.0,1.0,4.0,8.0,1.0,11.0,12.0,10.0,4.0,7.0,9.0,8.0,3.0,6.0,6.0,28.0
Doug Christie,97--98,TOR,51.0,0.778,13.0,25.0,1.0,4.0,9.0,1.0,14.0,16.0,12.0,5.0,10.0,8.0,7.0,4.0,7.0,6.0,35.0
Doug Christie,96--97,TOR,50.0,0.769,12.0,24.0,1.0,6.0,11.0,1.0,11.0,13.0,15.0,4.0,12.0,10.0,9.0,6.0,6.0,6.0,33.0
Doug Christie,95--96,TOT,42.0,1.0,11.0,16.0,1.0,4.0,6.0,1.0,6.0,10.0,8.0,3.0,7.0,8.0,5.0,3.0,6.0,6.0,30.0
Doug Christie,95--96,TOR,42.0,0.833,11.0,16.0,1.0,4.0,6.0,1.0,6.0,10.0,8.0,3.0,7.0,8.0,5.0,3.0,6.0,6.0,30.0
Doug Christie,95--96,NYK,25.0,1.0,4.0,9.0,1.0,3.0,5.0,1.0,5.0,6.0,7.0,3.0,5.0,5.0,3.0,1.0,3.0,6.0,16.0
Doug Christie,94--95,NYK,16.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,6.0,4.0
Doug Christie,93--94,LAL,44.0,0.818,11.0,21.0,1.0,5.0,7.0,1.0,10.0,14.0,13.0,4.0,11.0,7.0,5.0,2.0,6.0,6.0,33.0
Doug Christie,92--93,LAL,25.0,1.0,6.0,12.0,1.0,1.0,3.0,1.0,9.0,11.0,8.0,3.0,5.0,7.0,3.0,1.0,5.0,5.0,17.0
Chris Childs,02--03,NJN,22.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,5.0
Chris Childs,01--02,TOR,35.0,1.0,6.0,10.0,1.0,3.0,5.0,1.0,6.0,6.0,7.0,3.0,6.0,11.0,3.0,1.0,5.0,6.0,14.0
Chris Childs,00--01,TOT,41.0,1.0,5.0,11.0,1.0,3.0,4.0,1.0,5.0,6.0,8.0,1.0,7.0,11.0,4.0,2.0,7.0,6.0,17.0
Chris Childs,00--01,TOR,30.0,1.0,5.0,8.0,1.0,3.0,3.0,1.0,4.0,5.0,6.0,1.0,6.0,8.0,4.0,2.0,7.0,6.0,12.0
Chris Childs,00--01,NYK,41.0,1.0,5.0,11.0,1.0,3.0,4.0,1.0,5.0,6.0,8.0,1.0,7.0,11.0,3.0,2.0,6.0,6.0,17.0
Chris Childs,99--00,NYK,41.0,1.0,7.0,13.0,1.0,3.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,10.0,2.0,1.0,5.0,6.0,16.0
Chris Childs,98--99,NYK,39.0,1.0,5.0,11.0,1.0,3.0,6.0,1.0,6.0,6.0,8.0,4.0,8.0,10.0,4.0,1.0,5.0,5.0,15.0
Chris Childs,97--98,NYK,32.0,1.0,7.0,12.0,1.0,2.0,6.0,1.0,9.0,10.0,8.0,3.0,8.0,11.0,3.0,2.0,6.0,6.0,17.0
Chris Childs,96--97,NYK,49.0,1.0,9.0,17.0,1.0,3.0,8.0,1.0,8.0,8.0,10.0,2.0,9.0,13.0,5.0,2.0,7.0,6.0,24.0
Chris Childs,95--96,NJN,49.0,1.0,10.0,23.0,1.0,4.0,9.0,1.0,13.0,14.0,11.0,3.0,9.0,17.0,5.0,1.0,8.0,6.0,30.0
Chris Childs,94--95,NJN,46.0,1.0,5.0,14.0,1.0,4.0,7.0,1.0,9.0,9.0,4.0,2.0,4.0,14.0,4.0,1.0,5.0,6.0,14.0
Randolph Childress,96--97,TOT,22.0,1.0,3.0,6.0,0.667,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,3.0,0.0,3.0,3.0,8.0
Randolph Childress,96--97,DET,10.0,0.5,3.0,6.0,0.667,2.0,3.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,8.0
Randolph Childress,96--97,POR,22.0,1.0,3.0,6.0,0.333,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,3.0,0.0,3.0,2.0,8.0
Randolph Childress,95--96,POR,27.0,1.0,5.0,8.0,1.0,4.0,6.0,1.0,5.0,6.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,4.0,18.0
Josh Childress,13--14,NOH,11.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Josh Childress,12--13,BKN,26.0,0.6,3.0,5.0,0.5,1.0,2.0,0.5,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,8.0
Josh Childress,11--12,PHO,23.0,1.0,5.0,7.0,1.0,1.0,4.0,0.0,0.0,2.0,12.0,5.0,7.0,3.0,2.0,2.0,3.0,5.0,10.0
Josh Childress,10--11,PHO,29.0,1.0,7.0,11.0,1.0,1.0,3.0,1.0,4.0,6.0,8.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,15.0
Josh Childress,07--08,ATL,44.0,1.0,10.0,14.0,1.0,2.0,3.0,1.0,10.0,11.0,12.0,8.0,9.0,5.0,4.0,3.0,4.0,6.0,26.0
Josh Childress,06--07,ATL,53.0,0.857,10.0,16.0,1.0,2.0,4.0,1.0,9.0,10.0,14.0,8.0,10.0,7.0,5.0,3.0,4.0,5.0,25.0
Josh Childress,05--06,ATL,44.0,1.0,9.0,14.0,1.0,3.0,3.0,1.0,10.0,10.0,13.0,6.0,10.0,8.0,4.0,2.0,6.0,6.0,21.0
Josh Childress,04--05,ATL,49.0,1.0,9.0,17.0,1.0,2.0,4.0,1.0,11.0,14.0,15.0,9.0,9.0,5.0,5.0,3.0,5.0,6.0,26.0
Pete Chilcutt,99--00,TOT,39.0,1.0,6.0,9.0,1.0,1.0,3.0,1.0,4.0,4.0,9.0,3.0,8.0,4.0,3.0,1.0,3.0,6.0,13.0
Pete Chilcutt,99--00,LAC,39.0,1.0,6.0,9.0,1.0,1.0,3.0,1.0,4.0,4.0,9.0,3.0,8.0,4.0,3.0,1.0,3.0,6.0,13.0
Pete Chilcutt,99--00,CLE,14.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
Pete Chilcutt,99--00,UTA,20.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,7.0
Pete Chilcutt,98--99,VAN,34.0,1.0,6.0,14.0,1.0,3.0,6.0,1.0,2.0,2.0,7.0,3.0,6.0,3.0,4.0,1.0,2.0,5.0,16.0
Pete Chilcutt,97--98,VAN,32.0,1.0,7.0,11.0,1.0,3.0,6.0,1.0,4.0,5.0,11.0,4.0,8.0,5.0,3.0,3.0,4.0,5.0,17.0
Pete Chilcutt,96--97,VAN,29.0,1.0,5.0,9.0,1.0,3.0,5.0,1.0,3.0,5.0,10.0,7.0,5.0,4.0,3.0,2.0,3.0,5.0,13.0
Pete Chilcutt,95--96,HOU,29.0,1.0,5.0,10.0,1.0,3.0,6.0,1.0,5.0,6.0,11.0,5.0,6.0,2.0,3.0,2.0,2.0,5.0,15.0
Pete Chilcutt,94--95,HOU,44.0,1.0,9.0,15.0,1.0,5.0,7.0,1.0,4.0,4.0,14.0,5.0,11.0,4.0,3.0,3.0,4.0,5.0,25.0
Pete Chilcutt,93--94,TOT,37.0,1.0,7.0,12.0,1.0,1.0,3.0,1.0,3.0,4.0,15.0,7.0,12.0,6.0,5.0,3.0,6.0,6.0,15.0
Pete Chilcutt,93--94,DET,27.0,1.0,6.0,11.0,1.0,1.0,3.0,1.0,3.0,3.0,13.0,6.0,10.0,3.0,1.0,3.0,2.0,4.0,12.0
Pete Chilcutt,93--94,SAC,37.0,1.0,7.0,12.0,0.0,0.0,1.0,1.0,3.0,4.0,15.0,7.0,12.0,6.0,5.0,3.0,6.0,6.0,15.0
Pete Chilcutt,92--93,SAC,36.0,1.0,8.0,15.0,,0.0,0.0,1.0,5.0,7.0,11.0,4.0,8.0,6.0,2.0,2.0,5.0,6.0,19.0
Pete Chilcutt,91--92,SAC,33.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,19.0
Derrick Chievous,90--91,CLE,17.0,1.0,4.0,8.0,,0.0,0.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,9.0
Derrick Chievous,89--90,TOT,33.0,1.0,7.0,12.0,1.0,1.0,2.0,1.0,6.0,6.0,7.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,17.0
Derrick Chievous,89--90,CLE,14.0,0.6,3.0,7.0,0.0,0.0,1.0,1.0,6.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,12.0
Derrick Chievous,89--90,HOU,33.0,1.0,7.0,12.0,1.0,1.0,2.0,1.0,6.0,6.0,7.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,17.0
Derrick Chievous,88--89,HOU,40.0,1.0,12.0,18.0,1.0,2.0,3.0,1.0,9.0,11.0,10.0,5.0,6.0,5.0,3.0,2.0,6.0,6.0,27.0
Maurice Cheeks,92--93,NJN,29.0,1.0,6.0,7.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,2.0,6.0,10.0,5.0,1.0,4.0,3.0,14.0
Maurice Cheeks,91--92,ATL,33.0,1.0,5.0,11.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,3.0,4.0,11.0,5.0,0.0,3.0,4.0,11.0
Maurice Cheeks,90--91,NYK,44.0,1.0,12.0,17.0,1.0,2.0,3.0,1.0,7.0,9.0,6.0,2.0,6.0,15.0,5.0,2.0,6.0,5.0,27.0
Maurice Cheeks,89--90,TOT,44.0,1.0,10.0,16.0,1.0,1.0,3.0,1.0,9.0,10.0,6.0,3.0,6.0,13.0,5.0,1.0,5.0,4.0,22.0
Maurice Cheeks,89--90,NYK,44.0,1.0,10.0,14.0,1.0,1.0,1.0,1.0,7.0,8.0,6.0,2.0,5.0,10.0,4.0,1.0,4.0,4.0,20.0
Maurice Cheeks,89--90,SAS,44.0,1.0,9.0,16.0,0.333,1.0,3.0,1.0,9.0,10.0,6.0,3.0,6.0,13.0,5.0,1.0,5.0,4.0,22.0
Maurice Cheeks,88--89,PHI,42.0,1.0,11.0,17.0,1.0,1.0,1.0,1.0,7.0,10.0,7.0,3.0,5.0,15.0,5.0,3.0,5.0,5.0,24.0
Maurice Cheeks,87--88,PHI,49.0,1.0,11.0,19.0,1.0,1.0,2.0,1.0,11.0,14.0,10.0,3.0,9.0,16.0,6.0,3.0,7.0,5.0,25.0
Maurice Cheeks,86--87,PHI,55.0,0.857,15.0,23.0,1.0,1.0,3.0,1.0,11.0,13.0,8.0,4.0,7.0,19.0,9.0,3.0,7.0,5.0,31.0
Maurice Cheeks,85--86,PHI,51.0,0.875,13.0,22.0,1.0,1.0,2.0,1.0,10.0,10.0,8.0,3.0,6.0,15.0,7.0,2.0,7.0,5.0,31.0
Maurice Cheeks,84--85,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,83--84,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,82--83,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,81--82,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,80--81,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,79--80,PHI,,,,,,,,,,,,,,,,,,,
Maurice Cheeks,78--79,PHI,,,,,,,,,,,,,,,,,,,
Calbert Cheaney,05--06,GSW,22.0,1.0,4.0,9.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,10.0
Calbert Cheaney,04--05,GSW,41.0,1.0,10.0,18.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,21.0
Calbert Cheaney,03--04,GSW,50.0,1.0,12.0,16.0,0.0,0.0,2.0,1.0,5.0,8.0,10.0,6.0,8.0,6.0,5.0,1.0,5.0,6.0,24.0
Calbert Cheaney,02--03,UTA,42.0,1.0,8.0,15.0,1.0,1.0,3.0,1.0,5.0,6.0,9.0,4.0,7.0,6.0,4.0,1.0,4.0,6.0,18.0
Calbert Cheaney,01--02,DEN,42.0,0.8,10.0,18.0,0.0,0.0,1.0,1.0,4.0,5.0,10.0,5.0,9.0,7.0,3.0,2.0,4.0,6.0,22.0
Calbert Cheaney,00--01,DEN,41.0,0.5,3.0,6.0,,0.0,0.0,0.5,1.0,2.0,5.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,6.0
Calbert Cheaney,99--00,BOS,42.0,1.0,6.0,10.0,1.0,2.0,4.0,1.0,2.0,2.0,8.0,2.0,8.0,6.0,3.0,2.0,2.0,6.0,12.0
Calbert Cheaney,98--99,WAS,40.0,0.8,9.0,18.0,1.0,2.0,4.0,1.0,4.0,7.0,7.0,2.0,5.0,4.0,4.0,2.0,3.0,5.0,22.0
Calbert Cheaney,97--98,WAS,47.0,0.833,14.0,26.0,1.0,4.0,5.0,1.0,6.0,10.0,8.0,3.0,8.0,6.0,4.0,4.0,4.0,6.0,30.0
Calbert Cheaney,96--97,WSB,43.0,0.846,11.0,19.0,1.0,1.0,3.0,1.0,5.0,7.0,13.0,4.0,11.0,6.0,4.0,2.0,4.0,6.0,24.0
Calbert Cheaney,95--96,WSB,43.0,0.917,12.0,22.0,1.0,4.0,10.0,1.0,8.0,9.0,9.0,4.0,7.0,7.0,5.0,2.0,5.0,6.0,29.0
